isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020180041,Government Securities,60500000.0,62375.5,0.0296359865688,SOV,SAVING,ICICI Prudential AMC,2026-08
IN1920250157,State Government of Karnataka,50000000.0,49823.9,0.0236724424045,SOV,SAVING,ICICI Prudential AMC,2026-08
IN0020200120,Government Securities,32089920.0,33467.67,0.0159012339558,SOV,SAVING,ICICI Prudential AMC,2026-08
IN1320250070,State Government of Bihar,27500000.0,27506.88,0.0130691301269,SOV,SAVING,ICICI Prudential AMC,2026-08
IN1920250223,State Government of Karnataka,10000000.0,9943.69,0.0047244681531,SOV,SAVING,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,7016440.0,7205.18,0.0034233411789,SOV,SAVING,ICICI Prudential AMC,2026-08
IN2220250475,State Government of Maharashtra,3562700.0,3534.56,0.0016793480242,SOV,SAVING,ICICI Prudential AMC,2026-08
IN2120180095,State Government of Madhya Pradesh,2500000.0,2569.77,0.0012209548493,SOV,SAVING,ICICI Prudential AMC,2026-08
IN2220250301,State Government of Maharashtra,1500000.0,1478.58,0.0007025062247,SOV,SAVING,ICICI Prudential AMC,2026-08
IN2920160156,State Government of Rajasthan,1200000.0,1200.84,0.0005705457769,SOV,SAVING,ICICI Prudential AMC,2026-08
IN2920250361,State Government of Rajasthan,1070000.0,1070.06,0.0005084092919,SOV,SAVING,ICICI Prudential AMC,2026-08
IN2220180052,State Government of Maharashtra,500000.0,511.94,0.0002432340736,SOV,SAVING,ICICI Prudential AMC,2026-08
IN1520250276,State Government of Gujarat,234200.0,232.48,0.0001104564157,SOV,SAVING,ICICI Prudential AMC,2026-08
INE261F08EK5,NABARD,63000.0,62795.0,0.0298353003437,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE020B08EW9,Rural Electrification Corporation Ltd. **,42500.0,42584.36,0.0202327760258,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE377Y07615,Bajaj Housing Finance Ltd. **,42500.0,42013.76,0.0199616712822,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE202B07JR4,Piramal Finance Ltd. **,33500.0,33648.94,0.0159873593621,CARE AA+,SAVING,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,32000.0,31932.77,0.0151719688471,ICRA AAA,SAVING,ICICI Prudential AMC,2026-08
INE261F08EF5,NABARD,30000.0,30066.66,0.0142853385051,ICRA AAA,SAVING,ICICI Prudential AMC,2026-08
INE261F08EI9,NABARD **,30000.0,30035.82,0.0142706857356,ICRA AAA,SAVING,ICICI Prudential AMC,2026-08
INE306N07NI9,Tata Capital Financial Services Ltd. **,3000.0,29977.5,0.0142429766072,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE414G07JM5,Muthoot Finance Ltd. **,30000.0,29971.5,0.0142401258739,CRISIL AA+,SAVING,ICICI Prudential AMC,2026-08
INE248U07FW5,360 One Prime Ltd. **,27500.0,27517.66,0.0130742519445,ICRA AA,SAVING,ICICI Prudential AMC,2026-08
INE115A07QZ8,LIC Housing Finance Ltd. **,22500.0,22502.84,0.0106915994901,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE020B08FW6,Rural Electrification Corporation Ltd.,22500.0,22206.65,0.0105508730373,ICRA AAA,SAVING,ICICI Prudential AMC,2026-08
INE134E08IR3,Power Finance Corporation Ltd.,2200.0,22005.83,0.0104554589913,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE526E07015,Shriram Pistons & Rings Ltd **,21100.0,21008.55,0.0099816290952,FITCH AA+,SAVING,ICICI Prudential AMC,2026-08
INE01WN07128,Motilal oswal finvest Ltd **,20000.0,20088.08,0.0095442933375,CRISIL AA+,SAVING,ICICI Prudential AMC,2026-08
INE115A07RF8,LIC Housing Finance Ltd. **,20000.0,19969.8,0.0094880958803,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE041007183,EMBASSY OFFICE PARKS REIT **,20000.0,19955.88,0.0094814821788,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE127K08025,Nomura Fixed Income Securities Pvt. Ltd. **,20000.0,19940.3,0.0094740797745,FITCH AAA,SAVING,ICICI Prudential AMC,2026-08
INE033L07IN3,Tata Capital Housing Finance Ltd. **,20000.0,19830.98,0.0094221394125,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE033L07IR4,Tata Capital Housing Finance Ltd. **,19500.0,19359.48,0.0091981192817,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE020B08FA2,Rural Electrification Corporation Ltd. **,18500.0,18510.45,0.008794726256,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE041007092,EMBASSY OFFICE PARKS REIT **,1650.0,16479.84,0.0078299383074,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE115A07QO2,LIC Housing Finance Ltd. **,15500.0,15521.33,0.0073745289001,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE774D07VJ0,Mahindra & Mahindra Financial Services Ltd. **,15500.0,15507.77,0.0073680862427,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE020B08FF1,Rural Electrification Corporation Ltd. **,15000.0,15014.42,0.0071336846912,ICRA AAA,SAVING,ICICI Prudential AMC,2026-08
INE526E07023,Shriram Pistons & Rings Ltd **,14750.0,14645.81,0.0069585498865,FITCH AA+,SAVING,ICICI Prudential AMC,2026-08
INE020B08FR6,Rural Electrification Corporation Ltd. **,14000.0,13985.01,0.0066445891179,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE556F08KM1,Small Industries Development Bank Of India. **,13000.0,13028.65,0.0061902012233,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE248U07FY1,360 One Prime Ltd. **,12500.0,12498.64,0.005938381691,ICRA AA,SAVING,ICICI Prudential AMC,2026-08
INE403D08272,Bharti Telecom Ltd. **,12000.0,11896.07,0.0056520872897,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE115A07QS3,LIC Housing Finance Ltd. **,11000.0,11016.97,0.0052344073386,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE087M08126,Bahadur Chand Investments Pvt. Ltd. **,11000.0,10997.57,0.0052251899673,ICRA AA+,SAVING,ICICI Prudential AMC,2026-08
INE087M08134,Bahadur Chand Investments Pvt. Ltd. **,11000.0,10960.21,0.0052074394009,ICRA AA+,SAVING,ICICI Prudential AMC,2026-08
INE651J07AA0,JM Financial Credit Solution Ltd. **,10900.0,10788.18,0.0051257041239,ICRA AA,SAVING,ICICI Prudential AMC,2026-08
INE414G07JF9,Muthoot Finance Ltd. **,10000.0,10030.77,0.0047658417967,CRISIL AA+,SAVING,ICICI Prudential AMC,2026-08
INE0NDH07050,Nexus Select Trust **,10000.0,9954.6,0.0047296517366,ICRA AAA,SAVING,ICICI Prudential AMC,2026-08
INE134E08OC3,Power Finance Corporation Ltd. **,10000.0,9912.91,0.0047098438909,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE338I07198,Motilal Oswal Financial Services Ltd. **,10000.0,9895.57,0.0047016052714,CRISIL AA+,SAVING,ICICI Prudential AMC,2026-08
INE01XX07059,Pipeline Infrastructure Pvt Ltd. **,9000.0,9025.52,0.0042882251765,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE651J07AB8,JM Financial Credit Solution Ltd. **,9100.0,9012.18,0.0042818870459,ICRA AA,SAVING,ICICI Prudential AMC,2026-08
INE134E08JE9,Power Finance Corporation Ltd. **,875.0,8732.02,0.0041487768024,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-08
INE248U07GB7,360 One Prime Ltd **,8500.0,8479.97,0.0040290222446,ICRA AA,SAVING,ICICI Prudential AMC,2026-08
