isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE018A01030,Larsen & Toubro Ltd.,3993099.0,157272.2,0.1549737441805,Construction,BHARATETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,51875677.0,145744.71,0.1436147227749,Diversified Fmcg,BHARATETF,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,28804583.0,99995.11,0.0985337306684,Power,BHARATETF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,8883771.0,91218.56,0.0898854456283,Banks,BHARATETF,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,27628075.0,78546.62,0.0773986997964,Power,BHARATETF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,6113219.0,75165.08,0.0740665793396,Banks,BHARATETF,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,22539602.0,54647.27,0.0538486270373,Oil,BHARATETF,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,13178551.0,54572.38,0.0537748315178,Consumable Fuels,BHARATETF,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,12231768.0,47434.8,0.0467415637376,Aerospace & Defense,BHARATETF,ICICI Prudential AMC,2026-07
INE139A01034,National Aluminium Company Ltd.,13438139.0,47046.92,0.0463593524129,Non - Ferrous Metals,BHARATETF,ICICI Prudential AMC,2026-07
INE029A01011,Bharat Petroleum Corporation Ltd.,11283542.0,36079.13,0.0355518512672,Petroleum Products,BHARATETF,ICICI Prudential AMC,2026-07
INE242A01010,Indian Oil Corporation Ltd.,21219776.0,29739.52,0.0293048915481,Petroleum Products,BHARATETF,ICICI Prudential AMC,2026-07
INE129A01019,GAIL (India) Ltd.,15580441.0,28262.92,0.0278498713305,Gas,BHARATETF,ICICI Prudential AMC,2026-07
INE848E01016,NHPC Ltd.,18878017.0,14853.22,0.014636147498,Power,BHARATETF,ICICI Prudential AMC,2026-07
INE134E01011,Power Finance Corporation Ltd.,3105556.0,13181.53,0.0129888884248,Finance,BHARATETF,ICICI Prudential AMC,2026-07
INE020B01018,Rural Electrification Corporation Ltd.,2646924.0,9880.97,0.0097365644852,Finance,BHARATETF,ICICI Prudential AMC,2026-07
INE028A01039,Bank Of Baroda,3981608.0,9659.38,0.009518212914,Banks,BHARATETF,ICICI Prudential AMC,2026-07
INE562A01011,Indian Bank,748974.0,6264.42,0.006172868584,Banks,BHARATETF,ICICI Prudential AMC,2026-07
INE589A01014,NLC India Ltd.,1933506.0,5756.05,0.0056719281614,Power,BHARATETF,ICICI Prudential AMC,2026-07
INE095N01031,NBCC (India) Ltd.,3503750.0,3321.56,0.0032730170349,Construction,BHARATETF,ICICI Prudential AMC,2026-07
INE002L01015,SJVN Ltd.,4288292.0,2942.2,0.0028992011946,Power,BHARATETF,ICICI Prudential AMC,2026-07
INE510A01028,Engineers India Ltd.,940450.0,2091.09,0.0020605297485,Construction,BHARATETF,ICICI Prudential AMC,2026-07
