isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE733E01010,NTPC Ltd.,5440144.0,18890.9,0.0690048082237,Power,HOUSING,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,2418976.0,18097.57,0.0661069269948,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,1256629.0,18037.65,0.0658880508105,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,8619320.0,16349.99,0.0597233548645,Ferrous Metals,HOUSING,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,563786.0,15488.89,0.0565779229178,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,364409.0,14353.71,0.0524313296798,Construction,HOUSING,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,103116.0,12273.9,0.0448341855421,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-07
INE070A01015,Shree Cements Ltd.,42516.0,11077.54,0.0404641135833,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-07
INE093I01010,Oberoi Realty Ltd.,560556.0,10245.28,0.0374240285851,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,753549.0,7741.96,0.028279884234,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE791I01019,Brigade Enterprises Ltd.,1208513.0,7011.79,0.0256127142833,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE324D01010,LG Electronics Inc,435450.0,6490.38,0.0237081042829,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE019A01038,JSW Steel Ltd.,471969.0,5994.01,0.0218949605652,Ferrous Metals,HOUSING,ICICI Prudential AMC,2026-07
INE671H01015,Sobha Ltd.,428519.0,5880.14,0.0214790154534,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE176B01034,Havells India Ltd.,457127.0,5763.0,0.0210511256633,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE142Z01019,Orient Electric Ltd.,2973416.0,5196.64,0.0189823219967,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,422603.0,5195.9,0.0189796189196,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE702C01027,APL Apollo Tubes Ltd.,262882.0,4783.14,0.0174718863795,Industrial Products,HOUSING,ICICI Prudential AMC,2026-07
INE211B01039,The Phoenix Mills Ltd.,251177.0,4755.53,0.0173710323834,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE079A01024,Ambuja Cements Ltd.,1010926.0,4369.22,0.0159599165835,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-07
INE848E01016,NHPC Ltd.,5073146.0,3994.09,0.0145896391637,Power,HOUSING,ICICI Prudential AMC,2026-07
INE271C01023,DLF Ltd.,574190.0,3785.63,0.0138281750555,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE195A01028,Supreme Industries Ltd.,105999.0,3673.29,0.0134178187381,Industrial Products,HOUSING,ICICI Prudential AMC,2026-07
INE813A01018,Mahindra Lifespace Developers Ltd.,751618.0,2951.23,0.0107802730507,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE115A01026,LIC Housing Finance Ltd.,558120.0,2919.53,0.0106644790747,Finance,HOUSING,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,741080.0,2892.44,0.0105655245382,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE220B01022,Kalpataru Projects International Ltd,224110.0,2890.12,0.0105570500263,Construction,HOUSING,ICICI Prudential AMC,2026-07
INE823G01014,JK Cement Ltd.,44069.0,2399.12,0.0087635218812,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-07
INE951I01027,V-Guard Industries Ltd.,754242.0,2372.09,0.008664786513,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE279A01012,Universal Cables Ltd,169280.0,2299.5,0.0083996292665,Industrial Products,HOUSING,ICICI Prudential AMC,2026-07
INE472A01039,Blue Star Ltd.,134627.0,2263.35,0.0082675803002,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE245A01021,Tata Power Company Ltd.,591479.0,2251.76,0.0082252442692,Power,HOUSING,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,139662.0,2250.51,0.0082206782607,Chemicals & Petrochemicals,HOUSING,ICICI Prudential AMC,2026-07
INE047A01021,Grasim Industries Ltd.,68845.0,2134.75,0.007797829344,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-07
INE749A01030,Jindal Steel Ltd.,189357.0,2087.47,0.0076251246379,Ferrous Metals,HOUSING,ICICI Prudential AMC,2026-07
INE477A01020,Can Fin Homes Ltd.,252630.0,2073.08,0.0075725607479,Finance,HOUSING,ICICI Prudential AMC,2026-07
INE777K01022,RR Kabel Ltd.,77477.0,2016.57,0.0073661406348,Industrial Products,HOUSING,ICICI Prudential AMC,2026-07
INE059D01020,La Opala RG Ltd.,1052626.0,1940.52,0.0070883446767,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE883F01010,Aadhar Housing Finance Ltd.,330502.0,1641.6,0.0059964476642,Finance,HOUSING,ICICI Prudential AMC,2026-07
INE193E01025,Bajaj Electricals Ltd.,482945.0,1607.72,0.0058726905694,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE034S01021,Arvind Smartspaces Ltd.,267374.0,1584.32,0.0057872148899,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE389H01022,KEC International Ltd.,325607.0,1526.93,0.0055775803069,Construction,HOUSING,ICICI Prudential AMC,2026-07
INE216P01012,Aavas Financiers Ltd.,108230.0,1471.71,0.0053758723147,Finance,HOUSING,ICICI Prudential AMC,2026-07
INE483A01010,Central Bank Of India,4580491.0,1418.58,0.0051817986887,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE612J01015,Repco Home Finance Ltd.,320388.0,1233.81,0.0045068695739,Finance,HOUSING,ICICI Prudential AMC,2026-07
INE133A01011,Jsw Dulux Ltd.,41000.0,1204.91,0.004401303457,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE227J01012,Kalpataru Ltd.,348311.0,1037.44,0.0037895679,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE355A01028,Somany Ceramics Ltd.,208402.0,1018.77,0.0037213699968,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE220G01021,Jindal Stainless Ltd.,133740.0,982.72,0.0035896863112,Ferrous Metals,HOUSING,ICICI Prudential AMC,2026-07
INE589A01014,NLC India Ltd.,322122.0,959.6,0.0035052334177,Power,HOUSING,ICICI Prudential AMC,2026-07
INE690A01028,Ttk Prestige Ltd.,142861.0,916.6,0.0033481627247,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE758C01029,Ahluwalia Contracts (India) Ltd.,86211.0,708.14,0.0025866986165,Construction,HOUSING,ICICI Prudential AMC,2026-07
INE299U01018,Crompton Greaves Consumer Electricals Ltd.,269660.0,701.66,0.0025630284284,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE689W01016,Prince Pipes And Fittings Ltd.,257354.0,679.41,0.0024817534768,Industrial Products,HOUSING,ICICI Prudential AMC,2026-07
INE716A01013,Whirlpool of India Ltd.,79002.0,634.31,0.0023170118895,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-07
INE095A01012,IndusInd Bank Ltd.,13949.0,141.23,0.0005158859062,Banks,HOUSING,ICICI Prudential AMC,2026-07
INE055A01016,Aditya Birla Real Estate Ltd.,2277.0,32.29,0.0001179491319,Realty,HOUSING,ICICI Prudential AMC,2026-07
INE041025011,EMBASSY OFFICE PARKS REIT,129431.0,566.89,0.0020707396542,Units of Real Estate Investment Trust (REITs),HOUSING,ICICI Prudential AMC,2026-07
