isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE062A01020,State Bank Of India,2986035,30678.52,0.1636327236538,Banks,PSUEQU,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,5115627,17764.01,0.0947494644237,Power,PSUEQU,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,5002245,14218.88,0.075840492361,Power,PSUEQU,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,2640742,10242.12,0.0546292973581,Aerospace & Defense,PSUEQU,ICICI Prudential AMC,2026-07
INE066F01020,Hindustan Aeronautics Ltd.,211408,9823.07,0.0523941734719,Aerospace & Defense,PSUEQU,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,3837331,9306.68,0.0496398586559,Oil,PSUEQU,ICICI Prudential AMC,2026-07
INE242A01010,Indian Oil Corporation Ltd.,5012174,7025.56,0.037472848038,Petroleum Products,PSUEQU,ICICI Prudential AMC,2026-07
INE029A01011,Bharat Petroleum Corporation Ltd.,1909375,6105.23,0.0325640028734,Petroleum Products,PSUEQU,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,1371233,5678.96,0.0302903690373,Consumable Fuels,PSUEQU,ICICI Prudential AMC,2026-07
INE274J01014,Oil India Ltd.,1112208,5100.59,0.0272054660375,Oil,PSUEQU,ICICI Prudential AMC,2026-07
INE335Y01020,Indian Railway Catering and Tourism Corporation Ltd.,1038865,5088.36,0.0271402338095,Leisure Services,PSUEQU,ICICI Prudential AMC,2026-07
INE481Y01014,General Insurance Corporation of India,1163525,4149.13,0.0221305800505,Insurance,PSUEQU,ICICI Prudential AMC,2026-07
INE123W01016,SBI Life Insurance Company Ltd.,203082,3822.0,0.0203857379627,Insurance,PSUEQU,ICICI Prudential AMC,2026-07
INE848E01016,NHPC Ltd.,4709853,3708.07,0.0197780594891,Power,PSUEQU,ICICI Prudential AMC,2026-07
INE084A01016,Bank Of India,2439000,3364.6,0.0179460633044,Banks,PSUEQU,ICICI Prudential AMC,2026-07
INE018E01016,SBI Cards & Payment Services Ltd.,494134,3262.03,0.0173989766631,Finance,PSUEQU,ICICI Prudential AMC,2026-07
INE129A01019,GAIL (India) Ltd.,1299356,2357.55,0.0125746720392,Gas,PSUEQU,ICICI Prudential AMC,2026-07
INE510A01028,Engineers India Ltd.,983422,2186.93,0.0116646211205,Construction,PSUEQU,ICICI Prudential AMC,2026-07
INE562A01011,Indian Bank,254765,2131.11,0.0113668890711,Banks,PSUEQU,ICICI Prudential AMC,2026-07
INE139A01034,National Aluminium Company Ltd.,602468,2108.94,0.0112486389898,Non - Ferrous Metals,PSUEQU,ICICI Prudential AMC,2026-07
INE258A01024,BEML Ltd.,120410,2107.66,0.0112418117411,"Agricultural, Commercial & Construction Vehicles",PSUEQU,ICICI Prudential AMC,2026-07
