isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K013J1,ICICI Prudential  Banking and Financial Services Fund - Direct - Growth,175251652.225,260213.65,0.2745754931657,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109K01Z48,ICICI Prudential Technology Fund - Direct - Growth,87741931.264,179239.22,0.1891318815371,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109K018C5,ICICI Prudential Gilt Fund - Direct Plan - Growth,72275957.978,84669.19,0.0893422946882,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109KC1YD4,ICICI Prudential Bharat Consumption Fund - Direct - Growth,290761960.776,79959.54,0.0843727073072,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109KC1GH2,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Growth,139911213.521,66331.91,0.069992934271,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109KC12K1,ICICI Prudential Transportation & Logistic Fund - Direct Plan -  Growth,278409830.526,64953.01,0.0685379293259,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109K016B1,ICICI Prudential Corporate Bond Fund- Direct Plan -  Growth,169197170.068,56615.91,0.0597406838929,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109KC12Z9,ICICI Prudential Rural Opportunities Fund - Direct Plan -  Growth,459247916.626,52767.59,0.0556799654722,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109K01O82,ICICI Prudential Savings Fund - Direct - Growth,8030616.11,47493.95,0.0501152600704,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
INF109K01Z14,ICICI Prudential FMCG Fund - Direct Plan - Growth,8244079.322,38272.31,0.0403846546591,Capital Markets,VERAGG,ICICI Prudential AMC,2026-07
