isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,134416750.0,122896.7,0.0926798330274,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,73712000.0,71446.39,0.0538797176459,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,49695510.0,48357.61,0.0364678239562,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020240118,Government Securities,31500000.0,30203.9,0.022777604352,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220250202,State Government of Maharashtra,30000000.0,28325.76,0.0213612465361,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220250194,State Government of Maharashtra,29159500.0,27588.21,0.020805039487,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,26457100.0,25745.17,0.0194151515611,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2120250138,State Government of Madhya Pradesh,24491200.0,24227.41,0.0182705663658,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2920250171,State Government of Rajasthan,24050600.0,23812.57,0.0179577239385,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,23500000.0,22794.6,0.0171900443374,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220250210,State Government of Maharashtra,24000000.0,22713.98,0.0171292465443,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,20000000.0,20153.9,0.015198618733,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2120250120,State Government of Madhya Pradesh,19981900.0,19826.58,0.0149517775815,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN4520250684,State Government of Telangana,17622400.0,17822.11,0.0134401507851,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN3320250050,State Government of Uttar Pradesh,15000000.0,14855.55,0.0112029850559,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220250301,State Government of Maharashtra,12500000.0,12412.69,0.0093607561197,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,11051200.0,10872.2,0.0081990295967,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,10982600.0,10834.38,0.0081705084787,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020180041,Government Securities,10000000.0,10265.52,0.0077415152688,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1720250084,State Government of Himachal pradesh,10000000.0,9947.76,0.0075018835802,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2920250213,State Government of Rajasthan,10000000.0,9931.21,0.0074894027631,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2120250195,State Government of Madhya Pradesh,10000000.0,9803.27,0.0073929196367,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2920250221,State Government of Rajasthan,9000000.0,8951.37,0.0067504780597,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1020250321,State Government of Andhra Pradesh,9047600.0,8898.48,0.0067105922339,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1020250339,State Government of Andhra Pradesh,9047600.0,8891.39,0.0067052454669,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,7765600.0,7827.48,0.0059029212291,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2120250187,State Government of Madhya Pradesh,7222900.0,7079.78,0.0053390597816,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN4520260063,State Government of Telangana,6243400.0,6198.36,0.0046743563484,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220250186,State Government of Maharashtra,5559900.0,5260.45,0.0039670522288,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN4520220018,State Government of Telangana,5000000.0,5174.24,0.0039020388606,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1320250112,State Government of Bihar,5121200.0,5125.01,0.003864913143,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1620250325,State Government of Haryana,4905700.0,4968.23,0.0037466809673,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1620250135,State Government of Haryana,4871600.0,4837.91,0.0036484030165,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,3939540.0,4042.7,0.0030487129514,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1020250313,State Government of Andhra Pradesh,3703700.0,3741.16,0.0028213132177,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,3466000.0,3399.56,0.0025637031195,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1520250169,State Government of Gujarat,3253000.0,3196.32,0.0024104341605,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN1620250184,State Government of Haryana,2776500.0,2736.48,0.0020636559767,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020200120,Government Securities,1839270.0,1911.51,0.0014415230647,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2720250082,State Government of Odisha,1582000.0,1556.43,0.001173747322,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,1311700.0,1296.63,0.0009778248878,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020240142,Government Securities,700000.0,656.3,0.0004949341553,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
IN0020230077,Government Securities,1800.0,1.85,,SOV,SEASONS BOND,ICICI Prudential AMC,2026-07
INE115A07RF8,LIC Housing Finance Ltd. **,94000.0,93962.02,0.0708593829169,CRISIL AAA,SEASONS BOND,ICICI Prudential AMC,2026-07
INE205A08038,Vedanta Ltd. **,40000.0,40169.24,0.0302927455012,ICRA AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
INE414G07KC4,Muthoot Finance Ltd. **,30000.0,29993.4,0.0226188604244,CRISIL AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
INE121A07SU3,Cholamandalam Investment And Finance Company Ltd. **,30000.0,29972.85,0.0226033630956,ICRA AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
INE205A08046,Vedanta Ltd. **,27500.0,27791.2,0.0209581199139,CRISIL AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
INE484J08089,Godrej Properties Ltd. **,20000.0,20147.08,0.0151934755806,ICRA AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
INE093I07082,Oberoi Realty Ltd. **,20000.0,20049.3,0.0151197369523,CARE AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
INE423A07476,Adani Enterprises Ltd. **,20000.0,20026.56,0.0151025880834,ICRA AA-,SEASONS BOND,ICICI Prudential AMC,2026-07
INE725H08246,Tata Projects Ltd. **,20000.0,20001.52,0.0150837047202,FITCH AA,SEASONS BOND,ICICI Prudential AMC,2026-07
INE121A08PP7,Cholamandalam Investment And Finance Company Ltd. **,15000.0,15156.36,0.0114298342763,ICRA AA+,SEASONS BOND,ICICI Prudential AMC,2026-07
