isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,53052176.0,396777.22,0.1227398783447,Banks,SPICE,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,24955243.0,358170.13,0.1107970820071,Banks,SPICE,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,23551774.0,307892.34,0.095244047415,Petroleum Products,SPICE,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,10604681.0,209034.17,0.0646630585185,Telecom - Services,SPICE,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,4070055.0,160303.19,0.0495885173016,Construction,SPICE,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,14458317.0,148458.0,0.0459243019528,Banks,SPICE,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,12140402.0,137186.54,0.042437565418,It - Software,SPICE,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,9957140.0,122428.01,0.0378721315033,Banks,SPICE,ICICI Prudential AMC,2026-07
INE296A01032,Bajaj Finance Ltd.,9318617.0,106390.65,0.0329111016958,Finance,SPICE,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,3116377.0,105843.07,0.0327417121765,Automobiles,SPICE,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,25619726.0,99968.17,0.0309243585711,Banks,SPICE,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,33581206.0,94346.4,0.0291853087187,Diversified Fmcg,SPICE,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,3526192.0,83415.6,0.0258039526464,It - Software,SPICE,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,25192950.0,76170.88,0.0235628561151,Retailing,SPICE,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,3758085.0,74761.46,0.023126863244,Pharmaceuticals & Biotechnology,SPICE,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,1421417.0,69298.34,0.0214368905077,Consumer Durables,SPICE,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,3107708.0,65286.73,0.0201959308493,Diversified Fmcg,SPICE,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,448641.0,63883.79,0.0197619425147,Automobiles,SPICE,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,16538370.0,57412.95,0.0177602396085,Power,SPICE,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,28678187.0,54431.2,0.016837858953,Ferrous Metals,SPICE,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,3683884.0,49603.5,0.0153444483417,It - Software,SPICE,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,410243.0,48838.2,0.0151077088714,Cement & Cement Products,SPICE,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,12467383.0,48348.51,0.0149562271633,Aerospace & Defense,SPICE,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,15862893.0,45098.2,0.0139507696071,Power,SPICE,ICICI Prudential AMC,2026-07
INE742F01042,Adani Ports and Special Economic Zone Ltd.,2566360.0,43615.29,0.0134920431887,Transport Infrastructure,SPICE,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,1569136.0,43127.7,0.0133412110989,Consumer Durables,SPICE,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,780528.0,40359.15,0.0124847821684,Transport Services,SPICE,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,1949986.0,39573.02,0.0122415991032,Finance,SPICE,ICICI Prudential AMC,2026-07
INE669C01036,Tech Mahindra Ltd.,2217230.0,36619.77,0.0113280346961,It - Software,SPICE,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,1150737.0,34575.04,0.0106955137277,Retailing,SPICE,ICICI Prudential AMC,2026-07
