isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,3085829.0,23078.92,0.122722474791,Banks,SINDEX,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,1451540.0,20833.23,0.1107809873032,Banks,SINDEX,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,1369907.0,17908.79,0.095230237347,Petroleum Products,SINDEX,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,616823.0,12158.51,0.064653044292,Telecom - Services,SINDEX,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,236739.0,9324.2,0.0495815618515,Construction,SINDEX,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,840978.0,8635.16,0.0459175821666,Banks,SINDEX,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,706148.0,7979.47,0.0424309415657,It - Software,SINDEX,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,579159.0,7121.05,0.0378662813992,Banks,SINDEX,ICICI Prudential AMC,2026-07
INE296A01032,Bajaj Finance Ltd.,542017.0,6188.21,0.0329058918583,Finance,SINDEX,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,181270.0,6156.56,0.0327375925476,Automobiles,SINDEX,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,1490192.0,5814.73,0.0309199068172,Banks,SINDEX,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,1953282.0,5487.75,0.0291811861661,Diversified Fmcg,SINDEX,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,205103.0,4851.92,0.0258001513887,It - Software,SINDEX,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,1465363.0,4430.53,0.0235594042631,Retailing,SINDEX,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,218589.0,4348.5,0.0231232086089,Pharmaceuticals & Biotechnology,SINDEX,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,82678.0,4030.8,0.0214338344856,Consumer Durables,SINDEX,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,180765.0,3797.51,0.0201933116993,Diversified Fmcg,SINDEX,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,26096.0,3715.91,0.019759402576,Automobiles,SINDEX,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,961966.0,3339.46,0.017757624519,Power,SINDEX,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,1668088.0,3166.03,0.0168354081067,Ferrous Metals,SINDEX,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,214269.0,2885.13,0.01534171849,It - Software,SINDEX,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,23863.0,2840.82,0.015106099455,Cement & Cement Products,SINDEX,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,725172.0,2812.22,0.0149540185613,Aerospace & Defense,SINDEX,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,922673.0,2623.16,0.0139486894089,Power,SINDEX,ICICI Prudential AMC,2026-07
INE742F01042,Adani Ports and Special Economic Zone Ltd.,149263.0,2536.72,0.013489043519,Transport Infrastructure,SINDEX,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,91271.0,2508.58,0.0133394086816,Consumer Durables,SINDEX,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,45401.0,2347.57,0.0124832357902,Transport Services,SINDEX,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,113415.0,2301.64,0.012239002383,Finance,SINDEX,ICICI Prudential AMC,2026-07
INE669C01036,Tech Mahindra Ltd.,128959.0,2129.89,0.0113257193938,It - Software,SINDEX,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,66932.0,2011.04,0.0106937328828,Retailing,SINDEX,ICICI Prudential AMC,2026-07
