isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE238A01034,Axis Bank Ltd.,46923.0,576.92,0.0317282371743,Banks,BALHYBID,ICICI Prudential AMC,2026-07
INE123W01016,SBI Life Insurance Company Ltd.,24345.0,458.17,0.0251974735252,Insurance,BALHYBID,ICICI Prudential AMC,2026-07
INE089A01031,Dr. Reddy's Laboratories Ltd.,39887.0,457.94,0.0251848244672,Pharmaceuticals & Biotechnology,BALHYBID,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,52914.0,395.88,0.0217717786393,Banks,BALHYBID,ICICI Prudential AMC,2026-07
INE795G01014,HDFC Life Insurance Company Ltd.,65719.0,360.47,0.019824373664,Insurance,BALHYBID,ICICI Prudential AMC,2026-07
INE540H01012,Voltamp Transformers Ltd.,3544.0,351.67,0.0193404097051,Electrical Equipment,BALHYBID,ICICI Prudential AMC,2026-07
INE1CDF01017,Vedanta Aluminium Metal Ltd.,76464.0,347.3,0.0191000776029,Non - Ferrous Metals,BALHYBID,ICICI Prudential AMC,2026-07
INE04I401011,KPIT Technologies Ltd,55706.0,333.34,0.0183323347772,It - Software,BALHYBID,ICICI Prudential AMC,2026-07
INE084101034,Indo-Mim Ltd.,42746.0,331.77,0.0182459912073,Industrial Manufacturing,BALHYBID,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,15525.0,326.23,0.0179413138969,Diversified Fmcg,BALHYBID,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,82688.0,322.73,0.0177488282314,Banks,BALHYBID,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,24396.0,319.05,0.0175464433032,Petroleum Products,BALHYBID,ICICI Prudential AMC,2026-07
INE324A01032,Jindal Saw Ltd.,122295.0,314.24,0.0172819130029,Industrial Products,BALHYBID,ICICI Prudential AMC,2026-07
INE098F01031,Amrutanjan Health Care Ltd.,52606.0,270.92,0.0148994904237,Pharmaceuticals & Biotechnology,BALHYBID,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,7908.0,268.75,0.0147801493111,Automobiles,BALHYBID,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,6687.0,263.39,0.0144853712635,Construction,BALHYBID,ICICI Prudential AMC,2026-07
INE176B01034,Havells India Ltd.,20840.0,262.73,0.0144490739666,Consumer Durables,BALHYBID,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,73792.0,256.24,0.0140921505469,Power,BALHYBID,ICICI Prudential AMC,2026-07
INE102D01028,Godrej Consumer Products Ltd.,23846.0,255.25,0.0140377046016,Personal Products,BALHYBID,ICICI Prudential AMC,2026-07
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,49015.0,252.62,0.013893065373,Insurance,BALHYBID,ICICI Prudential AMC,2026-07
INE597I01028,Sharda Motor Industries Ltd,26276.0,228.94,0.0125907623564,Auto Components,BALHYBID,ICICI Prudential AMC,2026-07
INE603J01030,PI Industries Ltd.,7229.0,198.88,0.0109375854698,Fertilizers & Agrochemicals,BALHYBID,ICICI Prudential AMC,2026-07
INE536H01010,CIE Automotive India Ltd,48065.0,196.39,0.0108006456678,Auto Components,BALHYBID,ICICI Prudential AMC,2026-07
INE482A01020,CEAT Ltd.,5369.0,184.15,0.0101274957977,Auto Components,BALHYBID,ICICI Prudential AMC,2026-07
INE00WV01027,CMR Green Technologies Limited,77165.0,167.22,0.009196415136,Industrial Products,BALHYBID,ICICI Prudential AMC,2026-07
INE765G01017,ICICI Lombard General Insurance Company Ltd.,10026.0,162.79,0.0089527832795,Insurance,BALHYBID,ICICI Prudential AMC,2026-07
INE845D01014,Ganesha Ecosphere Ltd,11980.0,141.82,0.0077995191639,Textiles & Apparels,BALHYBID,ICICI Prudential AMC,2026-07
INE133A01011,Jsw Dulux Ltd.,85.0,2.5,0.000137489761,Consumer Durables,BALHYBID,ICICI Prudential AMC,2026-07
INE0O6601022,Kross Ltd.,977.0,1.92,0.0001055921364,Auto Components,BALHYBID,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,1500000.0,1511.54,0.0831285093575,SOV,BALHYBID,ICICI Prudential AMC,2026-07
INE261F08EK5,NABARD **,1500.0,1499.56,0.0824696584227,CRISIL AAA,BALHYBID,ICICI Prudential AMC,2026-07
INE414G07KC4,Muthoot Finance Ltd. **,750.0,749.84,0.0412381289656,CRISIL AA+,BALHYBID,ICICI Prudential AMC,2026-07
INE205A08038,Vedanta Ltd. **,500.0,502.12,0.0276145435242,ICRA AA+,BALHYBID,ICICI Prudential AMC,2026-07
INE216P07308,Aavas Financiers Ltd. **,500.0,500.33,0.0275161008553,CARE AA,BALHYBID,ICICI Prudential AMC,2026-07
INE213W07392,SMFG India Home Finance Company Ltd. **,500.0,499.47,0.0274688043775,CARE AAA,BALHYBID,ICICI Prudential AMC,2026-07
INE522D07CK1,Manappuram Finance Ltd. **,500.0,499.11,0.0274490058519,CRISIL AA,BALHYBID,ICICI Prudential AMC,2026-07
