isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,31879000.0,29146.84,0.0329355446712,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,20259200.0,20415.09,0.0230687823675,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,16988800.0,16466.63,0.0186070746588,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN2120250138,State Government of Madhya Pradesh,12245500.0,12113.6,0.0136882081875,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN2120250120,State Government of Madhya Pradesh,9991000.0,9913.34,0.0112019434151,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,4960700.0,4827.21,0.0054546836155,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN4520250684,State Government of Telangana,4405600.0,4455.53,0.005034690119,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,4153400.0,4041.58,0.0045669320802,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,3500000.0,3394.94,0.0038362374112,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,2762800.0,2718.05,0.0030713606412,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN1920250256,State Government of Karnataka,2500000.0,2506.59,0.002832413631,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,2329600.0,2298.16,0.0025968904808,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN2220250186,State Government of Maharashtra,2280000.0,2157.2,0.0024376075404,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN1320250112,State Government of Bihar,1707100.0,1708.37,0.0019304355617,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020240118,Government Securities,772650.0,740.86,0.0008371620259,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,655800.0,648.27,0.0007325365474,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,577700.0,566.63,0.0006402844245,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020200120,Government Securities,181170.0,188.29,0.0002127652159,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020250042,Government Securities,25450.0,24.7,,SOV,BANPSU,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,1630.0,1.67,,SOV,BANPSU,ICICI Prudential AMC,2026-07
INE261F08EM1,NABARD **,37500.0,37541.44,0.0424213319229,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-07
INE115A07RF8,LIC Housing Finance Ltd. **,32500.0,32486.87,0.0367097345068,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE261F08EI9,NABARD **,30000.0,30080.7,0.033990794151,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-07
INE020B08FZ9,Rural Electrification Corporation Ltd.,25000.0,24840.58,0.0280695276829,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08OC3,Power Finance Corporation Ltd. **,22500.0,22375.98,0.0252845621979,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE153A08170,Mahanagar Telephone Nigam Ltd. **,22500.0,22184.82,0.0250685539198,FITCH AAA(CE),BANPSU,ICICI Prudential AMC,2026-07
INE556F08KQ2,Small Industries Development Bank Of India. **,20000.0,20050.76,0.0226570942741,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08OA7,Power Finance Corporation Ltd. **,20000.0,19880.52,0.02246472532,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08427,HDFC Bank Ltd.( Tier II Bond under Basel III ) **,182.0,18368.48,0.0207561400681,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08724,HDFC Bank Ltd. **,1500.0,15336.44,0.0173299748692,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE556F08KS8,Small Industries Development Bank Of India. **,15000.0,14960.36,0.0169050094308,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE556F08LB2,Small Industries Development Bank Of India.,15000.0,14870.21,0.0168031411201,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08393,HDFC Bank Ltd. **,1250.0,12746.61,0.0144035011363,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08AF2,HDFC Bank Ltd. **,12500.0,12559.16,0.0141916851093,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE020B08EK4,Rural Electrification Corporation Ltd.,12500.0,12531.94,0.0141609268684,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE556F08KV2,Small Industries Development Bank Of India. **,12500.0,12517.95,0.014145118353,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08AI6,HDFC Bank Ltd. **,12500.0,12514.53,0.0141412537981,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE514E08FJ9,Export-Import Bank Of India **,1250.0,12503.69,0.0141290047411,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE261F08EK5,NABARD **,12500.0,12496.33,0.0141206880382,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE020B08AH8,Rural Electrification Corporation Ltd. **,1225.0,12293.52,0.0138915154139,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE238A08450,Axis Bank Ltd. **,1050.0,10758.86,0.0121573698604,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE020B08BC7,Rural Electrification Corporation Ltd. **,1000.0,10300.04,0.0116389093135,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08666,HDFC Bank Ltd. **,10000.0,10077.12,0.0113870126544,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE020B08FR6,Rural Electrification Corporation Ltd. **,10000.0,10016.07,0.0113180269598,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08NN2,Power Finance Corporation Ltd. **,10000.0,10007.52,0.0113083655726,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE296A07UB9,Bajaj Finance Ltd. **,10000.0,9953.62,0.0112474592837,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE031A08996,Housing and Urban Development Corporation Ltd. **,10000.0,9872.91,0.0111562580485,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-07
INE053F08486,Indian Railway Finance Corporation Ltd. **,10000.0,9870.56,0.0111536025795,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE556F08KT6,Small Industries Development Bank Of India.,9000.0,8996.85,0.0101663218062,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE514E08FP6,Export-Import Bank Of India **,850.0,8509.86,0.009616029531,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE153A08089,Mahanagar Telephone Nigam Ltd. ** #,831.0,8021.8,0.0090645281699,BWR AA+(CE),BANPSU,ICICI Prudential AMC,2026-07
INE020B08FF1,Rural Electrification Corporation Ltd. **,8000.0,8016.34,0.0090583584419,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-07
INE976I07DE9,Tata Capital Ltd. **,8000.0,8002.18,0.0090423578287,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08KC1,Power Finance Corporation Ltd. **,750.0,7784.0,0.0087958173071,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08NP7,Power Finance Corporation Ltd. **,7500.0,7517.33,0.0084944837252,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE261F08EU4,NABARD,7500.0,7510.81,0.0084871162113,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE514E08GD0,Export-Import Bank Of India **,7500.0,7502.25,0.0084774435242,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE040A08AB1,HDFC Bank Ltd. **,650.0,6698.2,0.0075688776319,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE915D08DC0,Citicorp Finance (India) Ltd. **,6500.0,6491.11,0.007334868664,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-07
INE020B08FA2,Rural Electrification Corporation Ltd. **,6250.0,6259.5,0.0070731524196,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08LX5,Power Finance Corporation Ltd. **,550.0,5518.79,0.0062361598916,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
INE134E08JP5,Power Finance Corporation Ltd. **,535.0,5404.7,0.0061072396968,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-07
