isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE030A01027,Hindustan Unilever Ltd.,1393023.0,29271.59,0.0895497091093,Diversified Fmcg,BHACON,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,840255.0,28556.07,0.0873607399463,Automobiles,BHACON,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,921593.0,18173.81,0.0555985991505,Telecom - Services,BHACON,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,5818879.0,17599.2,0.0538407117808,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,115491.0,16438.99,0.0502913156597,Automobiles,BHACON,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,538773.0,16194.98,0.0495448230872,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,211575.0,10940.54,0.0334700702797,Transport Services,BHACON,ICICI Prudential AMC,2026-07
INE053A01029,The Indian Hotels Company Ltd.,1293653.0,9554.27,0.0292290954899,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE494B01023,TVS Motor Company Ltd.,213201.0,9195.57,0.0281317351942,Automobiles,BHACON,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,162795.0,8817.79,0.0269760040191,Food Products,BHACON,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,3028433.0,8509.9,0.0260340852529,Diversified Fmcg,BHACON,ICICI Prudential AMC,2026-07
INE176B01034,Havells India Ltd.,620697.0,7825.13,0.023939188655,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE797F01020,Jubilant Foodworks Ltd.,1728542.0,7575.34,0.0231750134996,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,147371.0,7184.63,0.0219797259581,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE0V6F01027,Hyundai Motor India Ltd.,328549.0,7164.67,0.0219186629207,Automobiles,BHACON,ICICI Prudential AMC,2026-07
INE854D01024,United Spirits Ltd.,393030.0,5957.94,0.0182269495401,Beverages,BHACON,ICICI Prudential AMC,2026-07
INE102D01028,Godrej Consumer Products Ltd.,530122.0,5674.43,0.0173596157865,Personal Products,BHACON,ICICI Prudential AMC,2026-07
INE951I01027,V-Guard Industries Ltd.,1772551.0,5574.67,0.0170544229705,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,320175.0,5159.3,0.0157836938208,Chemicals & Petrochemicals,BHACON,ICICI Prudential AMC,2026-07
INE0Q9301021,International Gemmological Institute (India) Ltd.,1386552.0,4900.77,0.0149927806419,Commercial Services & Supplies,BHACON,ICICI Prudential AMC,2026-07
INE0KCE01017,Eureka Forbes Ltd.,1043109.0,4677.82,0.0143107163043,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE686F01025,United Breweries Ltd.,323907.0,4595.59,0.0140591524985,Beverages,BHACON,ICICI Prudential AMC,2026-07
INE459N01021,Manipal Health Enterprises Ltd.,761900.0,4495.21,0.0137520629349,Healthcare Services,BHACON,ICICI Prudential AMC,2026-07
INE043W01024,Vijaya Diagnostic Centre Ltd.,330753.0,4446.64,0.0136034741711,Healthcare Services,BHACON,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,292284.0,4412.32,0.0134984800107,Food Products,BHACON,ICICI Prudential AMC,2026-07
INE192R01011,Avenue Supermarts Ltd.,112197.0,4399.24,0.0134584647537,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE961O01016,Rainbow Childrens Medicare Ltd,259543.0,3959.07,0.0121118656978,Healthcare Services,BHACON,ICICI Prudential AMC,2026-07
INE825V01034,Vedant Fashions Ltd.,852854.0,3536.36,0.0108186815033,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE531A01024,Kansai Nerolac Paints Ltd.,1695763.0,3336.24,0.010206460309,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE699H01024,Adani Wilmar Ltd,1683456.0,3189.14,0.0097564416319,Agricultural Food & Other Products,BHACON,ICICI Prudential AMC,2026-07
INE0J5401028,Honasa Consumer Ltd.,607616.0,2731.54,0.0083565194928,Personal Products,BHACON,ICICI Prudential AMC,2026-07
INE016A01026,Dabur India Ltd.,605969.0,2553.86,0.0078129483265,Personal Products,BHACON,ICICI Prudential AMC,2026-07
INE0LXT01019,Red Tape Ltd,1872700.0,2481.51,0.0075916101124,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE259A01022,Colgate - Palmolive (India) Ltd.,118836.0,2467.15,0.0075476789893,Personal Products,BHACON,ICICI Prudential AMC,2026-07
INE226A01021,Voltas Ltd.,160667.0,2135.1,0.0065318482501,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE761H01022,Page Industries Ltd.,5273.0,2128.97,0.0065130949225,Textiles & Apparels,BHACON,ICICI Prudential AMC,2026-07
INE472A01039,Blue Star Ltd.,120460.0,2025.17,0.006195542654,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE299U01018,Crompton Greaves Consumer Electricals Ltd.,689054.0,1792.92,0.0054850271015,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE274F01020,Westlife Development Ltd.,348256.0,1766.01,0.0054027021348,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE00H001014,Swiggy Ltd,560536.0,1596.74,0.0048848594327,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE103V01028,Travel Food Services Ltd,121749.0,1586.27,0.0048528288715,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE0UOS01011,Sanofi Consumer Healthcare India Ltd,34239.0,1578.83,0.0048300678997,Pharmaceuticals & Biotechnology,BHACON,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,422253.0,1466.27,0.0044857164225,Power,BHACON,ICICI Prudential AMC,2026-07
INE716A01013,Whirlpool of India Ltd.,178247.0,1431.15,0.0043782748457,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE191H01014,PVR INOX Ltd.,125945.0,1423.93,0.0043561869133,Entertainment,BHACON,ICICI Prudential AMC,2026-07
INE777K01022,RR Kabel Ltd.,49934.0,1299.68,0.003976072565,Industrial Products,BHACON,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,11250.0,1296.06,0.0039649980062,Automobiles,BHACON,ICICI Prudential AMC,2026-07
INE059D01020,La Opala RG Ltd.,687139.0,1266.74,0.0038753001978,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE872J01023,Devyani International Ltd,998163.0,1139.7,0.003486650485,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE955V01021,Arvind Fashions Ltd.,232434.0,1045.95,0.0031998438842,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE08U801020,Samhi hotels Ltd,562034.0,1010.76,0.0030921881585,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE142Z01019,Orient Electric Ltd.,570910.0,997.78,0.0030524788286,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE131B01039,Relaxo Footwears Ltd.,233878.0,944.75,0.0028902457188,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE324D01010,LG Electronics Inc,61531.0,917.12,0.0028057180774,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE671H01015,Sobha Ltd.,62926.0,863.47,0.00264158822,Realty,BHACON,ICICI Prudential AMC,2026-07
INE806T01020,Sapphire Foods India Ltd,455607.0,843.37,0.0025800968847,Leisure Services,BHACON,ICICI Prudential AMC,2026-07
INE027H01010,MAX Healthcare Institute Ltd,64788.0,711.7,0.00217728275,Healthcare Services,BHACON,ICICI Prudential AMC,2026-07
INE193E01025,Bajaj Electricals Ltd.,203045.0,675.94,0.0020678832402,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE225D01027,Symphony Ltd,90529.0,623.02,0.0019059866501,Consumer Durables,BHACON,ICICI Prudential AMC,2026-07
INE258B01022,FDC Ltd.,139305.0,570.87,0.0017464456983,Pharmaceuticals & Biotechnology,BHACON,ICICI Prudential AMC,2026-07
INE14LE01019,Aditya Birla Lifestyle Brands Ltd.,442149.0,418.58,0.0012805494077,Retailing,BHACON,ICICI Prudential AMC,2026-07
INE438K01021,Sai Silks (Kalamandir) Ltd.,58964.0,52.55,0.0001607646599,Retailing,BHACON,ICICI Prudential AMC,2026-07
