isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020240035,Government Securities,19081000.0,18494.53,0.0932495438223,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,14808250.0,13539.12,0.0682643334951,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2220250210,State Government of Maharashtra,7500000.0,7098.12,0.0357887684626,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2220250202,State Government of Maharashtra,7500000.0,7081.44,0.0357046677912,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2220250194,State Government of Maharashtra,7289900.0,6897.08,0.0347751234395,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN3320250050,State Government of Uttar Pradesh,5000000.0,4951.85,0.0249672607834,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,4960700.0,4827.21,0.0243388250706,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN4520250684,State Government of Telangana,4405600.0,4455.53,0.0224648120274,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,4000000.0,3879.93,0.0195626329818,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2020200035,State Government of Kerala,3500000.0,3831.49,0.0193183981782,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,2762800.0,2718.05,0.0137044262593,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,2662400.0,2626.47,0.0132426792874,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,2500000.0,2565.46,0.0129350664598,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,2500000.0,2519.24,0.012702024911,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN1720250084,State Government of Himachal pradesh,2500000.0,2486.94,0.0125391680952,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2920250221,State Government of Rajasthan,2500000.0,2486.49,0.0125368991922,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2120250120,State Government of Madhya Pradesh,2500000.0,2480.57,0.0125070505127,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2920250171,State Government of Rajasthan,2500000.0,2475.26,0.0124802774572,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2120250138,State Government of Madhya Pradesh,2500000.0,2473.07,0.0124692354626,SOV,BOND FUND,ICICI Prudential AMC,2026-07
IN2120250195,State Government of Madhya Pradesh,2500000.0,2450.82,0.0123570508139,SOV,BOND FUND,ICICI Prudential AMC,2026-07
