isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE115A07PN6,LIC Housing Finance Ltd.,500.0,4984.09,0.0977519319196,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE756I07EU9,HDB Financial Services Ltd. **,3500.0,3506.89,0.0687799121865,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE403D08207,Bharti Telecom Ltd. **,2500.0,2509.0,0.0492085008871,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE261F08ED0,NABARD **,2500.0,2504.48,0.0491198510569,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE916DA7SL3,Kotak Mahindra Prime Ltd. **,2500.0,2503.55,0.0491016111582,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE020B08FH7,Rural Electrification Corporation Ltd. **,2500.0,2501.23,0.0490561094754,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE115A07RA9,LIC Housing Finance Ltd.,450.0,450.33,0.008832229655,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE601U08309,Tata Capital Ltd. **,500.0,6866.83,0.1346777242513,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-07
INE562A16PT7,Indian Bank **,500.0,2455.37,0.048156666729,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE028A16KK9,Bank Of Baroda **,500.0,2446.8,0.0479885850819,FITCH A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE028A16MQ2,Bank Of Baroda **,500.0,2441.43,0.0478832643765,FITCH A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE238AD6CA3,Axis Bank Ltd. **,500.0,2437.05,0.0477973603375,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE040A16HY1,HDFC Bank Ltd. **,400.0,1959.37,0.0384287207585,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE556F16BS0,Small Industries Development Bank Of India. **,300.0,1464.91,0.0287309784912,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE556F16BT8,Small Industries Development Bank Of India. **,100.0,487.21,0.0095555495086,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE296A14D13,Bajaj Finance Ltd.,1000.0,4908.03,0.0962601827855,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE01C314GL9,Bajaj Financial Security Ltd. **,500.0,2449.03,0.0480323216132,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
INE774D14TS1,Mahindra & Mahindra Financial Services Ltd. **,500.0,2434.76,0.0477524470386,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-07
