isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE094A01015,Hindustan Petroleum Corporation Ltd.,8266991.0,32220.6,0.0784755752008,Petroleum Products,COMFUND,ICICI Prudential AMC,2026-07
INE749A01030,Jindal Steel Ltd.,2793523.0,30795.8,0.0750053729219,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE1CDF01017,Vedanta Aluminium Metal Ltd.,6578949.0,29881.59,0.0727787490973,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE019A01038,JSW Steel Ltd.,2183042.0,27724.63,0.0675253187861,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,1977939.0,19274.03,0.0469432782346,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE220G01021,Jindal Stainless Ltd.,2595232.0,19069.76,0.0464457640435,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE628A01036,UPL Ltd.,2986869.0,18049.65,0.0439612131966,Fertilizers & Agrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,146683.0,17459.68,0.0425242990764,Cement & Cement Products,COMFUND,ICICI Prudential AMC,2026-07
INE205A01025,Vedanta Ltd.,5904635.0,15603.0,0.0380022221764,Diversified Metals,COMFUND,ICICI Prudential AMC,2026-07
INE228A01035,Usha Martin Ltd.,3138006.0,15562.94,0.037904653182,Industrial Products,COMFUND,ICICI Prudential AMC,2026-07
INE048G01026,Navin Fluorine International Ltd.,168613.0,12759.79,0.0310773809206,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE769A01020,Aarti Industries Ltd.,2486676.0,12162.33,0.0296222243698,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE139A01034,National Aluminium Company Ltd.,2906992.0,10175.93,0.0247842051343,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE702C01027,APL Apollo Tubes Ltd.,538522.0,9798.41,0.0238647281802,Industrial Products,COMFUND,ICICI Prudential AMC,2026-07
INE088F01024,Paradeep Phosphates Ltd.,6244548.0,9200.09,0.0224074770379,Fertilizers & Agrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE079A01024,Ambuja Cements Ltd.,2117783.0,9153.06,0.0222929321101,Cement & Cement Products,COMFUND,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,4490960.0,8518.9,0.0207483900851,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE114A01011,Steel Authority Of India Ltd.,4880928.0,8250.23,0.0200940250892,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Ltd.,517043.0,8028.64,0.0195543267996,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE052I01032,Camlin Fine Sciences Ltd.,6093377.0,7783.68,0.018957709204,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE647A01010,SRF Ltd.,280352.0,7352.23,0.0179068818786,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE288B01029,Deepak Nitrite Ltd.,346748.0,5763.65,0.0140377816988,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE576O01020,Laxmi Organic Industries Ltd.,2021545.0,3608.05,0.0087876637649,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE229C01021,Sagar Cements Ltd.,2068421.0,3598.23,0.0087637464527,Cement & Cement Products,COMFUND,ICICI Prudential AMC,2026-07
INE100A01010,Atul Ltd.,52698.0,3550.0,0.008646278839,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE267A01025,Hindustan Zinc Ltd.,526424.0,2838.48,0.0069133210025,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE603J01030,PI Industries Ltd.,102211.0,2812.03,0.0068489001363,Fertilizers & Agrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE029A01011,Bharat Petroleum Corporation Ltd.,800000.0,2558.0,0.0062301919071,Petroleum Products,COMFUND,ICICI Prudential AMC,2026-07
INE338A01024,Thirumalai Chemicals Ltd,1183128.0,2061.6,0.0050211742125,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE128X01021,Archean Chemicals Ltd.,381677.0,2006.29,0.0048864627527,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE371A01025,Graphite India Ltd.,303161.0,1989.95,0.0048466655143,Industrial Products,COMFUND,ICICI Prudential AMC,2026-07
INE09N301011,Gujarat Fluorochemicals Ltd.,39746.0,1735.63,0.0042272509694,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE694L01019,Vedanta Power Ltd.,4604635.0,1589.52,0.0038713896169,Power,COMFUND,ICICI Prudential AMC,2026-07
INE1CLE01013,Vedanta Iron And Steel Ltd.,4604635.0,1486.38,0.003620184772,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-07
INE163A01018,National Organic Chemical Ltd.,835440.0,1371.54,0.0033404837405,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,200000.0,1020.6,0.0024857442769,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-07
