isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,75938000.0,69429.81,0.0229887104555,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,63598930.0,64088.32,0.0212201046216,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,51474000.0,49891.9,0.0165195676493,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2120250138,State Government of Madhya Pradesh,49151900.0,48622.48,0.0160992535389,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020200120,Government Securities,46599410.0,48429.7,0.0160354226916,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2120250120,State Government of Madhya Pradesh,41636600.0,41312.96,0.0136790187889,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2920250171,State Government of Rajasthan,29050600.0,28763.09,0.0095236663879,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1920250256,State Government of Karnataka,22533100.0,22592.45,0.0074805230135,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN3120250300,State Government of Tamil Nadu,20000000.0,19862.58,0.006576643383,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2920250213,State Government of Rajasthan,20000000.0,19862.42,0.0065765904058,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2220250293,State Government of Maharashtra,18101600.0,18035.11,0.0059715548958,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1320250112,State Government of Bihar,17070700.0,17083.38,0.0056564302339,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1720250084,State Government of Himachal pradesh,15000000.0,14921.64,0.0049406625407,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020240118,Government Securities,15470750.0,14834.19,0.0049117072155,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,14882100.0,14481.64,0.0047949753698,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN4520250684,State Government of Telangana,13216700.0,13366.48,0.0044257378571,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,13500000.0,13094.77,0.0043357727179,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,11051200.0,10872.2,0.0035998637734,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN4520250528,State Government of Telangana,8259600.0,8111.37,0.0026857330637,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,7765600.0,7827.48,0.0025917350388,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1620250135,State Government of Haryana,7307500.0,7256.97,0.0024028350662,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1020250313,State Government of Andhra Pradesh,5555600.0,5611.79,0.0018581041118,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,5657700.0,5581.34,0.0018480218974,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1620250325,State Government of Haryana,3679300.0,3726.2,0.0012337716738,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,2623300.0,2593.16,0.0008586139643,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,2021800.0,1983.04,0.0006565988353,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN2720250082,State Government of Odisha,1582000.0,1556.43,0.0005153451898,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN3320250126,State Government of Uttar Pradesh,638000.0,632.41,0.0002093955086,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020240126,Government Securities,455400.0,455.72,0.0001508921762,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,383200.0,372.88,0.0001234632552,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN3120250292,State Government of Tamil Nadu,296300.0,295.37,9.77991356e-05,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN1320250146,State Government of Bihar,178200.0,176.64,5.8486777e-05,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,30120.0,30.91,,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
IN0020250042,Government Securities,6250.0,6.07,,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-07
INE115A07RF8,LIC Housing Finance Ltd. **,145500.0,145441.22,0.0481566361031,CRISIL AAA,CORPORATE BOND,ICICI Prudential AMC,2026-07
