isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE041025011,EMBASSY OFFICE PARKS REIT,4793752.0,20996.15,0.0332228570467,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-07
INE0CCU25019,MINDSPACE BUSINESS PARKS REIT,1284236.0,6320.11,0.0100005053807,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-07
INE0FDU25010,Brookfield India Real Estate Trust REIT,1093650.0,3734.6,0.0059093730006,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-07
INE0NDH25011,Nexus Select Trust,9413.0,15.71,,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,26964800.0,27172.29,0.0429955542469,SOV,CRF,ICICI Prudential AMC,2026-07
IN3120250300,State Government of Tamil Nadu,5000000.0,4965.65,0.0078573014621,SOV,CRF,ICICI Prudential AMC,2026-07
IN2220250301,State Government of Maharashtra,5000000.0,4965.08,0.0078563995335,SOV,CRF,ICICI Prudential AMC,2026-07
IN3320250092,State Government of Uttar Pradesh,5000000.0,4913.76,0.0077751943114,SOV,CRF,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,5000000.0,4571.48,0.007233594089,SOV,CRF,ICICI Prudential AMC,2026-07
IN2220250293,State Government of Maharashtra,3920300.0,3905.9,0.0061804262847,SOV,CRF,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,3538300.0,3443.04,0.0054480286017,SOV,CRF,ICICI Prudential AMC,2026-07
IN2920250296,State Government of Rajasthan,3442000.0,3383.65,0.0053540539692,SOV,CRF,ICICI Prudential AMC,2026-07
IN1520230245,State Government of Gujarat,2500000.0,2545.8,0.0040282980198,SOV,CRF,ICICI Prudential AMC,2026-07
IN2220250376,State Government of Maharashtra,2456600.0,2420.97,0.0038307756528,SOV,CRF,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,2301500.0,2230.76,0.0035298004913,SOV,CRF,ICICI Prudential AMC,2026-07
IN4520250528,State Government of Telangana,2064900.0,2027.84,0.0032087139039,SOV,CRF,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,1941500.0,1956.97,0.0030965741126,SOV,CRF,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,2000000.0,1939.97,0.0030696744872,SOV,CRF,ICICI Prudential AMC,2026-07
IN2920250312,State Government of Rajasthan,1956400.0,1919.42,0.0030371575871,SOV,CRF,ICICI Prudential AMC,2026-07
IN1020250313,State Government of Andhra Pradesh,1851800.0,1870.53,0.0029597974291,SOV,CRF,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,1653600.0,1609.1,0.0025461286604,SOV,CRF,ICICI Prudential AMC,2026-07
IN2920250213,State Government of Rajasthan,1500000.0,1489.68,0.0023571667036,SOV,CRF,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,998400.0,984.93,0.0015584851789,SOV,CRF,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,327900.0,324.13,0.0005128809164,SOV,CRF,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,288800.0,283.26,0.0004482110523,SOV,CRF,ICICI Prudential AMC,2026-07
IN3320250126,State Government of Uttar Pradesh,107000.0,106.06,0.0001678220158,SOV,CRF,ICICI Prudential AMC,2026-07
IN3120250292,State Government of Tamil Nadu,74000.0,73.77,0.0001167285509,SOV,CRF,ICICI Prudential AMC,2026-07
INE205A08038,Vedanta Ltd. **,20000.0,20084.62,0.0317805149562,ICRA AA+,CRF,ICICI Prudential AMC,2026-07
INE423A07476,Adani Enterprises Ltd. **,20000.0,20026.56,0.0316886448238,ICRA AA-,CRF,ICICI Prudential AMC,2026-07
INE263M07109,Keystone Realtors Ltd. **,23500.0,19898.6,0.0314861697611,CRISIL AA-,CRF,ICICI Prudential AMC,2026-07
INE432R07505,Truhome Finance Ltd. **,20000.0,19766.8,0.0312776185477,FITCH AA,CRF,ICICI Prudential AMC,2026-07
INE755L07015,Bamboo Hotels & Global Centre (Delhi) Pvt Ltd. **,18500.0,18579.12,0.0293983157776,ICRA A+(CE),CRF,ICICI Prudential AMC,2026-07
INE814H07190,Adani Power Ltd. **,17500.0,17418.22,0.0275613878291,CRISIL AA,CRF,ICICI Prudential AMC,2026-07
