isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K018N2,ICICI Prudential Focused Equity Fund - Direct - Growth,14304943.556,15904.24,0.4720860160813,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF194K01V89,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,1853210.471,3062.76,0.0909119936956,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF0R8701046,Helios Flexi Cap Fund - Direct Plan - Growth Option,19086002.47,3040.4,0.0902482811686,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF879O01027,Parag Parikh Flexi Cap Fund - Direct - Growth,2172486.269,1999.83,0.0593610117515,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF663L01GR4,PGIM India Large Cap Fund - Direct Plan -  Growth,410160.843,1661.44,0.0493165715908,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF109K016L0,ICICI Prudential Large cap Fund - Direct Plan -  Growth,1260676.841,1527.94,0.0453538872282,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF179KC1FB2,HDFC Nifty Smallcap 250 ETF,814300.0,1471.2,0.0436696721665,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF109K011O5,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,114237.17,1354.59,0.0402083341626,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF109KC1V18,ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan -  Growth,6433375.175,1183.61,0.0351331298756,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
INF109KC11W8,ICICI Prudential Nifty Midcap 150 ETF,4515000.0,1080.89,0.0320840891436,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-07
