isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K012K1,ICICI Prudential Value Fund - Direct Plan -  Growth,72272281.559,372180.57,0.1293284468383,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K016E5,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,647633891.668,275494.39,0.0957311166764,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K016L0,ICICI Prudential Large cap Fund - Direct Plan -  Growth,176683333.009,214140.2,0.0744112447129,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K018N2,ICICI Prudential Focused Equity Fund - Direct - Growth,153555591.31,170723.11,0.0593243077028,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01O82,ICICI Prudential Savings Fund - Direct - Growth,25986914.723,153689.47,0.0534053146581,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC12T2,ICICI Prudential Innovation Fund - Direct Plan - Growth,744819410.1,150379.04,0.0522549784913,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K011O5,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,12344738.028,146380.2,0.0508654278053,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01Z48,ICICI Prudential Technology Fund - Direct - Growth,68235253.265,139390.98,0.0484367546287,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K018M4,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth,57743215.677,127751.09,0.0443920273742,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K013J1,ICICI Prudential  Banking and Financial Services Fund - Direct - Growth,82849297.09,123014.64,0.0427461657377,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K018C5,ICICI Prudential Gilt Fund - Direct Plan - Growth,90765636.679,106329.31,0.0369482063926,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K013N3,ICICI Prudential Short Term Fund - Direct Plan -  Growth Option,137712936.189,97065.86,0.0337292645739,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01P57,ICICI Prudential Floating Interest Fund - Direct Plan,18834655.569,94107.53,0.0327012790879,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K016B1,ICICI Prudential Corporate Bond Fund- Direct Plan -  Growth,280748533.954,93942.67,0.0326439921432,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC10Y6,ICICI Prudential Equity Minimum Variance Fund - Direct Plan -  Growth,528032542.894,57238.73,0.0198897971753,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC10C2,ICICI Prudential Housing Opportunities Fund - Direct - Growth,285253412.225,52229.9,0.0181492866366,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K1A187,ICICI Prudential Quality Fund - Direct Plan -  Growth,454309744.982,49292.61,0.0171286123074,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K010A6,ICICI Prudential Banking & PSU Debt Fund - Direct Plan - Growth,122657563.452,44637.3,0.0155109458832,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC1F91,ICICI Prudential Commodities Fund - Direct - Growth,84840555.5,43328.07,0.0150560035888,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K015A5,ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,72184959.672,38592.61,0.0134104859658,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K1A385,ICICI Prudential Active Momentum Fund - Direct - Growth,336801516.854,36778.73,0.0127801836285,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01V83,ICICI Prudential Bond Fund - Direct Plan - Growth,79184102.823,35602.52,0.0123714642468,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC1GH2,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Growth,74761429.345,35444.39,0.0123165158993,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC1YD4,ICICI Prudential Bharat Consumption Fund - Direct - Growth,121271690.737,33349.71,0.0115886388072,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01W25,ICICI Prudential Exports and Services Fund - Direct - Growth,16355809.647,30477.42,0.0105905512268,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC12W6,ICICI Prudential Energy Opportunities Fund - Direct Plan -  Growth,187404252.179,21870.08,0.0075996000506,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01Z14,ICICI Prudential FMCG Fund - Direct Plan - Growth,4136623.044,19203.86,0.0066731194137,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109K01V00,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,30246521.552,11612.82,0.0040353207423,Capital Markets,MODER,ICICI Prudential AMC,2026-07
INF109KC1O66,ICICI Prudential Quant Fund - Direct Plan -  Growth,14472441.909,3532.72,0.0012275793728,Capital Markets,MODER,ICICI Prudential AMC,2026-07
