isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE030A01027,Hindustan Unilever Ltd.,1391447,29238.48,0.179234921686,Diversified Fmcg,FMCG,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,10204583,28674.88,0.1757799951008,Diversified Fmcg,FMCG,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,967171,14600.41,0.0895020309856,Food Products,FMCG,ICICI Prudential AMC,2026-07
INE102D01028,Godrej Consumer Products Ltd.,985028,10543.74,0.0646342222023,Personal Products,FMCG,ICICI Prudential AMC,2026-07
INE192A01025,Tata Consumer Products Ltd.,963042,10430.71,0.063941336553,Agricultural Food & Other Products,FMCG,ICICI Prudential AMC,2026-07
INE200M01039,Varun Beverages Ltd.,1648191,7289.95,0.0446881512768,Beverages,FMCG,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,130257,7055.37,0.0432501514926,Food Products,FMCG,ICICI Prudential AMC,2026-07
INE196A01026,Marico Ltd.,721932,6285.5,0.0385307683661,Agricultural Food & Other Products,FMCG,ICICI Prudential AMC,2026-07
INE854D01024,United Spirits Ltd.,371634,5633.6,0.0345345536023,Beverages,FMCG,ICICI Prudential AMC,2026-07
INE259A01022,Colgate - Palmolive (India) Ltd.,226280,4697.8,0.0287980023276,Personal Products,FMCG,ICICI Prudential AMC,2026-07
INE686F01025,United Breweries Ltd.,308869,4382.23,0.0268635254247,Beverages,FMCG,ICICI Prudential AMC,2026-07
INE016A01026,Dabur India Ltd.,930895,3923.26,0.0240499916156,Personal Products,FMCG,ICICI Prudential AMC,2026-07
INE098F01031,Amrutanjan Health Care Ltd.,660411,3401.12,0.0208492191401,Pharmaceuticals & Biotechnology,FMCG,ICICI Prudential AMC,2026-07
INE944F01028,Radico Khaitan Ltd.,63715,2765.74,0.0169542736935,Beverages,FMCG,ICICI Prudential AMC,2026-07
INE192R01011,Avenue Supermarts Ltd.,63646,2495.56,0.0152980422088,Retailing,FMCG,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,69331,1904.73,0.0116761928931,Consumer Durables,FMCG,ICICI Prudential AMC,2026-07
INE548C01032,Emami Ltd.,451189,1795.96,0.0110094214867,Personal Products,FMCG,ICICI Prudential AMC,2026-07
INE00E101023,Bikaji Foods International Ltd,230520,1479.13,0.0090672206528,Food Products,FMCG,ICICI Prudential AMC,2026-07
INE806T01020,Sapphire Foods India Ltd,794944,1471.52,0.0090205705617,Leisure Services,FMCG,ICICI Prudential AMC,2026-07
INE955V01021,Arvind Fashions Ltd.,269998,1214.99,0.0074480149959,Retailing,FMCG,ICICI Prudential AMC,2026-07
INE600K01018,Galaxy Surfactants Ltd.,60170,1170.01,0.0071722829203,Chemicals & Petrochemicals,FMCG,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,72075,1161.42,0.0071196253274,Chemicals & Petrochemicals,FMCG,ICICI Prudential AMC,2026-07
INE495P01020,Mrs. Bectors Food Specialities Ltd.,500504,1033.34,0.0063344816137,Food Products,FMCG,ICICI Prudential AMC,2026-07
INE668F01031,Jyothy Labs Ltd,486495,967.4,0.0059302625594,Household Products,FMCG,ICICI Prudential AMC,2026-07
INE699H01024,Adani Wilmar Ltd,439163,831.95,0.0050999399796,Agricultural Food & Other Products,FMCG,ICICI Prudential AMC,2026-07
INE16NZ01023,Orkla India Ltd.,129711,722.88,0.004431329542,Food Products,FMCG,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,218075,659.57,0.004043232661,Retailing,FMCG,ICICI Prudential AMC,2026-07
INE299U01018,Crompton Greaves Consumer Electricals Ltd.,185000,481.37,0.0029508481375,Consumer Durables,FMCG,ICICI Prudential AMC,2026-07
INE126A01031,EID Parry (India) Ltd.,63000,478.83,0.0029352776734,Food Products,FMCG,ICICI Prudential AMC,2026-07
INE797F01020,Jubilant Foodworks Ltd.,93295,408.87,0.0025064156012,Leisure Services,FMCG,ICICI Prudential AMC,2026-07
INE255A01020,EPL Ltd.,163402,363.44,0.0022279249789,Industrial Products,FMCG,ICICI Prudential AMC,2026-07
INE635Q01029,Gulf Oil Lubricants India Ltd.,9499,101.57,0.000622634658,Petroleum Products,FMCG,ICICI Prudential AMC,2026-07
INE893J01029,Mold-Tek Packaging Ltd,14608,98.19,0.0006019149066,Industrial Products,FMCG,ICICI Prudential AMC,2026-07
