isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN2920180337,State Government of Rajasthan,8570000.0,8868.0,0.1794244559354,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1320180061,State Government of Bihar,8000000.0,8281.77,0.1675633825476,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3320180174,State Government of Uttar Pradesh,6500000.0,6729.76,0.1361618771511,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3620180213,State Government of Uttarakhand,3000000.0,3108.11,0.0628857629383,SOV,F8510I,ICICI Prudential AMC,2026-07
IN2020180138,State Government of Kerala,1900000.0,1961.66,0.0396898712483,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3120180226,State Government of Tamil Nadu,1500000.0,1553.7,0.0314356988257,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3720180089,State Government of Jharkhand,1500000.0,1552.58,0.0314130380915,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1520180291,State Government of Gujarat,1500000.0,1549.81,0.0313569932401,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3320180158,State Government of Uttar Pradesh,1500000.0,1548.15,0.0313234067948,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1020230752,State Government of Andhra Pradesh,1500000.0,1517.71,0.0307075204124,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1920180206,State Government of Karnataka,1135000.0,1174.56,0.0237646356521,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1520180309,State Government of Gujarat,1000000.0,1035.74,0.0209559185826,SOV,F8510I,ICICI Prudential AMC,2026-07
IN2920180311,State Government of Rajasthan,1000000.0,1035.2,0.0209449928714,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3320180182,State Government of Uttar Pradesh,1000000.0,1034.63,0.0209334601764,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3320180166,State Government of Uttar Pradesh,990000.0,1025.17,0.0207420579038,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1520180259,State Government of Gujarat,900000.0,928.45,0.0187851416456,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1920180164,State Government of Karnataka,665000.0,687.41,0.0139082279267,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1020220720,State Government of Andhra Pradesh,518200.0,528.24,0.0106877734103,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1520180325,State Government of Gujarat,500000.0,517.19,0.0104642009884,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1520180283,State Government of Gujarat,500000.0,516.5,0.0104502403575,SOV,F8510I,ICICI Prudential AMC,2026-07
IN2220200355,State Government of Maharashtra,500000.0,502.44,0.0101657672124,SOV,F8510I,ICICI Prudential AMC,2026-07
IN2120210066,State Government of Madhya Pradesh,500000.0,502.15,0.0101598997009,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3720180055,State Government of Jharkhand,350000.0,361.38,0.0073117286745,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3120180200,State Government of Tamil Nadu,250000.0,257.46,0.005209136268,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3520200111,State Government of Chhattisgarh,255300.0,256.18,0.0051832382861,SOV,F8510I,ICICI Prudential AMC,2026-07
IN2920180329,State Government of Rajasthan,200000.0,206.96,0.0041873799504,SOV,F8510I,ICICI Prudential AMC,2026-07
IN3420180157,State Government of West Bengal,100000.0,103.19,0.0020878224636,SOV,F8510I,ICICI Prudential AMC,2026-07
IN1520180317,State Government of Gujarat,48300.0,50.01,0.0010118422464,SOV,F8510I,ICICI Prudential AMC,2026-07
IN2420180068,State Government of Meghalaya,40000.0,41.4,0.0008376378524,SOV,F8510I,ICICI Prudential AMC,2026-07
