isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020200120,Government Securities,34538930.0,35895.52,0.0424074385891,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN1320250070,State Government of Bihar,20000000.0,20110.46,0.0237587614679,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN1920250223,State Government of Karnataka,20000000.0,20016.72,0.0236480158012,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN3120260044,State Government of Tamil Nadu,15000000.0,15355.68,0.0181414019519,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,12203330.0,12522.87,0.0147946830268,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN1920250157,State Government of Karnataka,10000000.0,10045.21,0.0118675429744,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN2220260045,State Government of Maharashtra,7774300.0,7861.57,0.0092877620101,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN1520230245,State Government of Gujarat,7500000.0,7637.41,0.0090229364431,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN2220250475,State Government of Maharashtra,7125300.0,7119.02,0.0084105036913,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN2220250301,State Government of Maharashtra,5000000.0,4965.08,0.0058658106969,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,3882800.0,3913.74,0.0046237438182,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN1920250256,State Government of Karnataka,2256300.0,2262.24,0.0026726400362,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN2920250361,State Government of Rajasthan,428000.0,430.54,0.0005086456084,SOV,FLOATING,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,122700.0,123.64,0.0001460699192,SOV,FLOATING,ICICI Prudential AMC,2026-07
INE261F08EM1,NABARD **,28000.0,28030.94,0.0331161205254,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-07
INE915D08DC0,Citicorp Finance (India) Ltd. **,26143.0,26107.24,0.0308434360898,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-07
INE306N07NI9,Tata Capital Financial Services Ltd. **,2500.0,25067.48,0.0296150499751,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-07
INE134E08NP7,Power Finance Corporation Ltd. **,22500.0,22552.0,0.0266432288781,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-07
