isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,11337653,162740.67,0.0916149852249,Banks,FOCUSED,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,8366739,102869.06,0.0579102163706,Banks,FOCUSED,ICICI Prudential AMC,2026-07
INE494B01023,TVS Motor Company Ltd.,2315449,99867.63,0.0562205590458,Automobiles,FOCUSED,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,12543344,93843.03,0.0528290058466,Banks,FOCUSED,ICICI Prudential AMC,2026-07
INE356A01018,Mphasis Ltd.,3958995,92731.54,0.052203291697,It - Software,FOCUSED,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,3818509,75301.0,0.0423907558105,Telecom - Services,FOCUSED,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,1251292,67776.23,0.0381546807571,Food Products,FOCUSED,ICICI Prudential AMC,2026-07
INE742F01042,Adani Ports and Special Economic Zone Ltd.,3815568,64731.11,0.0364404281132,Transport Infrastructure,FOCUSED,ICICI Prudential AMC,2026-07
INE127D01025,HDFC Asset Management Company Ltd.,2441543,63865.88,0.0359533462199,Capital Markets,FOCUSED,ICICI Prudential AMC,2026-07
INE102D01028,Godrej Consumer Products Ltd.,5673599,60730.2,0.0341881127545,Personal Products,FOCUSED,ICICI Prudential AMC,2026-07
INE066F01020,Hindustan Aeronautics Ltd.,1196926,55615.17,0.0313086026856,Aerospace & Defense,FOCUSED,ICICI Prudential AMC,2026-07
INE00H001014,Swiggy Ltd,18813699,53592.7,0.0301700516451,Retailing,FOCUSED,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,1087594,53022.38,0.0298489895629,Consumer Durables,FOCUSED,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,2647868,52705.81,0.0296707762381,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-07
INE211B01039,The Phoenix Mills Ltd.,2767339,52394.03,0.0294952594475,Realty,FOCUSED,ICICI Prudential AMC,2026-07
INE121A01024,Cholamandalam Investment And Finance Company Ltd.,2685552,49680.03,0.0279674110621,Finance,FOCUSED,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,14233125,48357.04,0.0272226328251,Automobiles,FOCUSED,ICICI Prudential AMC,2026-07
INE466L01038,360 One Wam Ltd.,4206518,47756.6,0.0268846146657,Capital Markets,FOCUSED,ICICI Prudential AMC,2026-07
INE208A01029,Ashok Leyland Ltd.,28159770,46795.91,0.026343793492,"Agricultural, Commercial & Construction Vehicles",FOCUSED,ICICI Prudential AMC,2026-07
INE572E01012,PNB Housing Finance Ltd.,4383418,46161.77,0.0259868038917,Finance,FOCUSED,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,1500124,45092.23,0.0253847055269,Retailing,FOCUSED,ICICI Prudential AMC,2026-07
INE811K01011,Prestige Estates Projects Ltd.,2752491,44485.76,0.0250432927744,Realty,FOCUSED,ICICI Prudential AMC,2026-07
INE376G01013,Biocon Ltd.,10290000,43804.53,0.0246597938224,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-07
INE089A01031,Dr. Reddy's Laboratories Ltd.,3497500,40154.8,0.0226051755145,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-07
INE540L01014,Alkem Laboratories Ltd.,684536,39371.09,0.0221639853678,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-07
INE027H01010,MAX Healthcare Institute Ltd,3524261,38714.01,0.0217940816769,Healthcare Services,FOCUSED,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,17950874,34051.01,0.0191690422439,Ferrous Metals,FOCUSED,ICICI Prudential AMC,2026-07
INE880J01026,JSW Infrastructure Ltd,8841186,27619.87,0.0155486270393,Transport Infrastructure,FOCUSED,ICICI Prudential AMC,2026-07
INE053A01029,The Indian Hotels Company Ltd.,1094485,8083.32,0.0045505112051,Leisure Services,FOCUSED,ICICI Prudential AMC,2026-07
INE494B04019,TVS Motor Company Ltd.,4637628,484.63,0.0002728228308,CARE A1+,FOCUSED,ICICI Prudential AMC,2026-07
