isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020260025,Government Securities,135000000.0,136038.83,0.1530222900526,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,143466750.0,131171.08,0.1475468368133,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,87159160.0,84812.66,0.0954009047171,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,79038200.0,76608.88,0.0861729423574,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220250202,State Government of Maharashtra,30000000.0,28325.76,0.0318620254429,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220250194,State Government of Maharashtra,29159500.0,27588.21,0.0310323976812,SOV,GILT,ICICI Prudential AMC,2026-07
IN3320250050,State Government of Uttar Pradesh,25000000.0,24759.25,0.0278502625683,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220250210,State Government of Maharashtra,25000000.0,23660.4,0.0266142291253,SOV,GILT,ICICI Prudential AMC,2026-07
IN4520250684,State Government of Telangana,21433600.0,21676.51,0.0243826648652,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,21496400.0,20917.95,0.0235294041576,SOV,GILT,ICICI Prudential AMC,2026-07
IN2920250213,State Government of Rajasthan,20000000.0,19862.42,0.0223420989021,SOV,GILT,ICICI Prudential AMC,2026-07
IN2120250138,State Government of Madhya Pradesh,19660700.0,19448.93,0.0218769876782,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,17500000.0,16974.7,0.0190938680298,SOV,GILT,ICICI Prudential AMC,2026-07
IN2920250171,State Government of Rajasthan,16867000.0,16700.07,0.0187849524686,SOV,GILT,ICICI Prudential AMC,2026-07
IN2120250120,State Government of Madhya Pradesh,16654600.0,16525.14,0.0185881837284,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020200120,Government Securities,15788050.0,16408.16,0.0184565996249,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020240118,Government Securities,14000000.0,13423.96,0.0150998439252,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220250301,State Government of Maharashtra,12500000.0,12412.69,0.0139623242093,SOV,GILT,ICICI Prudential AMC,2026-07
IN1720250084,State Government of Himachal pradesh,10000000.0,9947.76,0.0111896655983,SOV,GILT,ICICI Prudential AMC,2026-07
IN3120250300,State Government of Tamil Nadu,10000000.0,9931.29,0.0111711394384,SOV,GILT,ICICI Prudential AMC,2026-07
IN2120250195,State Government of Madhya Pradesh,10000000.0,9803.27,0.0110271370711,SOV,GILT,ICICI Prudential AMC,2026-07
IN2920250221,State Government of Rajasthan,9500000.0,9448.67,0.0106282678361,SOV,GILT,ICICI Prudential AMC,2026-07
IN1020250321,State Government of Andhra Pradesh,9047600.0,8898.48,0.0100093906099,SOV,GILT,ICICI Prudential AMC,2026-07
IN1020250339,State Government of Andhra Pradesh,9047600.0,8891.39,0.0100014154749,SOV,GILT,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,8288200.0,8153.96,0.0091719226944,SOV,GILT,ICICI Prudential AMC,2026-07
IN4520250528,State Government of Telangana,8259600.0,8111.37,0.0091240156421,SOV,GILT,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,7765600.0,7827.48,0.0088046840372,SOV,GILT,ICICI Prudential AMC,2026-07
IN1620250325,State Government of Haryana,7358600.0,7452.4,0.0083827780229,SOV,GILT,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,7321700.0,7222.89,0.008124615366,SOV,GILT,ICICI Prudential AMC,2026-07
IN2120250187,State Government of Madhya Pradesh,7222900.0,7079.78,0.0079636391217,SOV,GILT,ICICI Prudential AMC,2026-07
IN4520260063,State Government of Telangana,6243400.0,6198.36,0.0069721802353,SOV,GILT,ICICI Prudential AMC,2026-07
IN1520250169,State Government of Gujarat,5421800.0,5327.33,0.005992408465,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220250186,State Government of Maharashtra,5559900.0,5260.45,0.0059171789827,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220260029,State Government of Maharashtra,5000000.0,5144.64,0.0057869109451,SOV,GILT,ICICI Prudential AMC,2026-07
IN1320250112,State Government of Bihar,5121200.0,5125.01,0.0057648302822,SOV,GILT,ICICI Prudential AMC,2026-07
IN1620250135,State Government of Haryana,4871600.0,4837.91,0.005441887932,SOV,GILT,ICICI Prudential AMC,2026-07
IN4520220299,State Government of Telangana,4000000.0,4054.98,0.0045612148069,SOV,GILT,ICICI Prudential AMC,2026-07
IN1020250313,State Government of Andhra Pradesh,3703700.0,3741.16,0.0042082166588,SOV,GILT,ICICI Prudential AMC,2026-07
IN1620250184,State Government of Haryana,2776500.0,2736.48,0.0030781096565,SOV,GILT,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,2599500.0,2549.67,0.0028679777845,SOV,GILT,ICICI Prudential AMC,2026-07
IN1620250432,State Government of Haryana,1967700.0,1992.18,0.0022408892063,SOV,GILT,ICICI Prudential AMC,2026-07
IN2720250082,State Government of Odisha,1582000.0,1556.43,0.0017507389831,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020240142,Government Securities,1100000.0,1031.33,0.0011600840612,SOV,GILT,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,983700.0,972.4,0.0010937970787,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,301070.0,308.95,0.0003475201639,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020250042,Government Securities,147900.0,143.53,0.0001614486782,SOV,GILT,ICICI Prudential AMC,2026-07
IN1920230274,State Government of Karnataka,22800.0,22.91,,SOV,GILT,ICICI Prudential AMC,2026-07
IN0020240134,Government Securities,8700.0,8.68,,SOV,GILT,ICICI Prudential AMC,2026-07
IN3120240053,State Government of Tamil Nadu,5000.0,5.02,,SOV,GILT,ICICI Prudential AMC,2026-07
