isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020160035,Government Securities,77000000.0,77105.41,0.012525655896,SOV,LIQUID,ICICI Prudential AMC,2026-07
IN2220210214,State Government of Maharashtra,5000000.0,5001.21,0.0008124389134,SOV,LIQUID,ICICI Prudential AMC,2026-07
INE151A08349,Tata Communications Ltd.,66000.0,66034.65,0.0107272278705,CARE AAA,LIQUID,ICICI Prudential AMC,2026-07
INE261F08EA6,NABARD **,39000.0,39012.01,0.0063374413426,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE020B08FC8,Rural Electrification Corporation Ltd. **,30000.0,30018.03,0.0048763830509,ICRA AAA,LIQUID,ICICI Prudential AMC,2026-07
INE377Y07490,Bajaj Housing Finance Ltd. **,22500.0,22516.09,0.0036577043746,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE134E08MT1,Power Finance Corporation Ltd. **,20000.0,20008.86,0.0032504086967,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE556F08KI9,Small Industries Development Bank Of India. **,20000.0,20006.34,0.0032499993266,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE667F07IT7,Sundaram Home Finance Ltd. **,16750.0,16762.7,0.0027230749708,ICRA AAA,LIQUID,ICICI Prudential AMC,2026-07
INE556F08KH1,Small Industries Development Bank Of India. **,14500.0,14503.81,0.002356121746,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE692Q07449,Toyota Financial Services India **,12500.0,12507.55,0.002031832363,ICRA AAA,LIQUID,ICICI Prudential AMC,2026-07
INE115A07PI6,LIC Housing Finance Ltd. **,750.0,7493.12,0.0012172458807,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE481G07190,Ultratech Cement Ltd. **,500.0,5001.15,0.0008124291665,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE134E08LK2,Power Finance Corporation Ltd. **,500.0,4997.25,0.0008117956175,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE040A08369,HDFC Bank Ltd. **,250.0,2502.52,0.0004065305455,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE556F08KJ7,Small Industries Development Bank Of India. **,1000.0,1000.56,0.0001625394413,CRISIL AAA,LIQUID,ICICI Prudential AMC,2026-07
INE476A16J41,Canara Bank **,33000.0,164118.41,0.0266607846307,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE562A16RB1,Indian Bank **,24000.0,119381.4,0.0193933257963,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE692A16MT9,Union Bank Of India,22500.0,110976.75,0.0180280032616,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE084A16FY3,Bank Of India **,20000.0,99481.6,0.0161606337297,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16JT7,HDFC Bank Ltd. **,20000.0,98592.8,0.0160162495294,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE095A165E1,IndusInd Bank Ltd.,16600.0,82662.77,0.0134284405262,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16HL8,HDFC Bank Ltd.,16000.0,79442.8,0.0129053613257,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028A16MM1,Bank Of Baroda **,15000.0,74599.95,0.012118647752,FITCH A1+,LIQUID,ICICI Prudential AMC,2026-07
INE692A16MP7,Union Bank Of India **,13000.0,64387.64,0.0104596736156,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE01GA16277,DBS Bank Ltd India **,10000.0,49735.65,0.0080794802552,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16JN0,HDFC Bank Ltd. **,10000.0,49703.7,0.0080742900266,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE476A16J82,Canara Bank **,10000.0,49664.35,0.0080678976793,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE514E14TO8,Export-Import Bank Of India **,10000.0,49608.55,0.0080588330547,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE092T16ZV0,IDFC First Bank Ltd. **,10000.0,49480.3,0.0080379990384,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16JS9,HDFC Bank Ltd. **,10000.0,49441.05,0.0080316229359,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE692A16MW3,Union Bank Of India **,10000.0,49257.25,0.0080017649071,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE692A16MJ0,Union Bank Of India,8000.0,39764.8,0.0064597309264,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE01GA16293,DBS Bank Ltd India **,8000.0,39739.52,0.0064556242291,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16JO8,HDFC Bank Ltd. **,7000.0,34774.39,0.0056490464564,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16JQ3,HDFC Bank Ltd. **,7000.0,34716.82,0.005639694298,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028A16MP4,Bank Of Baroda **,5000.0,24840.98,0.0040353791984,FITCH A1+,LIQUID,ICICI Prudential AMC,2026-07
INE084A16GB9,Bank Of India **,5000.0,24788.28,0.004026818164,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE092T16ZT4,IDFC First Bank Ltd. **,5000.0,24771.23,0.0040240484176,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE084A16GD5,Bank Of India **,5000.0,24766.43,0.0040232686649,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE084A16GE3,Bank Of India **,5000.0,24762.08,0.0040225620141,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE476A16J33,Canara Bank **,4500.0,22384.1,0.003636262801,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028A16MR0,Bank Of Baroda **,4000.0,19859.14,0.0032260869118,FITCH A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028A16MS8,Bank Of Baroda **,4000.0,19845.5,0.0032238711146,FITCH A1+,LIQUID,ICICI Prudential AMC,2026-07
INE01GA16301,DBS Bank Ltd India **,4000.0,19818.7,0.0032195174956,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16HO2,HDFC Bank Ltd.,3500.0,17427.08,0.0028310024854,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE040A16HR5,HDFC Bank Ltd.,2500.0,12387.56,0.0020123401711,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE160A16UT0,Punjab National Bank **,2000.0,9922.75,0.0016119355573,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE476A16I18,Canara Bank **,2000.0,9922.62,0.001611914439,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE692A16MH4,Union Bank Of India **,1000.0,4980.16,0.0008090193731,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE261F16AB5,NABARD **,500.0,2479.08,0.0004027227534,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE237AD6075,Kotak Mahindra Bank Ltd.,100.0,497.42,8.0805118e-05,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE556F14ML7,Small Industries Development Bank Of India. **,40000.0,198430.6,0.0322347474043,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE261F14PL7,NABARD **,30000.0,149218.2,0.024240268311,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE929O14FD9,Reliance Retail Ventures Ltd **,30000.0,148767.3,0.0241670202958,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE929O14FC1,Reliance Retail Ventures Ltd **,28000.0,138985.28,0.0225779461117,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE556F14MJ1,Small Industries Development Bank Of India. **,25000.0,124170.75,0.0201713483769,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE556F14MO1,Small Industries Development Bank Of India. **,25000.0,122973.5,0.019976856946,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE556F14MI3,Small Industries Development Bank Of India. **,20000.0,99423.4,0.0161511792287,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE733E14CE1,NTPC Ltd. **,18000.0,88917.66,0.0144445378378,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE941D14774,Sikka Ports & Terminals Ltd. **,16000.0,78866.08,0.012811674044,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE094A14KH2,Hindustan Petroleum Corporation Ltd.,15500.0,76695.4,0.0124590503988,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE261F14PQ6,NABARD **,15000.0,74501.25,0.012102614088,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14UF4,HDFC Securities Ltd **,12000.0,59576.4,0.009678095038,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE01C314GB0,Bajaj Financial Security Ltd. **,11000.0,54590.8,0.0088681919451,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE094A14KF6,Hindustan Petroleum Corporation Ltd. **,11000.0,54486.52,0.0088512518187,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028E14WF1,Kotak Securities Ltd. **,10000.0,49901.3,0.0081063898443,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14TS9,HDFC Securities Ltd **,10000.0,49819.85,0.0080931584164,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE115A14FV6,LIC Housing Finance Ltd. **,10000.0,49774.0,0.008085710154,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14TW1,HDFC Securities Ltd **,10000.0,49754.4,0.008082526164,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE115A14FW4,LIC Housing Finance Ltd. **,10000.0,49655.4,0.0080664437655,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE110O14IW0,Axis Securities Ltd. **,10000.0,49513.3,0.0080433598379,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE020B14714,Rural Electrification Corporation Ltd. **,10000.0,49244.95,0.0079997667909,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028E14WP0,Kotak Securities Ltd. **,9000.0,44779.73,0.0072743986329,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14TV3,HDFC Securities Ltd **,8000.0,39780.2,0.0064622326329,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028E14XA0,Kotak Securities Ltd. **,8000.0,39695.44,0.0064484635006,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14UN8,HDFC Securities Ltd **,8000.0,39656.16,0.0064420825246,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE01C314GF1,Bajaj Financial Security Ltd. **,8000.0,39655.64,0.0064419980514,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE121A14YU7,Cholamandalam Investment And Finance Company Ltd. **,8000.0,39634.36,0.006438541148,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE033L14PD5,Tata Capital Housing Finance Ltd. **,7800.0,38413.09,0.0062401477048,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE245A14LC9,Tata Power Company Ltd. **,7000.0,34745.66,0.0056443793119,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14TQ3,HDFC Securities Ltd **,6000.0,29902.68,0.0048576446198,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE212K14EC3,SBICAP Securities Ltd **,6000.0,29868.72,0.0048521278698,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14UC1,HDFC Securities Ltd **,6000.0,29815.89,0.0048435457171,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE110O14IR0,Axis Securities Ltd. **,6000.0,29787.57,0.0048389451764,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE733E14CF8,NTPC Ltd. **,6000.0,29617.32,0.0048112883244,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE831R14GG1,Aditya Birla Housing Finance Ltd. **,6000.0,29559.54,0.0048019020518,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE377Y14CH8,Bajaj Housing Finance Ltd. **,6000.0,29545.95,0.0047996943771,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE466L14GA2,360 One Wam Ltd. **,5000.0,24952.15,0.0040534385948,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028E14WI5,Kotak Securities Ltd. **,5000.0,24919.33,0.004048107036,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE121A14YT9,Cholamandalam Investment And Finance Company Ltd. **,5000.0,24909.03,0.0040464338168,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE477A14EI0,Can Fin Homes Ltd. **,5000.0,24898.93,0.0040447930872,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE929O14FA5,Reliance Retail Ventures Ltd **,5000.0,24858.35,0.0040382009283,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE976I14RM8,Tata Capital Financial Services Ltd. **,5000.0,24853.7,0.0040374455429,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE929O14FE7,Reliance Retail Ventures Ltd **,5000.0,24785.7,0.004026399047,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028E14XC6,Kotak Securities Ltd. **,5000.0,24785.1,0.0040263015779,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE094A14KE9,Hindustan Petroleum Corporation Ltd. **,5000.0,24770.98,0.0040240078055,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE047A14BC0,Grasim Industries Ltd. **,5000.0,24755.53,0.0040214979766,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE824H14UT1,Julius Baer Capital (India) Pvt. Ltd. **,5000.0,24588.05,0.0039942911068,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE09OL14JM7,Birla Group Holdings Pvt. Ltd. **,4500.0,22329.32,0.0036273638738,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE094A14KG4,Hindustan Petroleum Corporation Ltd. **,4500.0,22282.09,0.0036196914326,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE212K14EA7,SBICAP Securities Ltd **,4000.0,19928.1,0.0032372893583,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE296A14H50,Bajaj Finance Ltd. **,4000.0,19882.78,0.0032299271936,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE870H14XJ9,Network18 Media & Investments Ltd. **,4000.0,19863.92,0.0032268634155,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE09OL14JJ3,Birla Group Holdings Pvt. Ltd. **,4000.0,19859.58,0.0032261583891,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE094A14KC3,Hindustan Petroleum Corporation Ltd. **,4000.0,19843.3,0.003223513728,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE732I14CK1,Angel One Ltd. **,4000.0,19842.9,0.0032234487486,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE102D14CE1,Godrej Consumer Products Ltd. **,4000.0,19834.3,0.0032220516918,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE09OL14JP0,Birla Group Holdings Pvt. Ltd. **,4000.0,19805.6,0.0032173894207,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE296A14H19,Bajaj Finance Ltd. **,3500.0,17463.11,0.0028368555038,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE296A14H35,Bajaj Finance Ltd. **,3500.0,17400.62,0.0028267040989,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE02KN14739,Godrej Finance Ltd. **,3500.0,17349.8,0.0028184484677,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE296A14H01,Bajaj Finance Ltd. **,3400.0,16961.19,0.0027553193677,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE824H14UE3,Julius Baer Capital (India) Pvt. Ltd. **,3000.0,14966.36,0.0024312622859,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE824H14UG8,Julius Baer Capital (India) Pvt. Ltd. **,3000.0,14949.59,0.0024285380251,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE790I14HV5,HSBC Invest Direct Financial Services (India) Ltd. **,3000.0,14937.09,0.0024265074192,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE732I14DH5,Angel One Ltd. **,3000.0,14926.83,0.0024248406979,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE514E14TN0,Export-Import Bank Of India **,3000.0,14898.12,0.0024201768023,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE151A14305,Tata Communications Ltd. **,3000.0,14889.71,0.0024188106107,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE094A14KD1,Hindustan Petroleum Corporation Ltd. **,3000.0,14875.68,0.0024165314586,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE020B14706,Rural Electrification Corporation Ltd. **,3000.0,14865.0,0.002414796509,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE484J14D99,Godrej Properties Ltd. **,3000.0,14853.47,0.0024129234781,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE976I14RQ9,Tata Capital Ltd. **,3000.0,14840.48,0.0024108132725,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE865C14QT3,Aditya Birla Money Ltd. **,3000.0,14730.53,0.0023929520632,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE484J14E56,Godrej Properties Ltd. **,2500.0,12444.93,0.0020216598398,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE414G14UT3,Muthoot Finance Ltd. **,2500.0,12408.76,0.0020157840786,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE02KN14747,Godrej Finance Ltd. **,2500.0,12389.58,0.002012668317,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE403D14585,Bharti Telecom Ltd. **,2500.0,12384.01,0.002011763479,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14TP5,HDFC Securities Ltd **,2000.0,9971.15,0.0016197980633,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE028E14WN5,Kotak Securities Ltd. **,2000.0,9956.46,0.0016174116952,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE870H14XG5,Network18 Media & Investments Ltd. **,2000.0,9947.06,0.0016158846796,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE824H14UK0,Julius Baer Capital (India) Pvt. Ltd. **,2000.0,9942.88,0.001615205645,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE756I14GI5,HDB Financial Services Ltd. **,2000.0,9936.94,0.0016142407011,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE403D14627,Bharti Telecom Ltd. **,2000.0,9936.69,0.001614200089,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE01C314GA2,Bajaj Financial Security Ltd. **,2000.0,9927.45,0.0016126990651,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE09OL14JN5,Birla Group Holdings Pvt. Ltd. **,2000.0,9922.26,0.0016118559575,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE824H14UO2,Julius Baer Capital (India) Pvt. Ltd. **,2000.0,9920.72,0.0016116057869,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE0CCU14138,MINDSPACE BUSINESS PARKS REIT **,2000.0,9917.65,0.0016111070701,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE484J14D32,Godrej Properties Ltd. **,2000.0,9916.26,0.0016108812667,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE242A14YW7,Indian Oil Corporation Ltd. **,2000.0,9915.44,0.001610748059,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE732I14DM5,Angel One Ltd. **,2000.0,9904.45,0.0016089627503,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE484J14E23,Godrej Properties Ltd. **,2000.0,9904.17,0.0016089172647,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE484J14E07,Godrej Properties Ltd. **,2000.0,9900.45,0.0016083129564,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE0NDH14163,Nexus Select Trust **,2000.0,9899.24,0.0016081163938,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE879F14NG1,Infina Finance Pvt. Ltd. **,2000.0,9890.38,0.0016066771003,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE04JX14207,Cholamandalam Securities Ltd. **,1500.0,7439.21,0.0012084882837,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE700G14TI0,HDFC Securities Ltd **,1000.0,4995.78,0.0008115568182,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE261F14PP8,NABARD **,1000.0,4967.62,0.0008069822693,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE865C14QO4,Aditya Birla Money Ltd. **,1000.0,4956.19,0.0008051254833,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE417C14AU5,Pilani Investment & Industries Corp Ltd **,1000.0,4950.74,0.0008042401391,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
INE484J14E31,Godrej Properties Ltd. **,500.0,2486.25,0.0004038875089,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE746L14028,GS India Finance Pvt Ltd **,500.0,2483.07,0.0004033709228,ICRA A1+,LIQUID,ICICI Prudential AMC,2026-07
INE733E14CD3,NTPC Ltd.,500.0,2476.8,0.0004023523709,CRISIL A1+,LIQUID,ICICI Prudential AMC,2026-07
IN002026X081,91 Days Treasury Bills,265000000.0,263986.11,0.0428841397148,SOV,LIQUID,ICICI Prudential AMC,2026-07
IN002026X107,91 Days Treasury Bills,145000000.0,144177.71,0.0234214484216,SOV,LIQUID,ICICI Prudential AMC,2026-07
IN002026X164,91 Days Treasury Bills,134000000.0,132416.25,0.0215108172377,SOV,LIQUID,ICICI Prudential AMC,2026-07
