isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020240035,Government Securities,31701500.0,30727.12,0.3643229654682,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,12425000.0,11360.13,0.1346939202146,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2220250194,State Government of Maharashtra,7500000.0,7095.86,0.08413364994,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,4960700.0,4827.21,0.0572348941956,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2220250210,State Government of Maharashtra,5000000.0,4732.08,0.0561069640901,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2220250202,State Government of Maharashtra,5000000.0,4720.96,0.0559751173249,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2920250221,State Government of Rajasthan,2500000.0,2486.49,0.0294816243893,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2120250195,State Government of Madhya Pradesh,2500000.0,2450.82,0.0290586950624,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,2500000.0,2424.96,0.028752080193,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN1020250321,State Government of Andhra Pradesh,2261900.0,2224.62,0.0263767042091,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN1020250339,State Government of Andhra Pradesh,2023800.0,1988.86,0.0235813630792,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2220250186,State Government of Maharashtra,2085000.0,1972.71,0.0233898769949,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN2120250187,State Government of Madhya Pradesh,1805700.0,1769.92,0.0209854520385,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN1320250112,State Government of Bihar,853500.0,854.13,0.010127183234,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN1620250184,State Government of Haryana,694100.0,684.1,0.0081111845391,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,577700.0,566.63,0.0067183752308,SOV,LT BOND,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,38300.0,37.27,0.0004419000844,SOV,LT BOND,ICICI Prudential AMC,2026-07
INE261F08BE4,NABARD **,1.0,10.66,0.0001263926723,CRISIL AAA,LT BOND,ICICI Prudential AMC,2026-07
INF0RQ622028,Corporate Debt Market Development Fund (Class A2),2816.996,335.8,0.0039814877477,Financial Services,LT BOND,ICICI Prudential AMC,2026-07
