isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE494B01023,TVS Motor Company Ltd.,9375.0,404.35,0.1019722089393,Automobiles,LTWEF,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,2427.0,345.46,0.0871208589098,Automobiles,LTWEF,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,21581.0,309.77,0.0781202699719,Banks,LTWEF,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,37450.0,280.18,0.0706580277003,Banks,LTWEF,ICICI Prudential AMC,2026-07
INE04TZ01018,The Ethos Ltd.,8151.0,209.92,0.0529393003599,Consumer Durables,LTWEF,ICICI Prudential AMC,2026-07
INE192R01011,Avenue Supermarts Ltd.,5147.0,201.81,0.0508940558576,Retailing,LTWEF,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,65080.0,196.83,0.0496381597268,Retailing,LTWEF,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,9920.0,195.62,0.0493330122733,Telecom - Services,LTWEF,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,14956.0,195.59,0.0493254466339,Petroleum Products,LTWEF,ICICI Prudential AMC,2026-07
INE777K01022,RR Kabel Ltd.,7096.0,184.69,0.0465765976728,Industrial Products,LTWEF,ICICI Prudential AMC,2026-07
INE0LXT01019,Red Tape Ltd,134856.0,178.7,0.0450659916841,Consumer Durables,LTWEF,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,14750.0,166.69,0.0420372140672,It - Software,LTWEF,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,5166.0,155.28,0.0391597492373,Retailing,LTWEF,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,7216.0,143.63,0.0362217592926,Pharmaceuticals & Biotechnology,LTWEF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,10854.0,133.45,0.0336544856756,Banks,LTWEF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,10118.0,103.95,0.0262149403221,Banks,LTWEF,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,6544.0,88.14,0.0222278483885,It - Software,LTWEF,ICICI Prudential AMC,2026-07
INE466L01038,360 One Wam Ltd.,7214.0,81.9,0.0206541954053,Capital Markets,LTWEF,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,1523.0,78.75,0.0198598032743,Transport Services,LTWEF,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,1378.0,74.64,0.0188233106843,Food Products,LTWEF,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,1168.0,39.69,0.0100093408502,Automobiles,LTWEF,ICICI Prudential AMC,2026-07
INE103V01028,Travel Food Services Ltd,3000.0,39.09,0.0098580280634,Leisure Services,LTWEF,ICICI Prudential AMC,2026-07
INE732I01021,Angel One Ltd.,7274.0,21.67,0.0054649134851,Capital Markets,LTWEF,ICICI Prudential AMC,2026-07
INE506V01022,Rubicon Research Ltd,1346.0,20.07,0.0050614127202,Pharmaceuticals & Biotechnology,LTWEF,ICICI Prudential AMC,2026-07
INE127D01025,HDFC Asset Management Company Ltd.,741.0,19.38,0.0048874030153,Capital Markets,LTWEF,ICICI Prudential AMC,2026-07
INE494B04019,TVS Motor Company Ltd.,54032.0,5.65,0.0014248620761,CARE A1+,LTWEF,ICICI Prudential AMC,2026-07
