isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE041025011,EMBASSY OFFICE PARKS REIT,4475446.0,19602.01,0.0357633892724,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-07
INE0FDU25010,Brookfield India Real Estate Trust REIT,1386223.0,4733.67,0.0086364654898,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-07
INE0CCU25019,MINDSPACE BUSINESS PARKS REIT,446665.0,2198.17,0.0040105075651,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-07
INE0NDH25011,Nexus Select Trust,14766.0,24.64,,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,22354300.0,22526.32,0.0410987215614,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,18979000.0,17352.42,0.031659067171,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,14822500.0,14366.92,0.026212095219,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,9038300.0,8794.97,0.0160462083097,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2920250221,State Government of Rajasthan,2500000.0,2486.49,0.0045365403747,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2920250213,State Government of Rajasthan,2500000.0,2482.8,0.0045298080597,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2220250376,State Government of Maharashtra,2456600.0,2420.97,0.0044170007324,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN1020250321,State Government of Andhra Pradesh,2261900.0,2224.62,0.0040587649451,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN1020250339,State Government of Andhra Pradesh,2261900.0,2222.85,0.0040555356233,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN4520250528,State Government of Telangana,2064900.0,2027.84,0.0036997446334,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,1941500.0,1956.97,0.0035704440465,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,2000000.0,1939.97,0.003539427961,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2920250312,State Government of Rajasthan,1956400.0,1919.42,0.0035019349871,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN1020250313,State Government of Andhra Pradesh,1851800.0,1870.53,0.0034127363742,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2120250187,State Government of Madhya Pradesh,1805700.0,1769.92,0.0032291758825,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,1653600.0,1609.1,0.0029357637139,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2720250082,State Government of Odisha,1582000.0,1556.43,0.0028396685832,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,1381400.0,1359.03,0.0024795170966,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,1331200.0,1313.23,0.0023959561133,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN0020240118,Government Securities,1000000.0,958.85,0.0017493984445,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN1620250184,State Government of Haryana,694100.0,684.1,0.001248123769,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,327900.0,324.13,0.0005913672814,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,288800.0,283.26,0.000516800963,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
IN3320250126,State Government of Uttar Pradesh,107000.0,106.06,0.0001935038838,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-07
INE423A07476,Adani Enterprises Ltd. **,17500.0,17523.24,0.0319707240958,ICRA AA-,MDMTERM BOND,ICICI Prudential AMC,2026-07
INE205A08038,Vedanta Ltd. **,17000.0,17071.93,0.0311473200055,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-07
