isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN3120160137,State Government of Tamil Nadu,17000000.0,17077.15,0.0049317388197,SOV,MONEY MARKET,ICICI Prudential AMC,2026-07
IN3120160152,State Government of Tamil Nadu,7500000.0,7537.85,0.002176868357,SOV,MONEY MARKET,ICICI Prudential AMC,2026-07
IN3420160126,State Government of West Bengal,7428400.0,7475.55,0.0021588766354,SOV,MONEY MARKET,ICICI Prudential AMC,2026-07
IN3420160118,State Government of West Bengal,6634700.0,6667.77,0.001925596493,SOV,MONEY MARKET,ICICI Prudential AMC,2026-07
IN3320160267,State Government of Uttar Pradesh,5000000.0,5022.43,0.0014504359919,SOV,MONEY MARKET,ICICI Prudential AMC,2026-07
INE238AD6BV1,Axis Bank Ltd.,28000.0,135753.24,0.0392044060994,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE040A16IK8,HDFC Bank Ltd. **,21500.0,104052.58,0.0300495192749,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE028A16LD2,Bank Of Baroda **,19000.0,91926.37,0.02654757073,FITCH A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE556F16BV4,Small Industries Development Bank Of India.,17000.0,82359.39,0.0237847065135,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE160A16UD4,Punjab National Bank **,16000.0,77264.72,0.0223134082106,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE095A160D4,IndusInd Bank Ltd. **,15000.0,72397.28,0.0209077320409,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE692A16KU1,Union Bank Of India **,12100.0,58608.23,0.0169255691406,ICRA A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE476A16G28,Canara Bank **,12000.0,58025.52,0.0167572873414,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE556F16CB4,Small Industries Development Bank Of India.,12000.0,57757.68,0.0166799373781,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE261F16AF6,NABARD **,11000.0,53223.94,0.0153706309917,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE556F16BW2,Small Industries Development Bank Of India. **,10500.0,50736.05,0.0146521490616,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE562A16QI8,Indian Bank **,10000.0,48286.4,0.0139447105253,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE040A16IO0,HDFC Bank Ltd. **,10000.0,48104.0,0.0138920349231,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE028A16KY0,Bank Of Baroda **,9000.0,43679.79,0.0126143598893,FITCH A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE261F16AK6,NABARD **,9000.0,43326.32,0.0125122806945,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE084A16FS5,Bank Of India **,9000.0,43324.02,0.0125116164736,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE040A16IT9,HDFC Bank Ltd.,8500.0,40791.2,0.0117801591334,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE040A16IZ6,HDFC Bank Ltd. **,8500.0,40768.89,0.0117737161911,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE562A16QJ6,Indian Bank **,8000.0,38600.96,0.0111476360466,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE261F16AD1,NABARD,7000.0,33920.15,0.0097958570679,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE095A168C9,IndusInd Bank Ltd. **,7000.0,33824.53,0.0097682428076,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE028A16LE0,Bank Of Baroda **,7000.0,33811.96,0.0097646126962,FITCH A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE040A16IM4,HDFC Bank Ltd.,7000.0,33790.37,0.0097583776838,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE0KUG16012,National Bank for Financing Infrastructure and Development **,7000.0,33622.61,0.0097099299918,FITCH A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE008A168A9,IDBI Bank Ltd. **,7000.0,33534.52,0.0096844903328,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE040A16IU7,HDFC Bank Ltd. **,6500.0,31216.12,0.0090149557044,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE095A162F5,IndusInd Bank Ltd. **,6500.0,31132.08,0.0089906856517,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE261F16AE9,NABARD **,6000.0,29047.41,0.0083886503023,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE237AD6141,Kotak Mahindra Bank Ltd. **,6000.0,28931.94,0.0083553035272,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE565A16BS2,Indian Overseas Bank **,6000.0,28856.1,0.0083334015663,CARE A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE476A16H43,Canara Bank,6000.0,28828.32,0.0083253789334,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE261F16AG4,NABARD **,5500.0,26587.3,0.0076781910051,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE028A16LF7,Bank Of Baroda **,5500.0,26561.7,0.0076707979381,FITCH A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
INE160A16UE2,Punjab National Bank **,5500.0,26554.88,0.0076688283789,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-07
