isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109KC18U7,ICICI Prudential Nifty Private Bank ETF,24472963,6791.25,0.2648846266595,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC18W3,ICICI Prudential Nifty Oil & Gas ETF,23376960,2669.65,0.1041265221515,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC19V3,ICICI Prudential Nifty FMCG ETF,4182300,2204.91,0.0859998913554,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF204KC1089,Nippon India Nifty Pharma ETF,7867000,2145.33,0.0836760443381,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC16I6,ICICI Prudential Nifty IT ETF,6213290,2124.95,0.0828811466843,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF666M01LM6,Groww BSE Power ETF,17913000,2070.74,0.0807667501283,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC10V2,ICICI Prudential Nifty Auto ETF,6644500,1975.41,0.0770485168929,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC19W1,ICICI Prudential Nifty Metal ETF,15309493,1956.55,0.0763129050308,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC15I8,ICICI Prudential Nifty Bank ETF,2309440,1357.49,0.052947282436,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF247L01CI4,Motilal Oswal Nifty Realty ETF,792000,715.26,0.0278978653509,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF109KC1Q72,ICICI Prudential Nifty Healthcare ETF,171500,294.79,0.0114979332365,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
INF174KA1XV0,Kotak Nifty Chemicals ETF,821000,247.7,0.0096612438098,Capital Markets,AGGRES,ICICI Prudential AMC,2026-07
