isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K013N3,ICICI Prudential Short Term Fund - Direct Plan -  Growth Option,34837586.044,24554.99,0.119104028453,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K013J1,ICICI Prudential  Banking and Financial Services Fund - Direct - Growth,16037617.257,23812.65,0.1155033067878,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K01P57,ICICI Prudential Floating Interest Fund - Direct Plan,3712390.778,18548.99,0.0899719133558,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K018C5,ICICI Prudential Gilt Fund - Direct Plan - Growth,12381064.791,14504.06,0.0703519722436,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC12W6,ICICI Prudential Energy Opportunities Fund - Direct Plan -  Growth,98485765.915,11493.29,0.0557482262944,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC1F91,ICICI Prudential Commodities Fund - Direct - Growth,19866469.44,10145.81,0.0492122718404,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K016L0,ICICI Prudential Large cap Fund - Direct Plan -  Growth,8370035.725,10144.48,0.0492058206727,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K016E5,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,23545268.451,10015.83,0.0485818035886,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K01V00,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,23493463.719,9020.06,0.0437518191979,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC1NT3,ICICI Prudential Gold ETF,7170000.0,8699.36,0.042196263202,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC10C2,ICICI Prudential Housing Opportunities Fund - Direct - Growth,46541410.395,8521.73,0.0413346685292,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC1Y56,ICICI PRUDENTIAL SILVER ETF,3942000.0,8503.68,0.0412471169678,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC1GH2,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Growth,14914080.487,7070.77,0.0342967841267,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K01W25,ICICI Prudential Exports and Services Fund - Direct - Growth,3276701.751,6105.81,0.0296162437031,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC12K1,ICICI Prudential Transportation & Logistic Fund - Direct Plan -  Growth,22759250.96,5309.73,0.0257548560597,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K01Z14,ICICI Prudential FMCG Fund - Direct Plan - Growth,871796.852,4047.23,0.0196310972668,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K016B1,ICICI Prudential Corporate Bond Fund- Direct Plan -  Growth,11975542.869,4007.2,0.0194369316711,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109K01Z48,ICICI Prudential Technology Fund - Direct - Growth,1821035.075,3720.01,0.0180439159977,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
INF109KC1YD4,ICICI Prudential Bharat Consumption Fund - Direct - Growth,9269095.314,2549.0,0.0123639296341,Capital Markets,MULTIFOF,ICICI Prudential AMC,2026-07
