isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,973403.0,13972.23,0.0396409113415,Banks,NV30ETF,ICICI Prudential AMC,2026-07
INE123W01016,SBI Life Insurance Company Ltd.,706730.0,13300.66,0.0377355857901,Insurance,NV30ETF,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,661292.0,13163.02,0.0373450844144,Pharmaceuticals & Biotechnology,NV30ETF,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,864548.0,13051.22,0.037027894253,Food Products,NV30ETF,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,661722.0,13049.16,0.0370220497831,Telecom - Services,NV30ETF,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,113164.0,13037.06,0.0369877206154,Automobiles,NV30ETF,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,3716452.0,12905.38,0.0366141284826,Power,NV30ETF,ICICI Prudential AMC,2026-07
INE437A01024,Apollo Hospitals Enterprise Ltd.,143678.0,12869.24,0.0365115949189,Healthcare Services,NV30ETF,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,613508.0,12448.69,0.0353184435561,Finance,NV30ETF,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,524613.0,12410.25,0.0352093846134,It - Software,NV30ETF,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,225951.0,12238.64,0.0347225062271,Food Products,NV30ETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,4266667.0,11989.33,0.0340151835158,Diversified Fmcg,NV30ETF,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,568420.0,11944.21,0.0338871726027,Diversified Fmcg,NV30ETF,ICICI Prudential AMC,2026-07
INE059A01026,Cipla Ltd.,810161.0,11935.29,0.0338618654807,Pharmaceuticals & Biotechnology,NV30ETF,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,1589823.0,11894.26,0.0337454583938,Banks,NV30ETF,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,243570.0,11874.52,0.0336894536193,Consumer Durables,NV30ETF,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,896447.0,11723.73,0.0332616440985,Petroleum Products,NV30ETF,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,860972.0,11596.43,0.032900478557,It - Software,NV30ETF,ICICI Prudential AMC,2026-07
INE685A01028,Torrent Pharmaceuticals Ltd.,225252.0,11539.21,0.0327381384762,Pharmaceuticals & Biotechnology,NV30ETF,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,78955.0,11238.45,0.031884845874,Automobiles,NV30ETF,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,94286.0,11222.86,0.0318406151529,Cement & Cement Products,NV30ETF,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,2812115.0,10975.68,0.03113933551,Banks,NV30ETF,ICICI Prudential AMC,2026-07
INE075A01022,Wipro Ltd.,5925252.0,10881.73,0.0308727879639,It - Software,NV30ETF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,1042047.0,10705.99,0.0303741922666,Banks,NV30ETF,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,382978.0,10521.55,0.029850913614,Consumer Durables,NV30ETF,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,642567.0,10354.32,0.029376461819,Chemicals & Petrochemicals,NV30ETF,ICICI Prudential AMC,2026-07
INE070A01015,Shree Cements Ltd.,38920.0,10140.61,0.028770140626,Cement & Cement Products,NV30ETF,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,896085.0,10126.66,0.0287305627839,It - Software,NV30ETF,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,235086.0,9259.8,0.0262711758138,Construction,NV30ETF,ICICI Prudential AMC,2026-07
INE089A01031,Dr. Reddy's Laboratories Ltd.,793159.0,9106.26,0.0258355642094,Pharmaceuticals & Biotechnology,NV30ETF,ICICI Prudential AMC,2026-07
