isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE467B01029,Tata Consultancy Services Ltd.,32458.0,767.83,0.0537312133091,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,49512.0,747.43,0.0523036619611,Food Products,N200ETF,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,64788.0,732.17,0.0512357975705,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,49621.0,668.35,0.0467698011476,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,235770.0,662.51,0.0463611295852,Diversified Fmcg,N200ETF,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,31128.0,654.09,0.0457719147641,Diversified Fmcg,N200ETF,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,165186.0,640.67,0.0448328099068,Aerospace & Defense,N200ETF,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,5264.0,606.44,0.0424374627185,Automobiles,N200ETF,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,10998.0,595.71,0.0416865987007,Food Products,N200ETF,ICICI Prudential AMC,2026-07
INE935N01020,Dixon Technologies (India) Ltd.,4038.0,567.3,0.0396985235146,Consumer Durables,N200ETF,ICICI Prudential AMC,2026-07
INE259A01022,Colgate - Palmolive (India) Ltd.,26758.0,555.52,0.0388741825892,Personal Products,N200ETF,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,129960.0,538.23,0.0376642628438,Consumable Fuels,N200ETF,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,18973.0,521.25,0.0364760362806,Consumer Durables,N200ETF,ICICI Prudential AMC,2026-07
INE066F01020,Hindustan Aeronautics Ltd.,10540.0,489.74,0.0342710292721,Aerospace & Defense,N200ETF,ICICI Prudential AMC,2026-07
INE158A01026,Hero Motocorp Ltd.,8491.0,457.33,0.032003042057,Automobiles,N200ETF,ICICI Prudential AMC,2026-07
INE298A01020,Cummins India Ltd.,8235.0,454.49,0.0318043045164,Industrial Products,N200ETF,ICICI Prudential AMC,2026-07
INE196A01026,Marico Ltd.,51359.0,447.16,0.0312913657232,Agricultural Food & Other Products,N200ETF,ICICI Prudential AMC,2026-07
INE127D01025,HDFC Asset Management Company Ltd.,16585.0,433.83,0.0303585588866,Capital Markets,N200ETF,ICICI Prudential AMC,2026-07
INE262H01021,Persistent Systems Ltd.,7390.0,410.07,0.0286958814342,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE267A01025,Hindustan Zinc Ltd.,73516.0,396.4,0.0277392820751,Non - Ferrous Metals,N200ETF,ICICI Prudential AMC,2026-07
INE343H01029,Solar Industries India Ltd.,2092.0,384.74,0.0269233385105,Chemicals & Petrochemicals,N200ETF,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,22293.0,359.23,0.0251381995455,Chemicals & Petrochemicals,N200ETF,ICICI Prudential AMC,2026-07
INE761H01022,Page Industries Ltd.,889.0,358.93,0.0251172061433,Textiles & Apparels,N200ETF,ICICI Prudential AMC,2026-07
INE455K01017,Polycab India Ltd.,3757.0,342.13,0.0239415756215,Industrial Products,N200ETF,ICICI Prudential AMC,2026-07
INE214T01019,LTIMindtree Ltd.,7406.0,323.06,0.0226070950231,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE881D01027,Oracle Financial Services Software Ltd.,2690.0,300.9,0.0210563823824,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE176B01034,Havells India Ltd.,21223.0,267.56,0.0187233156206,Consumer Durables,N200ETF,ICICI Prudential AMC,2026-07
INE249Z01020,Mazagon Dock Shipbuilders Ltd,9897.0,235.73,0.0164959156497,Industrial Manufacturing,N200ETF,ICICI Prudential AMC,2026-07
INE670A01012,Tata Elxsi Ltd.,5132.0,188.49,0.0131901545871,It - Software,N200ETF,ICICI Prudential AMC,2026-07
INE04I401011,KPIT Technologies Ltd,25062.0,149.97,0.0104946017477,It - Software,N200ETF,ICICI Prudential AMC,2026-07
