isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,60346048.0,451478.96,0.1023513760454,Banks,NIFETF,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,28230501.0,405220.61,0.0918644958238,Banks,NIFETF,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,26622471.0,348168.68,0.0789306848184,Petroleum Products,NIFETF,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,11983362.0,236311.9,0.0535724812977,Telecom - Services,NIFETF,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,4612444.0,181679.56,0.041187197218,Construction,NIFETF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,16288999.0,167353.18,0.0379393720996,Banks,NIFETF,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,13822283.0,156205.62,0.0354121931906,It - Software,NIFETF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,11317565.0,139149.46,0.0315455203205,Banks,NIFETF,ICICI Prudential AMC,2026-07
INE296A01032,Bajaj Finance Ltd.,10562167.0,120535.45,0.0273256790743,Finance,NIFETF,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,3518248.0,119567.66,0.0271062787323,Automobiles,NIFETF,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,29014056.0,113241.86,0.0256722045185,Banks,NIFETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,37987814.0,106745.76,0.0241995228814,Diversified Fmcg,NIFETF,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,4023452.0,95178.78,0.0215772604405,It - Software,NIFETF,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,28489962.0,86167.89,0.0195344698065,Retailing,NIFETF,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,4172804.0,83059.66,0.0188298265214,Pharmaceuticals & Biotechnology,NIFETF,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,1627012.0,79320.09,0.0179820569258,Consumer Durables,NIFETF,ICICI Prudential AMC,2026-07
