isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,23735203.0,177574.92,0.1023310159949,Banks,INDEX,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,11103570.0,159380.64,0.0918462067792,Banks,INDEX,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,10471103.0,136941.09,0.0789149778085,Petroleum Products,INDEX,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,4713270.0,92945.68,0.0535617634897,Telecom - Services,INDEX,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,1814147.0,71457.44,0.0411787454872,Construction,INDEX,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,6406759.0,65823.04,0.0379318124376,Banks,INDEX,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,5436553.0,61438.49,0.0354051298623,It - Software,INDEX,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,4451400.0,54729.96,0.0315392084206,Banks,INDEX,ICICI Prudential AMC,2026-07
INE296A01032,Bajaj Finance Ltd.,4154287.0,47408.72,0.0273202008742,Finance,INDEX,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,1383782.0,47027.83,0.0271007055722,Automobiles,INDEX,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,11411758.0,44540.09,0.0256670968074,Banks,INDEX,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,14941298.0,41985.05,0.024194705103,Diversified Fmcg,INDEX,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,1582488.0,37435.34,0.0215728458518,It - Software,INDEX,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,11205624.0,33891.41,0.0195305869702,Retailing,INDEX,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,1641230.0,32668.68,0.0188259649257,Pharmaceuticals & Biotechnology,INDEX,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,639927.0,31197.72,0.0179782954953,Consumer Durables,INDEX,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,1375111.0,28895.21,0.0166514291358,Diversified Fmcg,INDEX,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,202192.0,28780.01,0.0165850428858,Automobiles,INDEX,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,7348208.0,25516.65,0.0147044679467,Power,INDEX,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,12812262.0,24303.58,0.0140054126659,Ferrous Metals,INDEX,ICICI Prudential AMC,2026-07
INE721A01047,Shriram Finance Ltd.,2170713.0,22720.85,0.0130933335899,Finance,INDEX,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,1634112.0,22009.85,0.0126836059528,It - Software,INDEX,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,2244208.0,21868.68,0.0126022539831,Non - Ferrous Metals,INDEX,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,183408.0,21831.05,0.0125805689606,Cement & Cement Products,INDEX,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,5551558.0,21531.72,0.0124080742016,Aerospace & Defense,INDEX,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,7019166.0,19951.98,0.0114977181716,Power,INDEX,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,171657.0,19775.74,0.0113961564293,Automobiles,INDEX,ICICI Prudential AMC,2026-07
INE742F01042,Adani Ports and Special Economic Zone Ltd.,1143470.0,19398.97,0.0111790353578,Transport Infrastructure,INDEX,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,700935.0,19256.79,0.0110971013558,Consumer Durables,INDEX,ICICI Prudential AMC,2026-07
INE019A01038,JSW Steel Ltd.,1453784.0,18463.06,0.0106396989404,Ferrous Metals,INDEX,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,897307.0,18207.26,0.0104922891942,Finance,INDEX,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,350836.0,18141.73,0.0104545262518,Transport Services,INDEX,ICICI Prudential AMC,2026-07
INE047A01021,Grasim Industries Ltd.,584812.0,18133.85,0.0104499852479,Cement & Cement Products,INDEX,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,1111343.0,16776.83,0.0096679759679,Food Products,INDEX,ICICI Prudential AMC,2026-07
