isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE101A01026,Mahindra & Mahindra Ltd.,159818.0,5431.41,0.2358181103322,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,23356.0,3324.49,0.1443409629577,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,19826.0,2284.05,0.0991676848008,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE066A01021,Eicher Motors Ltd.,24667.0,1932.29,0.0838951536366,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE494B01023,TVS Motor Company Ltd.,42053.0,1813.79,0.0787501827959,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,374000.0,1270.67,0.0551692835296,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE158A01026,Hero Motocorp Ltd.,23240.0,1251.71,0.0543460881951,Automobiles,AUTOETF,ICICI Prudential AMC,2026-07
INE775A01035,Samvardhana Motherson International Ltd.,790719.0,1192.01,0.0517540649107,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
INE465A01025,Bharat Forge Ltd.,47715.0,1049.63,0.0455722847562,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
INE208A01029,Ashok Leyland Ltd.,512097.0,851.0,0.0369482716076,"Agricultural, Commercial & Construction Vehicles",AUTOETF,ICICI Prudential AMC,2026-07
INE323A01026,Bosch Ltd.,1557.0,639.69,0.0277737248704,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
INE073K01018,Sona Blw Precision Forgings Ltd.,80155.0,616.71,0.0267759912845,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
INE974X01010,Tube Investments of India Ltd.,19126.0,526.54,0.0228610375232,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
INE405E01023,UNO Minda Ltd.,32455.0,383.13,0.016634537369,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
INE302A01020,Exide Industries Ltd.,81342.0,365.88,0.0158855859175,Auto Components,AUTOETF,ICICI Prudential AMC,2026-07
