isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE101A01026,Mahindra & Mahindra Ltd.,168259.0,5718.28,0.2359524378414,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,24587.0,3499.71,0.1444079524329,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,20872.0,2404.56,0.0992189598858,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE066A01021,Eicher Motors Ltd.,25974.0,2034.67,0.083956250254,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE494B01023,TVS Motor Company Ltd.,44273.0,1909.54,0.078793031848,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,393885.0,1338.22,0.0552187495834,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE158A01026,Hero Motocorp Ltd.,24465.0,1317.68,0.0543712109751,Automobiles,AUTODEX,ICICI Prudential AMC,2026-07
INE775A01035,Samvardhana Motherson International Ltd.,832620.0,1255.17,0.0517918712279,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
INE465A01025,Bharat Forge Ltd.,50237.0,1105.11,0.0455999703727,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
INE208A01029,Ashok Leyland Ltd.,539276.0,896.17,0.0369785138573,"Agricultural, Commercial & Construction Vehicles",AUTODEX,ICICI Prudential AMC,2026-07
INE323A01026,Bosch Ltd.,1634.0,671.33,0.027700978283,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
INE073K01018,Sona Blw Precision Forgings Ltd.,84498.0,650.13,0.0268262062042,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
INE974X01010,Tube Investments of India Ltd.,20136.0,554.34,0.0228736393448,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
INE405E01023,UNO Minda Ltd.,34281.0,404.69,0.0166986562515,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
INE302A01020,Exide Industries Ltd.,85744.0,385.68,0.015914249779,Auto Components,AUTODEX,ICICI Prudential AMC,2026-07
