isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,7372216.0,55155.23,0.1815267661444,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,3136860.0,45026.49,0.1481910803478,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,2974779.0,30562.88,0.1005884803755,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,7232742.0,28229.39,0.0929085034534,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,2171845.0,26702.83,0.0878842926918,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE171A01029,The Federal Bank Ltd.,6154054.0,22083.82,0.0726822176014,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE095A01012,IndusInd Bank Ltd.,1644558.0,16650.33,0.0547995278079,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE949L01017,AU Small Finance Bank Ltd.,1363107.0,14275.82,0.0469845459562,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE092T01019,IDFC First Bank Ltd.,16702576.0,14143.74,0.0465498445639,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE028A01039,Bank Of Baroda,4473229.0,10852.05,0.0357162420053,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE160A01022,Punjab National Bank,9065936.0,10218.22,0.0336301821668,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE528G01035,Yes Bank Ltd.,44830248.0,10207.85,0.0335960524466,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE476A01022,Canara Bank,8046709.0,10056.78,0.03309885121,Banks,BANKETF,ICICI Prudential AMC,2026-07
INE692A01016,Union Bank Of India,5157262.0,8831.3,0.029065554252,Banks,BANKETF,ICICI Prudential AMC,2026-07
