isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE002A01018,Reliance Industries Ltd.,101806.0,1331.42,0.100281850786,Petroleum Products,COMETF,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,295950.0,1027.69,0.0774050676978,Power,COMETF,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,516019.0,978.84,0.0737257115135,Ferrous Metals,COMETF,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,90384.0,880.75,0.066337624551,Non - Ferrous Metals,COMETF,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,7388.0,879.39,0.0662351900698,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-07
INE019A01038,JSW Steel Ltd.,58551.0,743.6,0.0560075590305,Ferrous Metals,COMETF,ICICI Prudential AMC,2026-07
INE047A01021,Grasim Industries Ltd.,23554.0,730.36,0.0550103292275,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,149513.0,619.21,0.0466385699668,Consumable Fuels,COMETF,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,242493.0,588.12,0.0442968875969,Oil,COMETF,ICICI Prudential AMC,2026-07
INE814H01029,Adani Power Ltd.,259028.0,547.35,0.0412261127425,Power,COMETF,ICICI Prudential AMC,2026-07
INE029A01011,Bharat Petroleum Corporation Ltd.,126517.0,404.54,0.0304697390132,Petroleum Products,COMETF,ICICI Prudential AMC,2026-07
INE245A01021,Tata Power Company Ltd.,104120.0,396.38,0.0298551321255,Power,COMETF,ICICI Prudential AMC,2026-07
INE931S01010,Adani Energy Solutions Ltd.,20499.0,337.29,0.0254045045527,Power,COMETF,ICICI Prudential AMC,2026-07
INE242A01010,Indian Oil Corporation Ltd.,233241.0,326.93,0.0246241948276,Petroleum Products,COMETF,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,19342.0,311.68,0.0234755728868,Chemicals & Petrochemicals,COMETF,ICICI Prudential AMC,2026-07
INE364U01010,Adani Green Energy Ltd.,20927.0,289.42,0.0217989614505,Power,COMETF,ICICI Prudential AMC,2026-07
INE205A01025,Vedanta Ltd.,105859.0,279.73,0.0210691157714,Diversified Metals,COMETF,ICICI Prudential AMC,2026-07
INE749A01030,Jindal Steel Ltd.,23122.0,254.9,0.0191989332932,Ferrous Metals,COMETF,ICICI Prudential AMC,2026-07
INE647A01010,SRF Ltd.,9067.0,237.78,0.0179094639406,Chemicals & Petrochemicals,COMETF,ICICI Prudential AMC,2026-07
INE094A01015,Hindustan Petroleum Corporation Ltd.,59946.0,233.64,0.0175976413285,Petroleum Products,COMETF,ICICI Prudential AMC,2026-07
INE070A01015,Shree Cements Ltd.,835.0,217.56,0.0163865042263,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-07
INE121E01018,JSW Energy Ltd,38262.0,212.22,0.0159842982483,Power,COMETF,ICICI Prudential AMC,2026-07
INE628A01036,UPL Ltd.,35008.0,211.55,0.0159338342024,Fertilizers & Agrochemicals,COMETF,ICICI Prudential AMC,2026-07
INE702C01027,APL Apollo Tubes Ltd.,11362.0,206.73,0.0155707943496,Industrial Products,COMETF,ICICI Prudential AMC,2026-07
INE848E01016,NHPC Ltd.,235289.0,185.24,0.0139521789064,Power,COMETF,ICICI Prudential AMC,2026-07
INE584A01023,NMDC Ltd.,215765.0,183.49,0.0138203698312,Minerals & Mining,COMETF,ICICI Prudential AMC,2026-07
INE079A01024,Ambuja Cements Ltd.,38919.0,168.21,0.0126694883062,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-07
INE813H01021,Torrent Power Ltd.,11868.0,167.73,0.0126333349599,Power,COMETF,ICICI Prudential AMC,2026-07
INE274J01014,Oil India Ltd.,34046.0,156.13,0.0117596290901,Oil,COMETF,ICICI Prudential AMC,2026-07
INE603J01030,PI Industries Ltd.,5057.0,139.13,0.0104791980741,Fertilizers & Agrochemicals,COMETF,ICICI Prudential AMC,2026-07
