isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE154A01025,ITC Ltd.,7275513.0,20444.19,0.2673926768948,Diversified Fmcg,FMCGETF,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,669606.0,14070.43,0.1840292984344,Diversified Fmcg,FMCGETF,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,541144.0,8169.11,0.1068450347383,Food Products,FMCGETF,ICICI Prudential AMC,2026-07
INE192A01025,Tata Consumer Products Ltd.,491497.0,5323.4,0.0696255599356,Agricultural Food & Other Products,FMCGETF,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,88907.0,4815.65,0.0629846202998,Food Products,FMCGETF,ICICI Prudential AMC,2026-07
INE200M01039,Varun Beverages Ltd.,1031931.0,4564.23,0.0596962598011,Beverages,FMCGETF,ICICI Prudential AMC,2026-07
INE196A01026,Marico Ltd.,399494.0,3478.19,0.0454917771185,Agricultural Food & Other Products,FMCGETF,ICICI Prudential AMC,2026-07
INE854D01024,United Spirits Ltd.,222945.0,3379.62,0.0442025650655,Beverages,FMCGETF,ICICI Prudential AMC,2026-07
INE102D01028,Godrej Consumer Products Ltd.,303309.0,3246.62,0.0424630377951,Personal Products,FMCGETF,ICICI Prudential AMC,2026-07
INE944F01028,Radico Khaitan Ltd.,59134.0,2566.89,0.0335727455279,Beverages,FMCGETF,ICICI Prudential AMC,2026-07
INE259A01022,Colgate - Palmolive (India) Ltd.,99434.0,2064.35,0.0269999482761,Personal Products,FMCGETF,ICICI Prudential AMC,2026-07
INE016A01026,Dabur India Ltd.,445662.0,1878.24,0.0245657872212,Personal Products,FMCGETF,ICICI Prudential AMC,2026-07
INE619A01035,Patanjali Foods Ltd.,261442.0,927.07,0.012125289824,Agricultural Food & Other Products,FMCGETF,ICICI Prudential AMC,2026-07
INE686F01025,United Breweries Ltd.,54498.0,773.22,0.0101130622259,Beverages,FMCGETF,ICICI Prudential AMC,2026-07
INE548C01032,Emami Ltd.,148690.0,591.86,0.0077410271449,Personal Products,FMCGETF,ICICI Prudential AMC,2026-07
