isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE296A01032,Bajaj Finance Ltd.,321615.0,3670.27,0.1700626542312,Finance,FINETF,ICICI Prudential AMC,2026-07
INE118H01025,BSE Ltd.,49034.0,1787.88,0.0828417577581,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE721A01047,Shriram Finance Ltd.,168052.0,1759.0,0.081503597499,Finance,FINETF,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,69468.0,1409.58,0.065313155749,Finance,FINETF,ICICI Prudential AMC,2026-07
INE123W01016,SBI Life Insurance Company Ltd.,53916.0,1014.7,0.0470163163059,Insurance,FINETF,ICICI Prudential AMC,2026-07
INE758E01017,Jio Financial Services Ltd,393717.0,1009.73,0.0467860304165,Finance,FINETF,ICICI Prudential AMC,2026-07
INE121A01024,Cholamandalam Investment And Finance Company Ltd.,51912.0,960.32,0.0444966087266,Finance,FINETF,ICICI Prudential AMC,2026-07
INE745G01043,Multi Commodity Exchange Of India Ltd.,30611.0,824.11,0.0381852926292,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE134E01011,Power Finance Corporation Ltd.,174726.0,741.45,0.0343552259042,Finance,FINETF,ICICI Prudential AMC,2026-07
INE795G01014,HDFC Life Insurance Company Ltd.,129085.0,708.03,0.0328067038869,Insurance,FINETF,ICICI Prudential AMC,2026-07
INE982J01020,One 97 Communications Ltd,50520.0,678.48,0.0314374990512,Financial Technology (Fintech),FINETF,ICICI Prudential AMC,2026-07
INE417T01026,PB Fintech Ltd.,41523.0,664.99,0.0308124373512,Financial Technology (Fintech),FINETF,ICICI Prudential AMC,2026-07
INE127D01025,HDFC Asset Management Company Ltd.,24465.0,639.96,0.0296526675699,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE118A01012,Bajaj Holdings & Investment Ltd.,5195.0,589.27,0.0273039368381,Finance,FINETF,ICICI Prudential AMC,2026-07
INE020B01018,Rural Electrification Corporation Ltd.,149882.0,558.98,0.0259004439624,Finance,FINETF,ICICI Prudential AMC,2026-07
INE180A01020,Max Financial Services Ltd.,31827.0,477.09,0.022106055333,Insurance,FINETF,ICICI Prudential AMC,2026-07
INE765G01017,ICICI Lombard General Insurance Company Ltd.,29162.0,473.5,0.0219397120044,Insurance,FINETF,ICICI Prudential AMC,2026-07
INE414G01012,Muthoot Finance Ltd.,12868.0,401.43,0.0186003349312,Finance,FINETF,ICICI Prudential AMC,2026-07
INE674K01013,Aditya Birla Capital Ltd.,98808.0,399.48,0.0185099813126,Finance,FINETF,ICICI Prudential AMC,2026-07
INE466L01038,360 One Wam Ltd.,31093.0,353.0,0.0163563217266,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE498L01015,L&T Finance Ltd.,102374.0,318.64,0.0147642446316,Finance,FINETF,ICICI Prudential AMC,2026-07
INE736A01011,Central Depository Services (India) Ltd.,21375.0,284.93,0.0132022854095,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,47469.0,244.66,0.0113363673474,Insurance,FINETF,ICICI Prudential AMC,2026-07
INE572E01012,PNB Housing Finance Ltd.,22556.0,237.54,0.0110064608015,Finance,FINETF,ICICI Prudential AMC,2026-07
INE018E01016,SBI Cards & Payment Services Ltd.,35584.0,234.91,0.0108845992544,Finance,FINETF,ICICI Prudential AMC,2026-07
INE732I01021,Angel One Ltd.,77957.0,232.27,0.0107622743553,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE596I01020,Computer Age Management Services Ltd.,28834.0,229.56,0.0106367059931,Capital Markets,FINETF,ICICI Prudential AMC,2026-07
INE0J1Y01017,Life Insurance Corporation of India,53277.0,226.27,0.0104842632212,Insurance,FINETF,ICICI Prudential AMC,2026-07
INE053F01010,Indian Railway Finance Corporation Ltd.,241370.0,215.18,0.0099704059748,Finance,FINETF,ICICI Prudential AMC,2026-07
INE115A01026,LIC Housing Finance Ltd.,36077.0,188.72,0.0087443768732,Finance,FINETF,ICICI Prudential AMC,2026-07
