isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE044A01036,Sun Pharmaceutical Industries Ltd.,216249.0,4304.44,0.1830457965993,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE361B01024,Divi's Laboratories Ltd.,25955.0,2090.93,0.0889165483741,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE437A01024,Apollo Hospitals Enterprise Ltd.,21018.0,1882.58,0.0800564895229,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-07
INE059A01026,Cipla Ltd.,114912.0,1692.88,0.0719895196929,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE027H01010,MAX Healthcare Institute Ltd,151991.0,1669.62,0.0710003909726,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-07
INE685A01028,Torrent Pharmaceuticals Ltd.,29958.0,1534.69,0.0652625088473,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE947Q01028,Laurus Labs Ltd.,79458.0,1443.12,0.0613685055404,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE089A01031,Dr. Reddy's Laboratories Ltd.,124490.0,1429.27,0.0607795359455,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE326A01037,Lupin Ltd.,49598.0,1197.79,0.0509358766085,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE061F01013,Fortis Healthcare Ltd.,106424.0,1005.71,0.0427676975629,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-07
INE406A01037,Aurobindo Pharma Ltd.,56527.0,893.24,0.0379849242536,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE540L01014,Alkem Laboratories Ltd.,11951.0,687.36,0.0292299018572,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE935A01035,Glenmark Pharmaceuticals Ltd.,30751.0,686.95,0.0292124666562,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE376G01013,Biocon Ltd.,145704.0,620.26,0.026376482376,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE010B01027,Zydus Lifesciences Ltd.,51091.0,575.69,0.0244811484523,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE634S01028,Mankind Pharma Ltd.,23122.0,571.02,0.0242825572604,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE571A01038,IPCA Laboratories Ltd.,28365.0,495.76,0.0210821347543,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE358A01014,Abbott India Ltd.,1064.0,295.79,0.0125784344017,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE0DK501011,Piramal Pharma Ltd.,127023.0,248.47,0.0105661570566,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-07
INE398R01022,Syngene International Ltd.,38824.0,149.82,0.0063710775958,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-07
