isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE009A01021,Infosys Ltd.,1490914.0,16848.82,0.2918489191267,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,494409.0,11695.74,0.2025892066855,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,510541.0,6876.48,0.1191117986539,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE669C01036,Tech Mahindra Ltd.,378513.0,6250.39,0.1082669032976,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE262H01021,Persistent Systems Ltd.,64764.0,3593.75,0.062249585022,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE591G01025,COFORGE Ltd.,207427.0,3569.82,0.0618350785679,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE075A01022,Wipro Ltd.,1614099.0,2964.29,0.0513463157941,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE214T01019,LTIMindtree Ltd.,55351.0,2414.47,0.0418225406742,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE356A01018,Mphasis Ltd.,78893.0,1847.91,0.0320088015744,It - Software,ITETF,ICICI Prudential AMC,2026-07
INE881D01027,Oracle Financial Services Software Ltd.,14212.0,1589.75,0.0275370512108,It - Software,ITETF,ICICI Prudential AMC,2026-07
