isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE009A01021,Infosys Ltd.,1169938.0,13221.47,0.2920854043446,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,387971.0,9177.84,0.2027545429828,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,400627.0,5396.05,0.1192081853314,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE669C01036,Tech Mahindra Ltd.,297023.0,4904.74,0.1083542878443,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE262H01021,Persistent Systems Ltd.,50822.0,2820.11,0.0623011639134,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE591G01025,COFORGE Ltd.,162770.0,2801.27,0.0618849553513,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE075A01022,Wipro Ltd.,1266602.0,2326.11,0.0513878396199,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE214T01019,LTIMindtree Ltd.,43436.0,1894.72,0.0418576797678,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE356A01018,Mphasis Ltd.,61909.0,1450.09,0.0320350251512,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
INE881D01027,Oracle Financial Services Software Ltd.,11153.0,1247.57,0.0275610040258,It - Software,NIFTYIT,ICICI Prudential AMC,2026-07
