isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE397D01024,Bharti Airtel Ltd.,27179.0,535.97,0.0997302203404,Telecom - Services,CONETF,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,13713.0,466.04,0.0867180474419,Automobiles,CONETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,148074.0,416.09,0.0774236382287,Diversified Fmcg,CONETF,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,111052.0,335.88,0.0624986219526,Retailing,CONETF,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,6342.0,309.19,0.0575322999926,Consumer Durables,CONETF,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,13628.0,286.37,0.0532860854131,Diversified Fmcg,CONETF,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,2003.0,285.11,0.0530516318474,Automobiles,CONETF,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,1701.0,195.96,0.0364631117001,Automobiles,CONETF,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,6946.0,190.83,0.0355085507539,Consumer Durables,CONETF,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,3477.0,179.8,0.0334561516824,Transport Services,CONETF,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,11013.0,166.25,0.0309348454794,Food Products,CONETF,ICICI Prudential AMC,2026-07
INE066A01021,Eicher Motors Ltd.,2116.0,165.76,0.0308436690927,Automobiles,CONETF,ICICI Prudential AMC,2026-07
INE494B01023,TVS Motor Company Ltd.,3608.0,155.62,0.0289568761113,Automobiles,CONETF,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,5111.0,153.63,0.0285865883368,Retailing,CONETF,ICICI Prudential AMC,2026-07
INE437A01024,Apollo Hospitals Enterprise Ltd.,1580.0,141.52,0.0263332290661,Healthcare Services,CONETF,ICICI Prudential AMC,2026-07
INE814H01029,Adani Power Ltd.,63738.0,134.68,0.0250604811378,Power,CONETF,ICICI Prudential AMC,2026-07
INE027H01010,MAX Healthcare Institute Ltd,11432.0,125.58,0.0233672053852,Healthcare Services,CONETF,ICICI Prudential AMC,2026-07
INE192A01025,Tata Consumer Products Ltd.,10003.0,108.34,0.0201592851683,Agricultural Food & Other Products,CONETF,ICICI Prudential AMC,2026-07
INE158A01026,Hero Motocorp Ltd.,1994.0,107.4,0.0199843753653,Automobiles,CONETF,ICICI Prudential AMC,2026-07
INE053A01029,The Indian Hotels Company Ltd.,13489.0,99.62,0.018536717634,Leisure Services,CONETF,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,1809.0,97.98,0.01823155585,Food Products,CONETF,ICICI Prudential AMC,2026-07
INE245A01021,Tata Power Company Ltd.,25621.0,97.54,0.0181496831763,Power,CONETF,ICICI Prudential AMC,2026-07
INE192R01011,Avenue Supermarts Ltd.,2475.0,97.04,0.018056646047,Retailing,CONETF,ICICI Prudential AMC,2026-07
INE200M01039,Varun Beverages Ltd.,21002.0,92.89,0.0172844378741,Beverages,CONETF,ICICI Prudential AMC,2026-07
INE935N01020,Dixon Technologies (India) Ltd.,637.0,89.49,0.0166517853952,Consumer Durables,CONETF,ICICI Prudential AMC,2026-07
INE663F01032,Info Edge (India) Ltd.,5881.0,72.12,0.0134196755246,Retailing,CONETF,ICICI Prudential AMC,2026-07
INE854D01024,United Spirits Ltd.,4537.0,68.78,0.0127981875012,Beverages,CONETF,ICICI Prudential AMC,2026-07
INE102D01028,Godrej Consumer Products Ltd.,6173.0,66.08,0.0122957870031,Personal Products,CONETF,ICICI Prudential AMC,2026-07
INE271C01023,DLF Ltd.,9854.0,64.97,0.0120892445762,Realty,CONETF,ICICI Prudential AMC,2026-07
INE176B01034,Havells India Ltd.,3871.0,48.8,0.0090804238159,Consumer Durables,CONETF,ICICI Prudential AMC,2026-07
