isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE081A01020,Tata Steel Ltd.,9781995.0,18555.47,0.1909277508886,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,1713432.0,16696.54,0.1718001661948,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE019A01038,JSW Steel Ltd.,1109955.0,14096.43,0.1450461602675,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE423A01024,Adani Enterprises Ltd.,341492.0,10277.2,0.1057479374779,Metals & Minerals Trading,METALETF,ICICI Prudential AMC,2026-07
INE205A01025,Vedanta Ltd.,2006759.0,5302.86,0.0545641330064,Diversified Metals,METALETF,ICICI Prudential AMC,2026-07
INE749A01030,Jindal Steel Ltd.,438365.0,4832.54,0.0497247438776,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE702C01027,APL Apollo Tubes Ltd.,215415.0,3919.48,0.0403297518765,Industrial Products,METALETF,ICICI Prudential AMC,2026-07
INE139A01034,National Aluminium Company Ltd.,1061195.0,3714.71,0.0382227572518,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE584A01023,NMDC Ltd.,4090215.0,3478.32,0.03579040652,Minerals & Mining,METALETF,ICICI Prudential AMC,2026-07
INE281B01032,Lloyds Metals & Energy Ltd.,154007.0,3152.52,0.0324380656071,Minerals & Mining,METALETF,ICICI Prudential AMC,2026-07
INE267A01025,Hindustan Zinc Ltd.,569102.0,3068.6,0.0315745651485,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE114A01011,Steel Authority Of India Ltd.,1710799.0,2891.76,0.0297549581287,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE220G01021,Jindal Stainless Ltd.,370638.0,2723.45,0.0280231211151,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
INE191B01025,Welspun Corp Ltd.,155076.0,2559.68,0.0263379987354,Industrial Products,METALETF,ICICI Prudential AMC,2026-07
INE531E01026,Hindustan Copper Ltd.,388356.0,1909.16,0.0196444296418,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-07
