isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE002A01018,Reliance Industries Ltd.,770583.0,10077.68,0.3280626728755,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,1934291.0,4691.24,0.1527157771928,Oil,NIFOGETF,ICICI Prudential AMC,2026-07
INE029A01011,Bharat Petroleum Corporation Ltd.,1009205.0,3226.93,0.1050475189708,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-07
INE242A01010,Indian Oil Corporation Ltd.,1860497.0,2607.86,0.0848946902546,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-07
INE129A01019,GAIL (India) Ltd.,1343179.0,2437.06,0.0793345708097,Gas,NIFOGETF,ICICI Prudential AMC,2026-07
INE094A01015,Hindustan Petroleum Corporation Ltd.,478181.0,1863.71,0.0606700832001,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-07
INE274J01014,Oil India Ltd.,271588.0,1245.5,0.0405452504015,Oil,NIFOGETF,ICICI Prudential AMC,2026-07
INE347G01014,Petronet LNG Ltd.,373150.0,1047.62,0.0341035850868,Gas,NIFOGETF,ICICI Prudential AMC,2026-07
INE399L01023,Adani total gas Ltd.,138136.0,899.89,0.0292944724077,Gas,NIFOGETF,ICICI Prudential AMC,2026-07
INE208C01025,Aegis Logistics Ltd.,62497.0,800.46,0.026057688588,Gas,NIFOGETF,ICICI Prudential AMC,2026-07
INE203G01027,Indraprastha Gas Ltd.,349293.0,530.86,0.0172812939607,Gas,NIFOGETF,ICICI Prudential AMC,2026-07
INE172A01027,Castrol India Ltd.,238242.0,441.25,0.0143641844557,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-07
INE002S01010,Mahanagar Gas Ltd.,28352.0,317.68,0.0103415617403,Gas,NIFOGETF,ICICI Prudential AMC,2026-07
INE178A01016,Chennai Petroleum Corporation Ltd.,23950.0,301.91,0.00982819474,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-07
INE0INX01018,Aegis Vopak Terminals Ltd,71852.0,208.49,0.0067870568094,Oil,NIFOGETF,ICICI Prudential AMC,2026-07
