isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE062A01020,State Bank Of India,448710.0,4610.05,0.3386850498024,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE028A01039,Bank Of Baroda,708722.0,1719.36,0.1263156640878,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE476A01022,Canara Bank,1283913.0,1604.63,0.1178868323476,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE160A01022,Punjab National Bank,1315663.0,1482.88,0.1089422645418,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE692A01016,Union Bank Of India,738159.0,1264.02,0.0928633478273,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE562A01011,Indian Bank,135000.0,1129.28,0.0829644478998,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE084A01016,Bank Of India,464219.0,640.39,0.0470473246587,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE457A01014,Bank Of Maharashtra,777845.0,617.06,0.0453333471071,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE483A01010,Central Bank Of India,652215.0,201.99,0.0148395338899,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE565A01014,Indian Overseas Bank,557794.0,189.09,0.0138918137692,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE691A01018,UCO Bank,434330.0,113.66,0.0083502223968,Banks,PSUETF,ICICI Prudential AMC,2026-07
INE608A01012,Punjab & Sind Bank,167228.0,38.78,0.0028490376961,Banks,PSUETF,ICICI Prudential AMC,2026-07
