isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN2920170072,State Government of Rajasthan,59678500.0,60453.54,0.0738175311813,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2220170061,State Government of Maharashtra,36064130.0,36420.59,0.044471804926,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2120170047,State Government of Madhya Pradesh,35783000.0,36245.6,0.0442581312556,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120180119,State Government of Tamil Nadu,26495000.0,27156.34,0.0331595796494,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3320170092,State Government of Uttar Pradesh,24588700.0,24872.99,0.0303714673268,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2220170103,State Government of Maharashtra,20167000.0,20410.5,0.0249224895709,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3320170100,State Government of Uttar Pradesh,19943600.0,20203.45,0.0246696686471,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3520170017,State Government of Chhattisgarh,19157300.0,19407.36,0.0236975932583,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2220210230,State Government of Maharashtra,17500000.0,17535.53,0.0214119724429,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120170086,State Government of Tamil Nadu,16710800.0,16877.61,0.0206086112151,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1520170086,State Government of Gujarat,14600000.0,14749.33,0.0180098490043,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1320210033,State Government of Bihar,9500000.0,9546.59,0.0116569799717,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3320170050,State Government of Uttar Pradesh,9000000.0,9087.85,0.0110968299085,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1520170078,State Government of Gujarat,8304640.0,8385.97,0.0102397907874,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120170060,State Government of Tamil Nadu,8293280.0,8378.59,0.0102307793485,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1620170036,State Government of Haryana,8255000.0,8337.98,0.0101811920135,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1920170025,State Government of Karnataka,7750000.0,7850.84,0.0095863637844,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1720170035,State Government of Himachal pradesh,7500000.0,7579.72,0.0092553094069,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1320210025,State Government of Bihar,7000000.0,7023.48,0.0085761057814,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1920200087,State Government of Karnataka,5875000.0,5874.88,0.0071735937645,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1620170051,State Government of Haryana,5733000.0,5802.81,0.0070855918133,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2220210222,State Government of Maharashtra,5590100.0,5604.11,0.0068429667587,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1520170094,State Government of Gujarat,5544300.0,5603.73,0.0068425027551,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1820170075,State Government of Jammu & Kashmir,5500000.0,5572.45,0.0068043079302,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN4520190088,State Government of Telangana,5367000.0,5410.21,0.0066062028025,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1220170048,State Government of Assam,5000000.0,5052.01,0.0061688183306,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1520210098,State Government of Gujarat,5000000.0,5005.1,0.0061115383038,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3620170065,State Government of Uttarakhand,4532000.0,4587.69,0.0056018547404,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1220170030,State Government of Assam,4300000.0,4347.23,0.0053082381292,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1520230062,State Government of Gujarat,3500000.0,3545.79,0.0043296300578,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3520190023,State Government of Chhattisgarh,3500000.0,3538.22,0.0043203866171,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2120170021,State Government of Madhya Pradesh,3497600.0,3533.2,0.004314256885,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3320170068,State Government of Uttar Pradesh,3100000.0,3128.67,0.0038203006024,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1620220096,State Government of Haryana,3001000.0,3042.25,0.003714776409,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2020170063,State Government of Kerala,3000000.0,3028.16,0.0036975716429,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120170045,State Government of Tamil Nadu,2600000.0,2627.42,0.003208243186,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3420170018,State Government of West Bengal,2500000.0,2527.45,0.0030861736001,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3320170084,State Government of Uttar Pradesh,2322100.0,2345.39,0.0028638670201,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2920210290,State Government of Rajasthan,2315800.0,2315.14,0.0028269298892,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120170052,State Government of Tamil Nadu,2200000.0,2224.47,0.0027162161816,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN4520190104,State Government of Telangana,2000000.0,2024.75,0.0024723456436,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1720170019,State Government of Himachal pradesh,2000000.0,2024.2,0.0024716740594,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1620170028,State Government of Haryana,2000000.0,2021.17,0.002467974241,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1020170040,State Government of Andhra Pradesh,2000000.0,2021.13,0.0024679253985,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1520170060,State Government of Gujarat,2000000.0,2020.21,0.0024668020213,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3420170034,State Government of West Bengal,2000000.0,2018.84,0.0024651291661,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN4520190096,State Government of Telangana,2000000.0,2017.98,0.0024640790526,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1820170067,State Government of Jammu & Kashmir,1500000.0,1519.46,0.001855355136,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2120170039,State Government of Madhya Pradesh,1465600.0,1482.36,0.0018100537292,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1020180098,State Government of Andhra Pradesh,1000000.0,1018.48,0.0012436274063,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2020160148,State Government of Kerala,1000000.0,1010.89,0.0012343595444,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1320160170,State Government of Bihar,1000000.0,1010.85,0.0012343107019,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2920170031,State Government of Rajasthan,1000000.0,1010.28,0.0012336146965,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3420170026,State Government of West Bengal,1000000.0,1009.75,0.0012329675335,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1920190023,State Government of Karnataka,1000000.0,1008.28,0.0012311725721,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN2920160420,State Government of Rajasthan,815600.0,824.24,0.001006448289,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN4520190021,State Government of Telangana,500000.0,507.09,0.0006191884195,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1220170014,State Government of Assam,500000.0,506.0,0.0006178574617,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1220170063,State Government of Assam,500000.0,505.2,0.000616880612,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3420170042,State Government of West Bengal,500000.0,504.68,0.0006162456596,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN4520190062,State Government of Telangana,500000.0,504.06,0.0006154886011,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120161424,State Government of Tamil Nadu,472500.0,478.04,0.0005837165632,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120160186,State Government of Tamil Nadu,400000.0,402.65,0.0004916606857,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1020180213,State Government of Andhra Pradesh,333000.0,340.44,0.0004156984076,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN1720160549,State Government of Himachal pradesh,300000.0,303.76,0.0003709098469,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN4520190039,State Government of Telangana,250000.0,253.3,0.0003092950495,SOV,PSUSDL,ICICI Prudential AMC,2026-07
IN3120170078,State Government of Tamil Nadu,103000.0,104.02,0.0001270148876,SOV,PSUSDL,ICICI Prudential AMC,2026-07
INE261F08EI9,NABARD **,66550.0,66729.02,0.0814802824541,ICRA AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE053F07AC3,Indian Railway Finance Corporation Ltd. **,4995.0,50033.87,0.0610944662438,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08JC3,Power Finance Corporation Ltd. **,3495.0,34974.29,0.0427057826989,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE261F08CF9,NABARD **,3150.0,31303.41,0.0382234099733,ICRA AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE514E08FP6,Export-Import Bank Of India **,2500.0,25029.0,0.030561965237,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE053F07AB5,Indian Railway Finance Corporation Ltd. **,2000.0,20006.92,0.0244296932974,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08LH8,Power Finance Corporation Ltd. **,5750.0,17106.77,0.0208884298237,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE752E07OG5,Power Grid Corporation Of India Ltd. **,1620.0,16208.39,0.0197914519848,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE053F07AA7,Indian Railway Finance Corporation Ltd. **,1226.0,12283.58,0.0149990149405,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08LT3,Power Finance Corporation Ltd. **,874.0,8720.0,0.0106476621865,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08IX1,Power Finance Corporation Ltd. **,750.0,7533.41,0.0091987620175,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08JE9,Power Finance Corporation Ltd. **,650.0,6496.65,0.0079328135945,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE053F09EO6,Indian Railway Finance Corporation Ltd. **,300.0,3071.99,0.0037510907982,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE514E08FN1,Export-Import Bank Of India **,250.0,2507.44,0.0030617401459,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE848E07AC9,NHPC Ltd. **,250.0,2506.45,0.0030605312944,FITCH AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE752E07OF7,Power Grid Corporation Of India Ltd. **,250.0,2503.41,0.0030568192654,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08IP7,Power Finance Corporation Ltd. **,212.0,2119.5,0.0025880412849,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE752E07KA6,Power Grid Corporation Of India Ltd. **,160.0,2036.88,0.0024871571278,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE020B08AH8,Rural Electrification Corporation Ltd. **,118.0,1184.19,0.0014459696198,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE752E07IX2,Power Grid Corporation Of India Ltd. **,100.0,1021.92,0.0012478278602,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE752E07KY6,Power Grid Corporation Of India Ltd. **,100.0,1005.62,0.0012279245467,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
INE134E08IR3,Power Finance Corporation Ltd. **,50.0,500.09,0.0006106409842,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-07
