isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE044A01036,Sun Pharmaceutical Industries Ltd.,158564.0,3156.22,0.2133071780418,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE361B01024,Divi's Laboratories Ltd.,19027.0,1532.82,0.1035927497595,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE059A01026,Cipla Ltd.,84259.0,1241.3,0.083890920184,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE685A01028,Torrent Pharmaceuticals Ltd.,21962.0,1125.07,0.0760357347711,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE947Q01028,Laurus Labs Ltd.,58261.0,1058.14,0.0715123969093,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE089A01031,Dr. Reddy's Laboratories Ltd.,91282.0,1048.01,0.0708277799581,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE326A01037,Lupin Ltd.,36364.0,878.19,0.0593508154325,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE406A01037,Aurobindo Pharma Ltd.,41447.0,654.95,0.0442635609236,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE540L01014,Alkem Laboratories Ltd.,8759.0,503.77,0.0340463456546,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE935A01035,Glenmark Pharmaceuticals Ltd.,22544.0,503.61,0.0340355323563,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE376G01013,Biocon Ltd.,106836.0,454.8,0.0307368005314,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE010B01027,Zydus Lifesciences Ltd.,37462.0,422.12,0.0285281843455,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE634S01028,Mankind Pharma Ltd.,16950.0,418.6,0.028290291782,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE571A01038,IPCA Laboratories Ltd.,20798.0,363.51,0.0245671379973,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE068V01023,Gland Pharma Ltd.,11927.0,298.52,0.0201749113778,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE570L01029,Sai Life Sciences Ltd.,20658.0,271.67,0.0183603047501,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE049B01025,Wockhardt Ltd.,12362.0,242.26,0.016372685349,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE031B01049,Ajanta Pharma Ltd.,6302.0,218.38,0.0147588005718,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE358A01014,Abbott India Ltd.,777.0,216.01,0.0145986285901,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
INE0DK501011,Piramal Pharma Ltd.,93138.0,182.19,0.0123129676535,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-07
