isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,6165657.0,88501.84,0.2211179988868,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,10677182.0,79881.34,0.1995800544847,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,20082388.0,78381.56,0.1958329193701,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,5931498.0,72927.77,0.182206862204,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE171A01029,The Federal Bank Ltd.,6722840.0,24124.91,0.060275038604,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE095A01012,IndusInd Bank Ltd.,1796558.0,18189.25,0.0454450501961,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE092T01019,IDFC First Bank Ltd.,18097394.0,15324.87,0.0382885213188,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE528G01035,Yes Bank Ltd.,47910936.0,10909.32,0.0272564616466,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE976G01028,RBL Bank Ltd.,1685791.0,6330.15,0.0158156045191,Banks,PVTETF,ICICI Prudential AMC,2026-07
INE545U01014,Bandhan Bank Ltd.,2488477.0,4333.19,0.0108262867935,Banks,PVTETF,ICICI Prudential AMC,2026-07
