isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,70473.0,1011.57,0.2214597029203,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,122039.0,913.03,0.1998866638565,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,229541.0,895.9,0.1961364491299,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,67796.0,833.55,0.1824863680904,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE171A01029,The Federal Bank Ltd.,76841.0,275.74,0.0603668539826,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE095A01012,IndusInd Bank Ltd.,20534.0,207.9,0.0455148652462,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE092T01019,IDFC First Bank Ltd.,206852.0,175.16,0.0383472044085,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE528G01035,Yes Bank Ltd.,547621.0,124.69,0.0272979728117,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE976G01028,RBL Bank Ltd.,19268.0,72.35,0.015839348247,Banks,PVTDEX,ICICI Prudential AMC,2026-07
INE545U01014,Bandhan Bank Ltd.,28442.0,49.53,0.0108434404793,Banks,PVTDEX,ICICI Prudential AMC,2026-07
