isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN3120180192,State Government of Tamil Nadu,14407000.0,14864.65,0.1789735876804,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3120180200,State Government of Tamil Nadu,9335000.0,9613.54,0.1157490922497,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2020180112,State Government of Kerala,5460000.0,5644.1,0.0679561796764,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3320180042,State Government of Uttar Pradesh,5000000.0,5195.91,0.0625598755412,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180226,State Government of Gujarat,3500000.0,3610.43,0.0434703548465,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2920180196,State Government of Rajasthan,3100000.0,3223.47,0.0388112730996,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3120180168,State Government of Tamil Nadu,3000000.0,3115.28,0.0375086421967,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3120180184,State Government of Tamil Nadu,3000000.0,3106.16,0.0373988354323,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2920180188,State Government of Rajasthan,2960000.0,3064.75,0.0369002501131,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180119,State Government of Gujarat,2900000.0,3013.74,0.0362860787261,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180234,State Government of Gujarat,2459800.0,2533.2,0.0305002736231,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2220180052,State Government of Maharashtra,2406400.0,2478.2,0.0298380617767,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1920180081,State Government of Karnataka,2000000.0,2076.43,0.0250006644399,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2220200256,State Government of Maharashtra,2000000.0,1994.09,0.0240092731048,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1920180115,State Government of Karnataka,1528800.0,1574.42,0.0189563559125,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2920180238,State Government of Rajasthan,1500000.0,1556.0,0.0187345751451,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3320180091,State Government of Uttar Pradesh,1500000.0,1546.05,0.0186147750019,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180218,State Government of Gujarat,1300000.0,1344.88,0.0161926448722,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3320180067,State Government of Uttar Pradesh,1000000.0,1039.82,0.0125196567656,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180184,State Government of Gujarat,1000000.0,1038.3,0.0125013556382,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1620180050,State Government of Haryana,1000000.0,1035.31,0.0124653553942,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2920180279,State Government of Rajasthan,1000000.0,1028.39,0.0123820371037,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1020220589,State Government of Andhra Pradesh,1000000.0,1015.94,0.0122321364221,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3320180059,State Government of Uttar Pradesh,800000.0,831.28,0.0100087902484,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180077,State Government of Gujarat,630000.0,651.17,0.0078402270547,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2120180095,State Government of Madhya Pradesh,550000.0,568.64,0.0068465480787,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180176,State Government of Gujarat,500000.0,519.12,0.0062503166126,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180192,State Government of Gujarat,500000.0,519.04,0.0062493533954,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2820180114,State Government of Punjab,500000.0,516.91,0.0062237077366,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2920180170,State Government of Rajasthan,500000.0,516.55,0.0062193732591,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2220200181,State Government of Maharashtra,500000.0,500.24,0.0060229973461,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1920170157,State Government of Karnataka,400000.0,407.47,0.0049060265645,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180150,State Government of Gujarat,200000.0,207.61,0.0024996691168,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2920180204,State Government of Rajasthan,100000.0,103.89,0.0012508579767,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN2020180104,State Government of Kerala,100000.0,103.68,0.0012483295315,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN3320180083,State Government of Uttar Pradesh,50000.0,51.9,0.0006248871786,SOV,SDL2028,ICICI Prudential AMC,2026-07
IN1520180200,State Government of Gujarat,23000.0,23.87,0.0002873999413,SOV,SDL2028,ICICI Prudential AMC,2026-07
