isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN2920160156,State Government of Rajasthan,10272200.0,10293.85,0.4623114342778,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN2220210214,State Government of Maharashtra,3700000.0,3700.89,0.1662122300212,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN2120160014,State Government of Madhya Pradesh,1500000.0,1500.71,0.0673990190779,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN3120180127,State Government of Tamil Nadu,1000000.0,1004.21,0.0451004983962,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN1520220097,State Government of Gujarat,1000000.0,1003.15,0.0450528922896,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN3120160103,State Government of Tamil Nadu,1000000.0,1002.19,0.0450097773251,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN2220160062,State Government of Maharashtra,579800.0,581.07,0.026096679582,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN3320160218,State Government of Uttar Pradesh,500000.0,500.68,0.0224862504227,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN3420160050,State Government of West Bengal,500000.0,500.68,0.0224862504227,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN2220160070,State Government of Maharashtra,413100.0,414.19,0.0186018615934,SOV,SDL2026,ICICI Prudential AMC,2026-07
IN2220160054,State Government of Maharashtra,337800.0,338.27,0.0151921864873,SOV,SDL2026,ICICI Prudential AMC,2026-07
