isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE296A01032,Bajaj Finance Ltd.,8965.0,102.31,0.0750231697924,Finance,EQL15ETF,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,4213.0,99.66,0.0730799443018,It - Software,EQL15ETF,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,2899.0,98.52,0.0722439906945,Automobiles,EQL15ETF,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,671.0,95.51,0.0700367798541,Automobiles,EQL15ETF,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,8408.0,95.02,0.0696774664615,It - Software,EQL15ETF,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,4732.0,93.32,0.0684308689769,Telecom - Services,EQL15ETF,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,6467.0,92.83,0.0680715555843,Banks,EQL15ETF,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,6763.0,88.45,0.0648597338299,Petroleum Products,EQL15ETF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,8587.0,88.22,0.0646910765232,Banks,EQL15ETF,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,4118.0,86.53,0.063451811965,Diversified Fmcg,EQL15ETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,30600.0,85.99,0.0630558339405,Diversified Fmcg,EQL15ETF,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,21885.0,85.42,0.0626378571368,Banks,EQL15ETF,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,11200.0,83.79,0.0614425901369,Banks,EQL15ETF,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,2124.0,83.66,0.061347262094,Construction,EQL15ETF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,6417.0,78.9,0.0578567891372,Banks,EQL15ETF,ICICI Prudential AMC,2026-07
