isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE296A01032,Bajaj Finance Ltd.,19548.0,223.08,0.0750237823089,Finance,EQL15DEX,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,9185.0,217.28,0.0730731908736,It - Software,EQL15DEX,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,6320.0,214.79,0.0722357817919,Automobiles,EQL15DEX,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,1461.0,207.96,0.0699387922223,Automobiles,EQL15DEX,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,18333.0,207.18,0.0696764713052,It - Software,EQL15DEX,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,10319.0,203.49,0.0684354915817,Telecom - Services,EQL15DEX,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,14102.0,202.42,0.0680756410927,Banks,EQL15DEX,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,14746.0,192.85,0.0648571652245,Petroleum Products,EQL15DEX,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,18724.0,192.37,0.0646957369677,Banks,EQL15DEX,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,8976.0,188.61,0.0634312156235,Diversified Fmcg,EQL15DEX,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,66719.0,187.48,0.0630511866024,Diversified Fmcg,EQL15DEX,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,47720.0,186.25,0.0626375266946,Banks,EQL15DEX,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,24421.0,182.71,0.0614469933013,Banks,EQL15DEX,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,4632.0,182.45,0.0613595529956,Construction,EQL15DEX,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,13991.0,172.02,0.0578518515007,Banks,EQL15DEX,ICICI Prudential AMC,2026-07
