isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE467B01029,Tata Consultancy Services Ltd.,6121.0,144.8,0.0537561799425,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,9336.0,140.94,0.0523231768031,Food Products,QUA30DEX,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,12217.0,138.06,0.0512539931137,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,9357.0,126.03,0.0467879237441,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,44464.0,124.94,0.0463832674172,Diversified Fmcg,QUA30DEX,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,5869.0,123.33,0.0457855640353,Diversified Fmcg,QUA30DEX,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,31152.0,120.82,0.0448537407503,Aerospace & Defense,QUA30DEX,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,992.0,114.28,0.0424258027888,Automobiles,QUA30DEX,ICICI Prudential AMC,2026-07
INE216A01030,Britannia Industries Ltd.,2074.0,112.34,0.0417055887758,Food Products,QUA30DEX,ICICI Prudential AMC,2026-07
INE935N01020,Dixon Technologies (India) Ltd.,760.0,106.77,0.0396377578208,Consumer Durables,QUA30DEX,ICICI Prudential AMC,2026-07
INE259A01022,Colgate - Palmolive (India) Ltd.,5046.0,104.76,0.0388915567042,Personal Products,QUA30DEX,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,24510.0,101.51,0.0376850126102,Consumable Fuels,QUA30DEX,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,3578.0,98.3,0.0364933182897,Consumer Durables,QUA30DEX,ICICI Prudential AMC,2026-07
INE066F01020,Hindustan Aeronautics Ltd.,1988.0,92.37,0.0342918393735,Aerospace & Defense,QUA30DEX,ICICI Prudential AMC,2026-07
INE158A01026,Hero Motocorp Ltd.,1601.0,86.23,0.0320123991467,Automobiles,QUA30DEX,ICICI Prudential AMC,2026-07
INE298A01020,Cummins India Ltd.,1551.0,85.6,0.0317785152146,Industrial Products,QUA30DEX,ICICI Prudential AMC,2026-07
INE196A01026,Marico Ltd.,9686.0,84.33,0.0313070349071,Agricultural Food & Other Products,QUA30DEX,ICICI Prudential AMC,2026-07
INE127D01025,HDFC Asset Management Company Ltd.,3126.0,81.77,0.0303566494053,Capital Markets,QUA30DEX,ICICI Prudential AMC,2026-07
INE262H01021,Persistent Systems Ltd.,1392.0,77.24,0.0286749125605,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE267A01025,Hindustan Zinc Ltd.,13865.0,74.76,0.0277542266056,Non - Ferrous Metals,QUA30DEX,ICICI Prudential AMC,2026-07
INE343H01029,Solar Industries India Ltd.,395.0,72.64,0.026967188612,Chemicals & Petrochemicals,QUA30DEX,ICICI Prudential AMC,2026-07
INE318A01026,Pidilite Industries Ltd.,4203.0,67.73,0.0251443789192,Chemicals & Petrochemicals,QUA30DEX,ICICI Prudential AMC,2026-07
INE761H01022,Page Industries Ltd.,166.0,67.02,0.0248807954402,Textiles & Apparels,QUA30DEX,ICICI Prudential AMC,2026-07
INE455K01017,Polycab India Ltd.,707.0,64.38,0.0239007103915,Industrial Products,QUA30DEX,ICICI Prudential AMC,2026-07
INE214T01019,LTIMindtree Ltd.,1395.0,60.85,0.0225902178833,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE881D01027,Oracle Financial Services Software Ltd.,507.0,56.71,0.0210532663297,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE176B01034,Havells India Ltd.,4002.0,50.45,0.0187292767824,Consumer Durables,QUA30DEX,ICICI Prudential AMC,2026-07
INE249Z01020,Mazagon Dock Shipbuilders Ltd,1865.0,44.42,0.0164906734326,Industrial Manufacturing,QUA30DEX,ICICI Prudential AMC,2026-07
INE670A01012,Tata Elxsi Ltd.,968.0,35.55,0.0131977361668,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
INE04I401011,KPIT Technologies Ltd,4726.0,28.28,0.0104987898396,It - Software,QUA30DEX,ICICI Prudential AMC,2026-07
