isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE860A01027,HCL Technologies Ltd.,46544.0,626.9,0.0235760515981,It - Software,EQUAL,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,5313.0,612.08,0.0230187105793,Automobiles,EQUAL,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,202283.0,611.8,0.0230081805195,Retailing,EQUAL,ICICI Prudential AMC,2026-07
INE296A01032,Bajaj Finance Ltd.,52320.0,597.08,0.0224546002364,Finance,EQUAL,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,29118.0,590.83,0.0222195542601,Finance,EQUAL,ICICI Prudential AMC,2026-07
INE669C01036,Tech Mahindra Ltd.,35467.0,585.67,0.0220255003022,It - Software,EQUAL,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,11983.0,584.2,0.0219702174886,Consumer Durables,EQUAL,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,24579.0,581.44,0.0218664211855,It - Software,EQUAL,ICICI Prudential AMC,2026-07
INE101A01026,Mahindra & Mahindra Ltd.,16913.0,574.79,0.0216163322668,Automobiles,EQUAL,ICICI Prudential AMC,2026-07
INE239A01024,Nestle India Ltd.,37499.0,566.08,0.0212887721943,Food Products,EQUAL,ICICI Prudential AMC,2026-07
INE758E01017,Jio Financial Services Ltd,217089.0,556.75,0.0209378955611,Finance,EQUAL,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,3906.0,555.98,0.0209089378968,Automobiles,EQUAL,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,49070.0,554.54,0.0208547833039,It - Software,EQUAL,ICICI Prudential AMC,2026-07
INE123W01016,SBI Life Insurance Company Ltd.,29327.0,551.93,0.0207566281042,Insurance,EQUAL,ICICI Prudential AMC,2026-07
INE044A01036,Sun Pharmaceutical Industries Ltd.,27657.0,550.51,0.0207032256584,Pharmaceuticals & Biotechnology,EQUAL,ICICI Prudential AMC,2026-07
INE075A01022,Wipro Ltd.,297203.0,545.81,0.0205264710843,It - Software,EQUAL,ICICI Prudential AMC,2026-07
INE397D01024,Bharti Airtel Ltd.,27614.0,544.55,0.0204790858155,Telecom - Services,EQUAL,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,37743.0,541.76,0.0203741612917,Banks,EQUAL,ICICI Prudential AMC,2026-07
INE437A01024,Apollo Hospitals Enterprise Ltd.,6041.0,541.09,0.0203489643631,Healthcare Services,EQUAL,ICICI Prudential AMC,2026-07
INE481G01011,Ultratech Cement Ltd.,4528.0,538.97,0.0202692367679,Cement & Cement Products,EQUAL,ICICI Prudential AMC,2026-07
INE066A01021,Eicher Motors Ltd.,6838.0,535.65,0.0201443803454,Automobiles,EQUAL,ICICI Prudential AMC,2026-07
INE019A01038,JSW Steel Ltd.,42112.0,534.82,0.0201131662397,Ferrous Metals,EQUAL,ICICI Prudential AMC,2026-07
INE021A01026,Asian Paints Ltd.,19433.0,533.88,0.0200778153249,Consumer Durables,EQUAL,ICICI Prudential AMC,2026-07
INE721A01047,Shriram Finance Ltd.,50879.0,532.55,0.0200277975412,Finance,EQUAL,ICICI Prudential AMC,2026-07
INE059A01026,Cipla Ltd.,36055.0,531.16,0.019975523316,Pharmaceuticals & Biotechnology,EQUAL,ICICI Prudential AMC,2026-07
INE027H01010,MAX Healthcare Institute Ltd,47930.0,526.51,0.0198006491097,Healthcare Services,EQUAL,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,216065.0,524.02,0.0197070067928,Oil,EQUAL,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,53091.0,517.35,0.019456165727,Non - Ferrous Metals,EQUAL,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,272698.0,517.28,0.0194535332121,Ferrous Metals,EQUAL,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,39468.0,516.16,0.0194114129731,Petroleum Products,EQUAL,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,50115.0,514.88,0.0193632755572,Banks,EQUAL,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,9948.0,514.41,0.0193456000998,Transport Services,EQUAL,ICICI Prudential AMC,2026-07
INE047A01021,Grasim Industries Ltd.,16569.0,513.77,0.0193215313918,Cement & Cement Products,EQUAL,ICICI Prudential AMC,2026-07
INE192A01025,Tata Consumer Products Ltd.,47215.0,511.39,0.0192320258841,Agricultural Food & Other Products,EQUAL,ICICI Prudential AMC,2026-07
INE423A01024,Adani Enterprises Ltd.,16884.0,508.12,0.0191090498293,Metals & Minerals Trading,EQUAL,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,178258.0,506.7,0.0190556473835,Power,EQUAL,ICICI Prudential AMC,2026-07
INE030A01027,Hindustan Unilever Ltd.,24024.0,504.82,0.0189849455539,Diversified Fmcg,EQUAL,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,145229.0,504.31,0.0189657658022,Power,EQUAL,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,148283.0,503.79,0.018946209977,Automobiles,EQUAL,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,178597.0,501.86,0.0188736277796,Diversified Fmcg,EQUAL,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,127736.0,498.55,0.0187491474306,Banks,EQUAL,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,65368.0,489.05,0.0183918775467,Banks,EQUAL,ICICI Prudential AMC,2026-07
INE018A01030,Larsen & Toubro Ltd.,12391.0,488.07,0.0183550223376,Construction,EQUAL,ICICI Prudential AMC,2026-07
INE263A01024,Bharat Electronics Ltd.,125388.0,486.32,0.0182892094643,Aerospace & Defense,EQUAL,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,117383.0,486.14,0.0182824401402,Consumable Fuels,EQUAL,ICICI Prudential AMC,2026-07
INE742F01042,Adani Ports and Special Economic Zone Ltd.,28590.0,485.03,0.0182406959748,Transport Infrastructure,EQUAL,ICICI Prudential AMC,2026-07
INE795G01014,HDFC Life Insurance Company Ltd.,87625.0,480.62,0.018074847534,Insurance,EQUAL,ICICI Prudential AMC,2026-07
INE849A01020,Trent Ltd.,15962.0,479.8,0.0180440095019,Retailing,EQUAL,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,37449.0,460.44,0.017315931086,Banks,EQUAL,ICICI Prudential AMC,2026-07
INE089A01031,Dr. Reddy's Laboratories Ltd.,39031.0,448.11,0.0168522323841,Pharmaceuticals & Biotechnology,EQUAL,ICICI Prudential AMC,2026-07
