isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,335380.0,2509.15,0.1416845003548,Banks,NV20ETF,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,157547.0,2261.43,0.127696462801,Banks,NV20ETF,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,169164.0,2212.33,0.1249239266962,Petroleum Products,NV20ETF,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,171424.0,1761.21,0.0994504748101,Banks,NV20ETF,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,102762.0,1161.31,0.0655758432564,It - Software,NV20ETF,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,341693.0,960.16,0.0542174799675,Diversified Fmcg,NV20ETF,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,69721.0,857.22,0.0484047535596,Banks,NV20ETF,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,30241.0,715.38,0.0403954557773,It - Software,NV20ETF,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,291713.0,707.49,0.0399499301181,Oil,NV20ETF,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,173790.0,590.45,0.0333410171709,Automobiles,NV20ETF,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,148111.0,578.08,0.0326425187673,Banks,NV20ETF,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,148536.0,515.79,0.0291251812119,Power,NV20ETF,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,121534.0,503.33,0.0284216007666,Consumable Fuels,NV20ETF,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,33497.0,451.17,0.0254762752426,It - Software,NV20ETF,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,41955.0,408.83,0.0230854569396,Non - Ferrous Metals,NV20ETF,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,130538.0,371.05,0.0209521287514,Power,NV20ETF,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,185292.0,351.48,0.0198470670086,Ferrous Metals,NV20ETF,ICICI Prudential AMC,2026-07
INE047A01021,Grasim Industries Ltd.,11250.0,348.84,0.0196979937842,Cement & Cement Products,NV20ETF,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,13357.0,271.03,0.0153042863643,Finance,NV20ETF,ICICI Prudential AMC,2026-07
INE075A01022,Wipro Ltd.,82696.0,151.87,0.0085756631006,It - Software,NV20ETF,ICICI Prudential AMC,2026-07
