isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,192815.0,1442.55,0.1431355223936,Banks,NV20DEX,ICICI Prudential AMC,2026-07
INE090A01021,ICICI Bank Ltd.,90576.0,1300.13,0.1290040461194,Banks,NV20DEX,ICICI Prudential AMC,2026-07
INE002A01018,Reliance Industries Ltd.,97255.0,1271.9,0.1262029537502,Petroleum Products,NV20DEX,ICICI Prudential AMC,2026-07
INE062A01020,State Bank Of India,98506.0,1012.05,0.1004196079432,Banks,NV20DEX,ICICI Prudential AMC,2026-07
INE009A01021,Infosys Ltd.,59050.0,667.32,0.0662141324763,It - Software,NV20DEX,ICICI Prudential AMC,2026-07
INE154A01025,ITC Ltd.,196354.0,551.75,0.0547468195076,Diversified Fmcg,NV20DEX,ICICI Prudential AMC,2026-07
INE238A01034,Axis Bank Ltd.,40062.0,492.56,0.0488737533605,Banks,NV20DEX,ICICI Prudential AMC,2026-07
INE467B01029,Tata Consultancy Services Ltd.,17375.0,411.02,0.0407830317245,It - Software,NV20DEX,ICICI Prudential AMC,2026-07
INE213A01029,Oil & Natural Gas Corporation Ltd.,167634.0,406.56,0.0403404928663,Oil,NV20DEX,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,99866.0,339.29,0.0336656971286,Automobiles,NV20DEX,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,85109.0,332.18,0.0329602147784,Banks,NV20DEX,ICICI Prudential AMC,2026-07
INE733E01010,NTPC Ltd.,85354.0,296.39,0.0294089892774,Power,NV20DEX,ICICI Prudential AMC,2026-07
INE522F01014,Coal India Ltd.,69838.0,289.23,0.0286985457293,Consumable Fuels,NV20DEX,ICICI Prudential AMC,2026-07
INE860A01027,HCL Technologies Ltd.,19245.0,259.21,0.0257198424731,It - Software,NV20DEX,ICICI Prudential AMC,2026-07
INE038A01020,Hindalco Industries Ltd.,24106.0,234.9,0.0233077080241,Non - Ferrous Metals,NV20DEX,ICICI Prudential AMC,2026-07
INE752E01010,Power Grid Corporation Of India Ltd.,75012.0,213.22,0.0211565325879,Power,NV20DEX,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,106476.0,201.97,0.0200402630465,Ferrous Metals,NV20DEX,ICICI Prudential AMC,2026-07
INE047A01021,Grasim Industries Ltd.,6461.0,200.34,0.019878527993,Cement & Cement Products,NV20DEX,ICICI Prudential AMC,2026-07
INE918I01026,Bajaj Finserv Ltd.,7672.0,155.67,0.015446193734,Finance,NV20DEX,ICICI Prudential AMC,2026-07
INE075A01022,Wipro Ltd.,47542.0,87.31,0.0086632438807,It - Software,NV20DEX,ICICI Prudential AMC,2026-07
