isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109KC1S88,ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund-Direct-Growth,220229264.697,29322.21,0.1952594970297,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC18U7,ICICI Prudential Nifty Private Bank ETF,57977328.0,16088.71,0.1071363114327,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC18O0,ICICI Prudential Nifty 10 Year Benchmark G-Sec ETF,3331800.0,8722.32,0.0580827917176,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC18W3,ICICI Prudential Nifty Oil & Gas ETF,54274017.0,6198.09,0.0412736944433,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC16E5,ICICI Prudential Nifty Infrastructure ETF,6229880.0,6021.18,0.0400956332529,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC15I8,ICICI Prudential Nifty Bank ETF,9738000.0,5724.0,0.038116682235,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC16I6,ICICI Prudential Nifty IT ETF,15907580.0,5440.39,0.0362280951894,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC19V3,ICICI Prudential Nifty FMCG ETF,9133000.0,4814.92,0.0320630285861,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC10V2,ICICI Prudential Nifty Auto ETF,15765000.0,4686.93,0.0312107305149,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC19W1,ICICI Prudential Nifty Metal ETF,32636330.0,4170.92,0.0277745688797,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF666M01LM6,Groww BSE Power ETF,35789626.0,4137.28,0.0275505567919,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC13P8,ICICI Prudential Nifty SDL Sep 2026 Index Fund - Direct Plan -  Growth,19191526.065,2464.92,0.0164141461171,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC1Q72,ICICI Prudential Nifty Healthcare ETF,1228531.0,2111.72,0.0140621523775,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF247L01CI4,Motilal Oswal Nifty Realty ETF,1506000.0,1360.07,0.0090568406721,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109K012R6,ICICI Prudential Nifty 50 ETF,480000.0,1324.85,0.008822307208,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC14A8,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,1704300.0,1133.36,0.0075471563553,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF457M01133,Reliance CPSE ETF,750000.0,711.83,0.0047401463863,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF109KC1V42,ICICI Prudential Nifty India Consumption ETF,390000.0,489.06,0.0032566989192,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF204KC1089,Nippon India Nifty Pharma ETF,1400000.0,381.78,0.0025423107868,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF174KA1XV0,Kotak Nifty Chemicals ETF,1250000.0,377.13,0.0025113459768,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
INF247L01FP2,Motilal Oswal Nifty India Tourism ETF,450000.0,352.85,0.0023496630549,Capital Markets,MASFOF,ICICI Prudential AMC,2026-07
