isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE101A01026,Mahindra & Mahindra Ltd.,4717.0,160.31,0.0165800658362,Automobiles,RETIRECO,ICICI Prudential AMC,2026-07
INE775A01035,Samvardhana Motherson International Ltd.,102452.0,154.45,0.0159739951868,Auto Components,RETIRECO,ICICI Prudential AMC,2026-07
INE237A01036,Kotak Mahindra Bank Ltd.,38640.0,150.81,0.015597528094,Banks,RETIRECO,ICICI Prudential AMC,2026-07
INE066F01020,Hindustan Aeronautics Ltd.,2904.0,134.93,0.0139551386892,Aerospace & Defense,RETIRECO,ICICI Prudential AMC,2026-07
INE669C01036,Tech Mahindra Ltd.,7481.0,123.53,0.0127760933987,It - Software,RETIRECO,ICICI Prudential AMC,2026-07
INE280A01028,Titan Company Ltd.,2500.0,121.88,0.0126054421066,Consumer Durables,RETIRECO,ICICI Prudential AMC,2026-07
INE040A01034,HDFC Bank Ltd.,14675.0,109.79,0.0113550335484,Banks,RETIRECO,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,1920.0,99.28,0.0102680365305,Transport Services,RETIRECO,ICICI Prudential AMC,2026-07
INE216P01012,Aavas Financiers Ltd.,7110.0,96.68,0.0099991314643,Finance,RETIRECO,ICICI Prudential AMC,2026-07
INE437A01024,Apollo Hospitals Enterprise Ltd.,1071.0,95.93,0.0099215626952,Healthcare Services,RETIRECO,ICICI Prudential AMC,2026-07
INE298J01013,Nippon Life India Asset Management Ltd,8210.0,95.35,0.0098615761804,Capital Markets,RETIRECO,ICICI Prudential AMC,2026-07
INE192A01025,Tata Consumer Products Ltd.,8523.0,92.31,0.0095471641029,Agricultural Food & Other Products,RETIRECO,ICICI Prudential AMC,2026-07
INE749A01030,Jindal Steel Ltd.,8000.0,88.19,0.0091210529979,Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-07
INE182A01018,Pfizer Ltd.,1746.0,84.23,0.0087114898969,Pharmaceuticals & Biotechnology,RETIRECO,ICICI Prudential AMC,2026-07
INE0FS801015,Motherson Sumi Wiring India Ltd.,196424.0,79.77,0.0082502142832,Auto Components,RETIRECO,ICICI Prudential AMC,2026-07
INE1CDF01017,Vedanta Aluminium Metal Ltd.,16560.0,75.22,0.0077796304173,Non - Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-07
INE944F01028,Radico Khaitan Ltd.,1726.0,74.92,0.0077486029096,Beverages,RETIRECO,ICICI Prudential AMC,2026-07
INE665J01013,V-Mart Retail Ltd.,9560.0,74.48,0.0077030958984,Retailing,RETIRECO,ICICI Prudential AMC,2026-07
INE081A01020,Tata Steel Ltd.,35132.0,66.64,0.0068922436986,Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-07
INE376G01013,Biocon Ltd.,15381.0,65.48,0.006772270669,Pharmaceuticals & Biotechnology,RETIRECO,ICICI Prudential AMC,2026-07
INE133A01011,Jsw Dulux Ltd.,2130.0,62.6,0.0064744065956,Consumer Durables,RETIRECO,ICICI Prudential AMC,2026-07
INE220G01021,Jindal Stainless Ltd.,8490.0,62.38,0.00645165309,Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,2316400.0,2334.22,0.241416762998,SOV,RETIRECO,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,600000.0,581.56,0.0601478578236,SOV,RETIRECO,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,400000.0,365.72,0.037824600322,SOV,RETIRECO,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,163030.0,167.3,0.0173030067643,SOV,RETIRECO,ICICI Prudential AMC,2026-07
INE031A08616,Housing and Urban Development Corporation Ltd. **,50.0,514.14,0.0531749426051,ICRA AAA,RETIRECO,ICICI Prudential AMC,2026-07
INE261F08DV4,NABARD **,500.0,501.02,0.0518180062707,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-07
INE020B08BO2,Rural Electrification Corporation Ltd. **,40.0,410.63,0.0424694182167,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-07
INE091A07208,Nirma Ltd. **,350.0,350.91,0.0362928756945,CRISIL AA,RETIRECO,ICICI Prudential AMC,2026-07
INE134E08MI4,Power Finance Corporation Ltd. **,200.0,203.29,0.0210252734317,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-07
INE205A08046,Vedanta Ltd. **,200.0,202.12,0.0209042661519,CRISIL AA+,RETIRECO,ICICI Prudential AMC,2026-07
INE528G08345,Yes Bank Ltd. **,20.0,199.78,0.0206622515922,CRISIL AA-,RETIRECO,ICICI Prudential AMC,2026-07
INE053F07AC3,Indian Railway Finance Corporation Ltd. **,13.0,130.22,0.0134680068192,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-07
INE556F08KS8,Small Industries Development Bank Of India. **,100.0,99.74,0.0103156120423,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-07
INE16J715035,India Universal Trust AL1 **,2.0,173.7,0.0179649269275,FITCH AAA(SO),RETIRECO,ICICI Prudential AMC,2026-07
INE16J715027,India Universal Trust AL1 **,1.0,57.7,0.0059676239707,FITCH AAA(SO),RETIRECO,ICICI Prudential AMC,2026-07
