isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020260025,Government Securities,1100000.0,1108.46,0.1365039859337,SOV,RETIREDE,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,1000000.0,969.26,0.1193618654765,SOV,RETIREDE,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,695100.0,713.3,0.0878410526013,SOV,RETIREDE,ICICI Prudential AMC,2026-07
IN0020250018,Government Securities,500000.0,457.15,0.0562968417169,SOV,RETIREDE,ICICI Prudential AMC,2026-07
INE091A07208,Nirma Ltd. **,600.0,601.56,0.0740805602171,CRISIL AA,RETIREDE,ICICI Prudential AMC,2026-07
INE031A08616,Housing and Urban Development Corporation Ltd. **,50.0,514.14,0.0633150130162,ICRA AAA,RETIREDE,ICICI Prudential AMC,2026-07
INE115A07NP6,LIC Housing Finance Ltd. **,50.0,512.15,0.0630699496562,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-07
INE414G07IR6,Muthoot Finance Ltd. **,500.0,500.97,0.0616931615333,CRISIL AA+,RETIREDE,ICICI Prudential AMC,2026-07
INE528G08345,Yes Bank Ltd. **,50.0,499.46,0.0615072089335,CRISIL AA-,RETIREDE,ICICI Prudential AMC,2026-07
INE020B08BO2,Rural Electrification Corporation Ltd. **,40.0,410.63,0.0505680238745,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-07
INE134E08MI4,Power Finance Corporation Ltd. **,300.0,304.93,0.0375513418894,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-07
INE205A08046,Vedanta Ltd. **,300.0,303.18,0.0373358339095,CRISIL AA+,RETIREDE,ICICI Prudential AMC,2026-07
INE121A08PT9,Cholamandalam Investment And Finance Company Ltd. **,300.0,302.59,0.0372631769334,ICRA AA+,RETIREDE,ICICI Prudential AMC,2026-07
INE406M08011,Eris Lifesciences Ltd. **,300.0,300.75,0.037036585686,FITCH AA,RETIREDE,ICICI Prudential AMC,2026-07
INE040A08773,HDFC Bank Ltd. **,11.0,110.74,0.0136373449671,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-07
INE556F08KS8,Small Industries Development Bank Of India. **,100.0,99.74,0.0122827233793,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-07
INE134E08IO0,Power Finance Corporation Ltd. **,8.0,79.94,0.0098444045211,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-07
