isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020180041,Government Securities,60500000.0,62106.4,0.0285746709536,SOV,SAVING,ICICI Prudential AMC,2026-07
IN1920250157,State Government of Karnataka,50000000.0,50226.05,0.0231086144431,SOV,SAVING,ICICI Prudential AMC,2026-07
IN0020200120,Government Securities,32089920.0,33350.32,0.0153442224987,SOV,SAVING,ICICI Prudential AMC,2026-07
IN1320250070,State Government of Bihar,27500000.0,27651.88,0.0127224146343,SOV,SAVING,ICICI Prudential AMC,2026-07
IN1920250223,State Government of Karnataka,10000000.0,10008.36,0.0046047684906,SOV,SAVING,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,7016440.0,7200.17,0.0033127421418,SOV,SAVING,ICICI Prudential AMC,2026-07
IN2220250475,State Government of Maharashtra,3562700.0,3559.56,0.001637725834,SOV,SAVING,ICICI Prudential AMC,2026-07
IN2120180095,State Government of Madhya Pradesh,2500000.0,2584.73,0.001189214143,SOV,SAVING,ICICI Prudential AMC,2026-07
IN2220250301,State Government of Maharashtra,1500000.0,1489.52,0.0006853165515,SOV,SAVING,ICICI Prudential AMC,2026-07
IN2920160156,State Government of Rajasthan,1200000.0,1202.53,0.0005532746876,SOV,SAVING,ICICI Prudential AMC,2026-07
IN2920250361,State Government of Rajasthan,1070000.0,1076.35,0.0004952202523,SOV,SAVING,ICICI Prudential AMC,2026-07
IN2220180052,State Government of Maharashtra,500000.0,514.92,0.0002369106817,SOV,SAVING,ICICI Prudential AMC,2026-07
IN1520250276,State Government of Gujarat,234200.0,234.71,0.000107988243,SOV,SAVING,ICICI Prudential AMC,2026-07
INE261F08EK5,NABARD **,45500.0,45486.62,0.0209280396109,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE020B08EW9,Rural Electrification Corporation Ltd. **,42500.0,42576.54,0.0195891344667,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE377Y07615,Bajaj Housing Finance Ltd. **,42500.0,42113.72,0.0193761945891,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE202B07JR4,Piramal Finance Ltd.,37500.0,37685.1,0.0173386210173,CARE AA+,SAVING,ICICI Prudential AMC,2026-07
INE306N07NI9,Tata Capital Financial Services Ltd. **,3000.0,30080.97,0.0138400200255,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE261F08EI9,NABARD **,30000.0,30080.7,0.0138398958006,ICRA AAA,SAVING,ICICI Prudential AMC,2026-07
INE261F08EF5,NABARD **,30000.0,30065.91,0.0138330910368,ICRA AAA,SAVING,ICICI Prudential AMC,2026-07
INE414G07JM5,Muthoot Finance Ltd. **,30000.0,30015.72,0.0138099990087,CRISIL AA+,SAVING,ICICI Prudential AMC,2026-07
INE248U07FW5,360 One Prime Ltd. **,27500.0,27547.85,0.0126745512415,ICRA AA,SAVING,ICICI Prudential AMC,2026-07
INE115A07QZ8,LIC Housing Finance Ltd. **,22500.0,22541.02,0.0103709477519,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE020B08FW6,Rural Electrification Corporation Ltd. **,22500.0,22247.3,0.0102358094674,ICRA AAA,SAVING,ICICI Prudential AMC,2026-07
INE261F08EM1,NABARD **,22000.0,22024.31,0.010133213505,ICRA AAA,SAVING,ICICI Prudential AMC,2026-07
INE134E08IR3,Power Finance Corporation Ltd. **,2200.0,22003.83,0.0101237908165,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE526E07015,Shriram Pistons & Rings Ltd **,21100.0,21021.91,0.0096720170717,FITCH AA+,SAVING,ICICI Prudential AMC,2026-07
INE01WN07128,Motilal oswal finvest Ltd **,20000.0,20138.42,0.0092655302034,CRISIL AA+,SAVING,ICICI Prudential AMC,2026-07
INE127K08025,Nomura Fixed Income Securities Pvt. Ltd. **,20000.0,20010.16,0.0092065187763,FITCH AAA,SAVING,ICICI Prudential AMC,2026-07
INE115A07RF8,LIC Housing Finance Ltd. **,20000.0,19991.92,0.0091981266943,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE041007183,EMBASSY OFFICE PARKS REIT **,20000.0,19942.24,0.0091752693132,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE033L07IN3,Tata Capital Housing Finance Ltd. **,20000.0,19865.82,0.0091401090664,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE033L07IR4,Tata Capital Housing Finance Ltd. **,19500.0,19389.14,0.0089207923108,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
INE020B08FA2,Rural Electrification Corporation Ltd. **,18500.0,18528.12,0.0085246437144,CRISIL AAA,SAVING,ICICI Prudential AMC,2026-07
