isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,27187250.0,24857.19,0.0129061935315,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020180041,Government Securities,20000000.0,20531.04,0.0106599971937,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020240118,Government Securities,19756600.0,18943.69,0.0098358233308,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1920250256,State Government of Karnataka,18050000.0,18097.54,0.0093964906606,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020250075,Government Securities,18178590.0,17689.19,0.0091844697472,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2120250138,State Government of Madhya Pradesh,17160700.0,16975.86,0.0088140990403,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2920250171,State Government of Rajasthan,16867000.0,16700.07,0.0086709050946,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2920250213,State Government of Rajasthan,15000000.0,14896.82,0.0077346329944,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020240035,Government Securities,15028500.0,14566.58,0.007563167863,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2120250120,State Government of Madhya Pradesh,14154600.0,14044.58,0.0072921383128,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN4520250684,State Government of Telangana,13216700.0,13366.48,0.0069400595045,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2220240427,State Government of Maharashtra,13228600.0,12872.63,0.0066836458199,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2220250293,State Government of Maharashtra,12681300.0,12634.72,0.0065601196891,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1320250112,State Government of Bihar,11949500.0,11958.38,0.0062089546969,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2220240435,State Government of Maharashtra,11500000.0,11154.8,0.0057917249538,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN3520240083,State Government of Chhattisgarh,11051200.0,10872.2,0.0056449951629,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020260025,Government Securities,10000000.0,10076.95,0.0052320904699,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2220250301,State Government of Maharashtra,10000000.0,9930.15,0.0051558698991,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020210137,Government Securities,8545250.0,8769.01,0.0045529901062,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2920250338,State Government of Rajasthan,7765600.0,7827.48,0.0040641348335,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1720250084,State Government of Himachal pradesh,7500000.0,7460.82,0.0038737599392,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020200120,Government Securities,6949840.0,7222.81,0.003750181887,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN4520250528,State Government of Telangana,6194800.0,6083.63,0.003158704027,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1020250313,State Government of Andhra Pradesh,5555600.0,5611.79,0.0029137182359,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1920240257,State Government of Karnataka,4659200.0,4596.32,0.0023864723024,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1620250325,State Government of Haryana,3679300.0,3726.2,0.0019346940799,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1620250135,State Government of Haryana,3653700.0,3628.43,0.0018839305567,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2220250319,State Government of Maharashtra,2623300.0,2593.16,0.001346404192,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN3420240241,State Government of West Bengal,1733000.0,1699.78,0.0008825490588,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2720250082,State Government of Odisha,1582000.0,1556.43,0.0008081197753,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2920170122,State Government of Rajasthan,500000.0,509.82,0.0002647055273,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN3320170126,State Government of Uttar Pradesh,500000.0,507.04,0.0002632621132,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN3320250126,State Government of Uttar Pradesh,426000.0,422.27,0.000219248368,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2920160214,State Government of Rajasthan,300800.0,302.22,0.0001569167636,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN3120250292,State Government of Tamil Nadu,296300.0,295.37,0.0001533601498,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN1020160405,State Government of Andhra Pradesh,61700.0,62.0,,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN2920160156,State Government of Rajasthan,42900.0,42.99,,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
IN0020230119,Government Securities,37800.0,37.97,,SOV,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EM1,NABARD **,89500.0,89598.9,0.0465209761687,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE115A07RF8,LIC Housing Finance Ltd. **,75000.0,74969.7,0.038925295144,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE205A08046,Vedanta Ltd. **,58500.0,59119.46,0.0306956334259,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EK5,NABARD **,53500.0,53484.27,0.0277697655894,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08LB2,Small Industries Development Bank Of India.,44700.0,44313.21,0.023008025616,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE121A07SU3,Cholamandalam Investment And Finance Company Ltd. **,30000.0,29972.85,0.0155623142757,ICRA AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE507T07146,Summit Digitel Infrastructure Private Ltd. **,28300.0,28602.81,0.0148509707414,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KU4,Small Industries Development Bank Of India. **,27000.0,27018.01,0.0140281208735,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KT6,Small Industries Development Bank Of India.,26000.0,25990.9,0.0134948312926,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE105A08030,TVS Holdings Ltd. **,25000.0,25222.25,0.0130957376839,CARE AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE134E08NP7,Power Finance Corporation Ltd. **,25000.0,25057.78,0.0130103426071,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE134E08NL6,Power Finance Corporation Ltd. **,25000.0,25036.8,0.0129994495037,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE414G07JL7,Muthoot Finance Ltd. **,25000.0,25023.68,0.01299263742,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE202B07JR4,Piramal Finance Ltd.,22500.0,22611.06,0.0117399720689,CARE AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE041007183,EMBASSY OFFICE PARKS REIT **,22500.0,22435.02,0.0116485696896,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE414G07JX2,Muthoot Finance Ltd. **,22500.0,22431.85,0.0116469237822,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE186K07098,DLF Cyber City Developers Ltd. **,20000.0,20100.78,0.0104366003081,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE306N07NI9,Tata Capital Financial Services Ltd. **,2000.0,20053.98,0.0104123011071,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE774D07VO0,Mahindra & Mahindra Financial Services Ltd.,20000.0,20027.96,0.0103987911667,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE0NDH07050,Nexus Select Trust **,20000.0,19936.92,0.0103515219517,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE248U07GG6,360 One Prime Ltd **,17500.0,17464.7,0.0090679114642,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE134E08OC3,Power Finance Corporation Ltd. **,17500.0,17403.54,0.0090361563545,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE115A07QW5,LIC Housing Finance Ltd. **,16000.0,16033.52,0.0083248232045,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EI9,NABARD **,15000.0,15040.35,0.0078091557365,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE774D07VP7,Mahindra & Mahindra Financial Services Ltd. **,15000.0,15025.28,0.007801331186,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08FR6,Rural Electrification Corporation Ltd. **,15000.0,15024.11,0.007800723706,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EO7,NABARD,15000.0,15009.87,0.007793330103,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE041007092,EMBASSY OFFICE PARKS REIT **,1500.0,14979.14,0.007777374666,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE033L07IN3,Tata Capital Housing Finance Ltd. **,15000.0,14899.37,0.0077359569894,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE813H07333,Torrent Power Ltd. **,14000.0,14098.43,0.0073200979704,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE031A08996,Housing and Urban Development Corporation Ltd. **,13500.0,13328.43,0.0069203034233,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE121A08PT9,Cholamandalam Investment And Finance Company Ltd. **,12900.0,13011.48,0.0067557386418,ICRA AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE071G07868,ICICI Home Finance Company Ltd. **,12500.0,12515.56,0.0064982501849,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KS8,Small Industries Development Bank Of India. **,12500.0,12466.96,0.0064730163992,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE213W07319,SMFG India Home Finance Company Ltd **,12500.0,12358.51,0.0064167076737,CARE AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EQ2,NABARD **,12500.0,12334.14,0.0064040544359,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE729N08089,TVS Credit Services Ltd. **,115.0,11699.51,0.006074545847,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE093I07074,Oberoi Realty Ltd. **,20000.0,11218.14,0.0058246119494,CARE AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE248U07GJ0,360 One Prime Ltd **,11000.0,11009.98,0.0057165324261,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KL3,Small Industries Development Bank Of India.,10000.0,10084.54,0.0052360313018,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE248U07FW5,360 One Prime Ltd. **,10000.0,10017.4,0.0052011712942,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE725H08246,Tata Projects Ltd. **,10000.0,10000.76,0.0051925315782,FITCH AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE414G07KC4,Muthoot Finance Ltd. **,10000.0,9997.8,0.0051909947057,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE410P08016,Narayana Hrudayalaya Ltd. **,10000.0,9989.86,0.0051868721489,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE377Y07664,Bajaj Housing Finance Ltd. **,10000.0,9984.75,0.0051842189669,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE071G07777,ICICI Home Finance Company Ltd. **,10000.0,9965.18,0.0051740579549,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE071G07843,ICICI Home Finance Company Ltd. **,10000.0,9925.38,0.0051533932497,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08FW6,Rural Electrification Corporation Ltd. **,10000.0,9887.69,0.0051338240855,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE915D08DC0,Citicorp Finance (India) Ltd. **,9000.0,8987.69,0.0046665317576,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE507T07096,Summit Digitel Infrastructure Private Ltd. **,750.0,7540.76,0.0039152658822,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08DV4,NABARD **,7500.0,7515.24,0.0039020155486,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE213W07293,SMFG India Home Finance Company Ltd. **,7500.0,7510.03,0.0038993104452,CARE AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE041007167,EMBASSY OFFICE PARKS REIT **,7500.0,7458.14,0.0038723684465,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08ET6,NABARD **,7500.0,7437.95,0.0038618855219,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE406M08011,Eris Lifesciences Ltd. **,6750.0,6766.9,0.0035134671702,FITCH AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE115A07NU6,LIC Housing Finance Ltd. **,650.0,6670.08,0.0034631969,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KM1,Small Industries Development Bank Of India. **,6500.0,6521.02,0.0033858029062,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KK5,Small Industries Development Bank Of India. **,6500.0,6520.66,0.0033856159893,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE296A07TJ4,Bajaj Finance Ltd. **,6500.0,6456.96,0.0033525420767,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE406M08029,Eris Lifesciences Ltd. **,6250.0,6268.81,0.0032548520195,FITCH AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE041007175,EMBASSY OFFICE PARKS REIT **,6300.0,6265.38,0.0032530711165,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE07Z507037,Oriental InfraTrust **,6500.0,6180.77,0.0032091404456,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08DT7,Rural Electrification Corporation Ltd. **,600.0,5984.41,0.0031071876439,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE403D08272,Bharti Telecom Ltd. **,6000.0,5953.35,0.0030910608665,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE01XX07042,Pipeline Infrastructure Pvt Ltd. **,5900.0,5944.99,0.00308672024,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE909H08386,TMF Holdings Ltd. **,575.0,5685.92,0.0029522075473,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE115A07MQ6,LIC Housing Finance Ltd. **,550.0,5510.93,0.0028613503424,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE916U08012,Sheela Foam Ltd. **,5500.0,5500.24,0.002855799948,FITCH AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE01XX07034,Pipeline Infrastructure Pvt Ltd. **,5300.0,5366.12,0.0027861630068,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE377Y07656,Bajaj Housing Finance Ltd. **,5000.0,5098.17,0.0026470396966,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE813H07374,Torrent Power Ltd. **,5000.0,5032.37,0.0026128754353,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08EA5,Rural Electrification Corporation Ltd. **,500.0,5016.36,0.002604562824,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08EK4,Rural Electrification Corporation Ltd.,5000.0,5012.78,0.0026027040389,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EU4,NABARD,5000.0,5007.21,0.0025998120186,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE248U07GB7,360 One Prime Ltd **,5000.0,4999.51,0.0025958140732,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE213W07392,SMFG India Home Finance Company Ltd. **,5000.0,4994.73,0.0025933322317,CARE AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE248U07GC5,360 One Prime Ltd. **,5000.0,4990.72,0.0025912501848,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE667F07JA5,Sundaram Home Finance Ltd. **,5000.0,4984.42,0.0025879791385,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE134E08OA7,Power Finance Corporation Ltd. **,5000.0,4970.13,0.0025805595747,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE128M08094,L&T Metro Rail (Hyderabad) Ltd. **,5000.0,4956.05,0.0025732490459,CRISIL AAA(CE),SHTERM BOND,ICICI Prudential AMC,2026-07
INE936D07190,Jamnagar Utilities & Power Pvt. Ltd. **,5000.0,4943.98,0.0025669821365,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE012I07090,JM Financial Services Ltd. **,5000.0,4939.91,0.0025648689368,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE134E08NS1,Power Finance Corporation Ltd. **,5000.0,4937.6,0.0025636695532,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08LA4,Small Industries Development Bank Of India. **,5000.0,4925.64,0.0025574597573,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE651J07AA0,JM Financial Credit Solution Ltd. **,4100.0,4073.34,0.0021149339229,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE248U07FY1,360 One Prime Ltd. **,4000.0,4003.86,0.0020788589552,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08FA2,Rural Electrification Corporation Ltd. **,3750.0,3755.7,0.001950010884,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE1JAR07010,Knowledge Realty Trust Ltd **,3750.0,3730.91,0.0019371395764,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE01XX07059,Pipeline Infrastructure Pvt Ltd. **,3500.0,3508.68,0.0018217547164,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08FF1,Rural Electrification Corporation Ltd. **,3500.0,3507.15,0.0018209603194,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE1JAR07028,Knowledge Realty Trust Ltd **,3500.0,3500.26,0.0018173829371,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08BG8,Rural Electrification Corporation Ltd. **,340.0,3499.02,0.0018167391121,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE651J07AB8,JM Financial Credit Solution Ltd. **,3400.0,3379.44,0.0017546515381,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE041007142,EMBASSY OFFICE PARKS REIT **,3000.0,3014.05,0.0015649360452,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE0NR607058,Cube Highways Trust **,3000.0,2991.49,0.0015532225841,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE403D08280,Bharti Telecom Ltd. **,3000.0,2959.52,0.0015366233222,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08EJ7,NABARD **,2500.0,2513.52,0.0013050540131,ICRA AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KN9,Small Industries Development Bank Of India. **,2500.0,2507.95,0.0013021619928,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KX8,Small Industries Development Bank Of India. **,2500.0,2504.51,0.0013003758977,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08GB8,Rural Electrification Corporation Ltd. **,2500.0,2486.29,0.0012909158241,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE012I07108,JM Financial Services Ltd. **,2500.0,2480.31,0.0012878109262,ICRA AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE813H07366,Torrent Power Ltd. **,2000.0,2019.67,0.0010486403286,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE909H08394,TMF Holdings Ltd. **,200.0,1981.44,0.0010287907889,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08AZ0,Rural Electrification Corporation Ltd. **,150.0,1520.43,0.0007894280822,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KP4,Small Industries Development Bank Of India.,1500.0,1503.25,0.0007805079908,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE316Z08022,Godrej Seeds & Genetics Ltd. **,1500.0,1490.12,0.000773690715,CRISIL AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE316Z08048,Godrej Seeds & Genetics Ltd. **,1500.0,1488.08,0.0007726315191,CRISIL AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE316Z08030,Godrej Seeds & Genetics Ltd. **,1500.0,1485.41,0.0007712452185,CRISIL AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08ES8,NABARD **,1500.0,1484.59,0.0007708194633,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE316Z08014,Godrej Seeds & Genetics Ltd. **,1500.0,1484.35,0.000770694852,CRISIL AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08AH8,Rural Electrification Corporation Ltd. **,125.0,1254.44,0.0006513224308,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE414G07JH5,Muthoot Finance Ltd. **,1000.0,1003.74,0.0005211555568,CRISIL AA+,SHTERM BOND,ICICI Prudential AMC,2026-07
INE556F08KQ2,Small Industries Development Bank Of India. **,1000.0,1002.54,0.0005205325003,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE020B08AX5,Rural Electrification Corporation Ltd. **,50.0,506.98,0.0002632309604,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE261F08BC8,NABARD **,20.0,205.54,0.0001067191834,CRISIL AAA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE02PE08036,JTPM Metal Traders Ltd. **,22500.0,24180.5,0.0125548468145,CRISIL AA,SHTERM BOND,ICICI Prudential AMC,2026-07
INE2I7G15010,Shivshakti Securitisation Trust **,600.0,59052.46,0.0306608461082,CRISIL AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE2I7F15012,Siddhivinayak Securitisation Trust **,525.0,51973.43,0.0269853167666,CRISIL AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE16J715035,India Universal Trust AL1 **,145.0,12593.25,0.0065385878971,FITCH AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE14LF15016,Sansar Trust **,3500000000.0,11000.5,0.0057116102803,CRISIL AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE1CBK15037,India Universal Trust AL2 **,94.0,8705.25,0.0045198850409,CRISIL AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE1CBK15029,India Universal Trust AL2 **,97.0,5915.81,0.0030715695843,CRISIL AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE16J715027,India Universal Trust AL1 **,70.0,4038.67,0.002096932784,FITCH AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
INE0YWN15017,Sansar Trust June 2024 A1 **,2000000000.0,3062.0,0.001589832342,CRISIL AAA(SO),SHTERM BOND,ICICI Prudential AMC,2026-07
